query_table,query_column
csvData1549285__2.csv,AST%
csvData1549285__2.csv,BLK%
csvData1549285__2.csv,DRtg
csvData1549285__2.csv,GmSc
csvData1549285__2.csv,ORtg
csvData1549285__2.csv,Opp
csvData1549285__2.csv,TOV%
csvData1549285__2.csv,TRB%
csvData15936069__14.csv,LVL
csvData15936069__14.csv,oppAVG
csvData15936069__14.csv,oppTAv
csvData13638124__4.csv,GIDP
csvData13638124__4.csv,OBP
csvData13638124__4.csv,OPS
csvData13638124__4.csv,Team
csvData19387543__3.csv,avg
csvData19387543__3.csv,gdp
csvData19387543__3.csv,hbp
csvData19387543__3.csv,rbi
csvData13051044__2.csv,BLK%
csvData13051044__2.csv,DRB%
csvData13051044__2.csv,DRtg
csvData13051044__2.csv,Date
csvData13051044__2.csv,GmSc
csvData13051044__2.csv,ORB%
csvData13051044__2.csv,TOV%
csvData19132138__7.csv,AVG
csvData19132138__7.csv,LVL
csvData19132138__7.csv,oppOPS
csvData19132138__7.csv,oppSLG
csvData917122__2.csv,AST%
csvData917122__2.csv,Date
csvData917122__2.csv,ORB%
csvData917122__2.csv,TRB%
csvData12739105__3.csv,AST%
csvData12739105__3.csv,DRtg
csvData12739105__3.csv,ORB%
csvData12739105__3.csv,ORtg
csvData12739105__3.csv,STL%
csvData12739105__3.csv,TRB%
csvData12739105__3.csv,TS%
csvData12739105__3.csv,eFG%
csvData25322806__4.csv,AST%
csvData25322806__4.csv,DRB%
csvData25322806__4.csv,ORB%
csvData25322806__4.csv,STL%
csvData25322806__4.csv,TOV%
csvData14518660__14.csv,RAA
csvData14518660__14.csv,Rbaser
csvData14518660__14.csv,Rbat
csvData14518660__14.csv,Rpos
csvData16382327__5.csv,AST%
csvData16382327__5.csv,DRB%
csvData16382327__5.csv,ORB%
csvData16382327__5.csv,Opp
csvData16382327__5.csv,STL%
csvData16382327__5.csv,TRB%
csvData13336059__13.csv,AVG
csvData13336059__13.csv,POS
csvData13336059__13.csv,SLG
csvData1902536__3.csv,OBP
csvData1902536__3.csv,POS
csvData1902536__3.csv,Player
csvData16904536__2.csv,BLK%
csvData16904536__2.csv,DRB%
csvData16904536__2.csv,GmSc
csvData16904536__2.csv,eFG%
csvData15936069__16.csv,VORP
csvData15936069__16.csv,YEAR
csvData15936069__16.csv,oppAVG
csvData20535739__7.csv,GIDP
csvData20535739__7.csv,OBP
csvData20535739__7.csv,Player
csvData13891302__8.csv,GIDP
csvData13891302__8.csv,OPS
csvData13891302__8.csv,Player
csvData13891302__8.csv,Team
csvData25441565__1.csv,BLK%
csvData25441565__1.csv,Date
csvData25441565__1.csv,ORtg
csvData25441565__1.csv,TRB%
csvData25441565__1.csv,TS%
csvData25441565__1.csv,eFG%
csvData4798003__1.csv,GIDP
csvData4798003__1.csv,Player
csvData4798003__1.csv,Team
csvData25450714__14.csv,OPS
csvData2590167__12.csv,GIDP
csvData2590167__12.csv,RBI
csvData19621512__18.csv,AGE
csvData19621512__18.csv,AVG
csvData19621512__18.csv,PPF
csvData19621512__18.csv,TEAM
csvData19621512__18.csv,VORP
csvData19621512__18.csv,oppOBP
csvData19621512__18.csv,oppRPA+
csvData7470046__2.csv,AST%
csvData7470046__2.csv,DRtg
csvData7470046__2.csv,Date
csvData7470046__2.csv,GmSc
csvData7470046__2.csv,ORB%
csvData7470046__2.csv,Opp
csvData23033509__0.csv,GIDP
csvData23033509__0.csv,Player
csvData23033509__0.csv,SLG
csvData23033509__4.csv,GIDP
csvData23033509__4.csv,Player
csvData23033509__4.csv,SLG
csvData9469123__10.csv,AVG
csvData9469123__10.csv,TEAM
csvData9469123__10.csv,YEAR
csvData9469123__10.csv,oppOBP
csvData9469123__10.csv,oppRPA+
csvData1549285__0.csv,AST%
csvData1549285__0.csv,BLK%
csvData1549285__0.csv,DRtg
csvData1549285__0.csv,GmSc
csvData1549285__0.csv,ORtg
csvData1549285__0.csv,Opp
csvData1549285__0.csv,TOV%
csvData1549285__0.csv,TRB%
csvData10025189__3.csv,POS
csvData10025189__3.csv,Team
csvData14248779__2.csv,AST%
csvData14248779__2.csv,DRB%
csvData14248779__2.csv,GmSc
csvData14248779__2.csv,ORB%
csvData14248779__2.csv,Opp
csvData14248779__2.csv,STL%
csvData14248779__2.csv,TOV%
csvData4674540__15.csv,Team
csvData24108736__5.csv,GIDP
csvData24108736__5.csv,OPS
csvData24108736__5.csv,Player
csvData24108736__5.csv,SLG
csvData19553885__12.csv,GIDP
csvData19553885__12.csv,RBI
csvData9205349__3.csv,Shots
csvData9205349__3.csv,iCorsi/60
csvData7470046__3.csv,AST%
csvData7470046__3.csv,DRtg
csvData7470046__3.csv,Date
csvData7470046__3.csv,GmSc
csvData7470046__3.csv,ORB%
csvData7470046__3.csv,ORtg
csvData3383853__3.csv,POS
csvData3383853__3.csv,Team
csvData25322806__5.csv,AST%
csvData25322806__5.csv,DRB%
csvData25322806__5.csv,ORB%
csvData25322806__5.csv,STL%
csvData20076526__3.csv,BLK%
csvData20076526__3.csv,GmSc
csvData20076526__3.csv,ORtg
csvData20076526__3.csv,STL%
csvData20076526__3.csv,TS%
csvData20076526__3.csv,USG%
csvData22935665__3.csv,BLK%
csvData22935665__3.csv,Opp
csvData22935665__3.csv,STL%
csvData22935665__3.csv,TOV%
csvData22935665__3.csv,USG%
csvData8963593__3.csv,AST%
csvData8963593__3.csv,Age
csvData8963593__3.csv,BLK%
csvData8963593__3.csv,DRtg
csvData8963593__3.csv,GmSc
csvData8963593__3.csv,ORB%
csvData8963593__3.csv,USG%
csvData26651945__13.csv,AVG
csvData26651945__13.csv,Player
csvData26651945__13.csv,RBI
csvData2877720__7.csv,Player
csvData2877720__7.csv,SLG
csvData23141915__0.csv,AST%
csvData23141915__0.csv,Age
csvData23141915__0.csv,BLK%
csvData23141915__0.csv,DRB%
csvData23141915__0.csv,DRtg
csvData23141915__0.csv,ORB%
csvData23141915__0.csv,ORtg
csvData23141915__0.csv,TOV%
csvData9739809__4.csv,GIDP
csvData9739809__4.csv,Team
csvData17054209__2.csv,Age
csvData17054209__2.csv,DRtg
csvData17054209__2.csv,Date
csvData17054209__2.csv,ORB%
csvData17054209__2.csv,ORtg
csvData17054209__2.csv,USG%
csvData17054209__2.csv,eFG%
csvData2877720__14.csv,GIDP
csvData2877720__14.csv,Player
csvData2877720__14.csv,SLG
csvData13434912__8.csv,OBP
csvData13434912__8.csv,OPS
csvData13434912__8.csv,Player
csvData13434912__8.csv,RBI
csvData26150573__1.csv,BLK%
csvData26150573__1.csv,DRB%
csvData26150573__1.csv,ORtg
csvData26150573__1.csv,TOV%
csvData26150573__1.csv,USG%
csvData4823585__6.csv,GIDP
csvData4823585__6.csv,POS
csvData27587184__5.csv,GmSc
csvData27587184__5.csv,TOV%
csvData27587184__5.csv,TRB%
csvData7789467__2.csv,SLG
csvData7789467__2.csv,VORP
csvData7789467__2.csv,oppOPS
csvData7789467__2.csv,oppRPA+
csvData7789467__2.csv,oppSLG
csvData20967043__0.csv,AST%
csvData20967043__0.csv,DRB%
csvData20967043__0.csv,DRtg
csvData20967043__0.csv,Date
csvData20967043__0.csv,Opp
csvData20967043__0.csv,TS%
csvData20967043__0.csv,eFG%
csvData13703215__0.csv,OBP
csvData13703215__0.csv,OPS
csvData13703215__0.csv,Player Name
csvData13703215__0.csv,RBI
csvData13703215__0.csv,Team
csvData1786628__8.csv,AST%
csvData1786628__8.csv,Age
csvData1786628__8.csv,Date
csvData1786628__8.csv,ORtg
csvData1786628__8.csv,Opp
csvData1786628__8.csv,TRB%
csvData1786628__8.csv,USG%
csvData1786628__8.csv,eFG%
csvData7063593__2.csv,AST%
csvData7063593__2.csv,GmSc
csvData7063593__2.csv,STL%
csvData7063593__2.csv,TS%
csvData1902536__12.csv,OBP
csvData1902536__12.csv,Player
csvData1902536__12.csv,RBI
csvData26604328__1.csv,AST%
csvData26604328__1.csv,Date
csvData26604328__1.csv,GmSc
csvData26604328__1.csv,ORB%
csvData26604328__1.csv,USG%
csvData26604328__1.csv,eFG%
csvData26853929__7.csv,AVG
csvData26853929__7.csv,HBP
csvData26853929__7.csv,SLG
csvData29453038__6.csv,GIDP
csvData29453038__6.csv,POS
csvData29453038__6.csv,RBI
csvData29453038__6.csv,Team
csvData19621512__8.csv,SLG
csvData19621512__8.csv,oppOBP
csvData19621512__8.csv,oppOPS
csvData13703215__18.csv,RBI
csvData13703215__18.csv,Team
csvData25450714__16.csv,AVG
csvData25450714__16.csv,Player
csvData13245391__1.csv,AST%
csvData13245391__1.csv,DRB%
csvData13245391__1.csv,Date
csvData13245391__1.csv,GmSc
csvData13245391__1.csv,ORtg
csvData13245391__1.csv,Opp
csvData13245391__1.csv,STL%
csvData13245391__1.csv,TOV%
csvData2688573__2.csv,Date
csvData2688573__2.csv,era
csvData2688573__2.csv,ibb
csvData2688573__2.csv,score
csvData7222492__8.csv,BPG
csvData7222492__8.csv,FGA
csvData13336059__5.csv,AVG
csvData13336059__5.csv,OBP
csvData13336059__5.csv,RBI
csvData13336059__5.csv,SLG
csvData13891302__10.csv,GIDP
csvData13891302__10.csv,OPS
csvData13891302__10.csv,Player
csvData13891302__10.csv,Team
csvData6605406__2.csv,APG
csvData6605406__2.csv,BPG
csvData6605406__2.csv,FG%
csvData6605406__2.csv,FGM
csvData6605406__2.csv,SPG
csvData18661263__12.csv,OPS
csvData18661263__12.csv,POS
csvData18661263__12.csv,Player
csvData18661263__12.csv,SLG
csvData18661263__12.csv,Team
csvData23033509__18.csv,AVG
csvData23033509__18.csv,OBP
csvData29453038__13.csv,AVG
csvData29453038__13.csv,GIDP
csvData29453038__13.csv,OBP
csvData29453038__13.csv,OPS
csvData29453038__13.csv,Player
csvData29453038__13.csv,Team
csvData13434912__4.csv,Team
csvData25917960__0.csv,AST%
csvData25917960__0.csv,GmSc
csvData25917960__0.csv,TS%
csvData2761087__12.csv,Player
csvData2761087__12.csv,RBI
csvData2590167__15.csv,GIDP
csvData2590167__15.csv,OPS
csvData2590167__15.csv,Player
csvData2590167__15.csv,SLG
csvData2590167__15.csv,Team
csvData9475480__6.csv,AVG
csvData9475480__6.csv,GIDP
csvData8479264__2.csv,AVG
csvData8479264__2.csv,OPS
csvData8479264__2.csv,RBI
csvData8479264__2.csv,SLG
csvData8479264__2.csv,Team
csvData4431378__4.csv,OBP
csvData4431378__4.csv,POS
csvData4431378__4.csv,Player
csvData17093328__0.csv,DRB%
csvData17093328__0.csv,DRtg
csvData17093328__0.csv,Date
csvData17093328__0.csv,GmSc
csvData17093328__0.csv,ORtg
csvData17093328__0.csv,TOV%
csvData17093328__0.csv,TRB%
csvData17093328__0.csv,USG%
csvData17093328__0.csv,eFG%
csvData21084464__1.csv,Player
csvData8804961__3.csv,AVG
csvData8804961__3.csv,OBP
csvData8804961__3.csv,Team
csvData21642271__2.csv,FirstA/60
csvData21642271__2.csv,Player Name
csvData21642271__2.csv,Points/60
csvData21642271__2.csv,Shots/60
csvData21642271__2.csv,Team
csvData21642271__2.csv,iCorsi
csvData21642271__2.csv,iFenwick
csvData26959440__0.csv,GIDP
csvData26959440__0.csv,OPS
csvData26959440__0.csv,SLG
csvData29453038__9.csv,GIDP
csvData29453038__9.csv,POS
csvData29453038__9.csv,RBI
csvData29453038__9.csv,Team
