G,oppAVG,PA,oppOPS,TEAM,SLG,AB,GS,VORP,IP
7,0.25,35,0.708,WAS,0.667,33,0,-1.9,8.0
21,0.25,558,0.704,HOU,0.405,516,21,9.4,130.7
12,0.255,98,0.725,MIN,0.517,89,0,-3.0,21.7
32,0.256,827,0.722,HOU,0.363,730,32,0.3,193.7
6,0.247,38,0.698,MIL,0.364,33,1,0.3,9.3
13,0.257,44,0.718,PHI,0.205,39,0,1.1,10.7
8,0.264,56,0.742,WAS,0.288,52,0,3.1,13.7
22,0.252,86,0.715,MIA,0.411,73,0,-4.3,19.0
29,0.256,536,0.73,TEX,0.424,498,21,15.5,123.7
6,0.26,137,0.729,SDN,0.479,121,6,-4.2,30.7
1,0.241,15,0.67,KCA,1.0,13,1,-0.6,1.7
10,0.253,241,0.711,LAN,0.427,218,10,-0.1,56.3
15,0.252,401,0.71,SDN,0.447,365,15,1.3,93.7
31,0.253,231,0.707,COL,0.372,191,0,6.8,53.0
23,0.255,83,0.724,LAN,0.38,71,0,0.6,19.3
1,0.262,5,0.693,ARI,0.6,5,0,0.4,1.0
6,0.269,114,0.738,CLE,0.477,107,4,1.1,26.7
3,0.266,15,0.726,TOR,0.571,14,0,-0.4,3.0
1,0.261,3,0.714,KCA,0.333,3,0,-1.1,1.0
74,0.258,307,0.733,WAS,0.338,269,0,10.4,72.7
23,0.252,231,0.713,COL,0.502,209,3,4.4,50.0
34,0.257,906,0.735,CLE,0.388,788,34,0.7,206.3
43,0.254,133,0.721,LAN,0.333,117,0,-0.1,32.7
30,0.255,104,0.718,TOR,0.337,92,0,4.7,25.0
1,0.248,8,0.699,BAL,0.429,7,0,18.7,2.0
12,0.252,177,0.728,TEX,0.456,158,6,4.1,38.0
26,0.261,673,0.738,DET,0.385,626,26,21.9,161.7
22,0.254,454,0.707,ARI,0.459,418,17,10.3,107.0
7,0.257,156,0.756,KCA,0.374,139,7,8.2,37.7
32,0.261,787,0.737,DET,0.409,716,32,41.6,187.7
55,0.255,472,0.731,MIN,0.429,438,11,11.0,109.0
61,0.255,330,0.713,PIT,0.392,293,0,4.4,73.7
66,0.256,262,0.735,ATL,0.376,226,0,5.1,58.7
22,0.254,133,0.717,SFN,0.508,122,0,-2.2,28.0
28,0.251,751,0.707,SLN,0.391,678,28,-0.0,174.7
77,0.26,223,0.74,HOU,0.332,199,0,0.3,52.3
16,0.251,377,0.708,COL,0.499,337,16,6.4,84.7
17,0.261,90,0.719,CHA,0.42,81,0,3.4,21.0
26,0.249,408,0.704,NYN,0.446,383,13,8.1,93.7
23,0.252,590,0.712,PHI,0.447,521,23,14.1,133.0
2,0.242,9,0.67,COL,0.429,7,0,-0.4,2.0
5,0.254,33,0.717,PHI,0.533,30,0,0.8,7.7
49,0.257,236,0.736,MIN,0.478,209,0,-8.7,52.0
25,0.255,144,0.704,SDN,0.416,125,0,-5.5,32.3
80,0.258,327,0.735,CHN,0.413,303,0,4.9,77.7
33,0.249,910,0.699,SDN,0.435,853,33,-18.8,218.7
12,0.261,300,0.74,TEX,0.47,268,12,7.3,69.0
13,0.255,296,0.723,CHN,0.45,262,12,1.6,64.0
34,0.259,120,0.729,TBA,0.275,102,0,1.4,27.0
15,0.261,71,0.735,CLE,0.313,67,0,2.8,19.3
6,0.253,105,0.715,HOU,0.427,96,6,1.9,25.0
7,0.268,172,0.756,OAK,0.487,152,7,-0.4,39.3
22,0.247,86,0.705,CHN,0.556,72,0,-3.4,17.7
12,0.261,270,0.739,KCA,0.512,215,12,-4.9,53.3
35,0.259,175,0.733,TOR,0.346,156,0,3.9,42.0
26,0.251,649,0.706,CHN,0.441,574,26,6.7,156.0
28,0.252,239,0.717,PIT,0.396,222,5,10.7,59.3
12,0.266,45,0.73,ARI,0.31,42,0,1.4,10.7
35,0.253,147,0.732,PHI,0.39,123,0,3.2,34.3
39,0.251,212,0.708,OAK,0.33,185,0,5.8,52.0
1,0.221,5,0.719,CHA,0.0,3,0,0.1,1.0
