ORtg,eFG%,Age,AST%,TOV%,TRB%,Opp,DRtg
119,1.000,32-210,0.0,33.3,13.2,SAS,115
135,.667,32-266,33.0,0.0,11.5,DAL,93
107,1.000,32-227,0.0,33.3,0.0,DAL,105
32,.000,32-297,0.0,50.0,23.3,IND,104
123,.000,32-293,0.0,0.0,7.8,PHI,90
 , ,32-220,0.0, ,0.0,SEA,125
0,.000,32-251,0.0,0.0,0.0,SEA,104
 , ,32-288,0.0, ,19.0,BOS,110
202, ,32-326,16.3, ,17.8,PHO,111
0, ,32-290,0.0,100.0,5.7,ORL,125
38, ,32-295,14.6,100.0,19.6,GSW,62
0, ,32-254,0.0,100.0,16.3,PHI,111
57,.000,32-281,12.3,0.0,14.3,DET,115
74,.250,32-165,8.3,0.0,10.3,MIL,109
0,.000,32-223,0.0,50.0,3.7,POR,113
201,1.000,32-315,0.0,0.0,30.8,HOU,130
0, ,32-177,0.0,100.0,12.5,LAC,102
69, ,32-303,17.1,0.0,6.5,MIL,110
25,.000,32-167,19.0,0.0,0.0,IND,112
103,1.000,32-259,0.0,0.0,14.3,ORL,99
200,1.000,32-286,0.0,0.0,16.8,MIN,109
50,.000,32-169,14.6,50.0,22.0,DET,98
83,.200,32-236,0.0,0.0,16.0,MIN,104
 , ,32-232,0.0, ,14.3,DAL,95
 , ,32-241,0.0, ,0.0,CHI,113
129,.667,32-274,0.0,20.5,7.1,POR,91
121,.500,32-175,0.0,0.0,0.0,SAC,104
56,.000,32-171,0.0,20.5,0.0,MIN,118
128,.500,32-319,0.0,0.0,8.4,LAC,96
108,.500,32-270,12.7,13.4,15.4,CHH,89
163,.833,32-317,0.0,0.0,8.7,DAL,114
67, ,32-278,10.4,100.0,15.6,CLE,132
179,.500,32-248,12.6,0.0,13.5,DAL,95
136,.500,32-265,0.0,0.0,28.1,SEA,106
163,1.000,32-310,0.0,0.0,16.0,PHO,109
67,.000,32-313,0.0,0.0,0.0,GSW,109
150,.000,32-276,17.1,0.0,6.0,NJN,120
203,1.000,32-269,0.0,0.0,11.7,HOU,114
201,1.000,32-292,9.4,0.0,10.2,UTA,100
154,1.000,32-323,19.0,0.0,15.2,SAS,135
0,.000,32-192,0.0,0.0,0.0,CHH,106
130,1.000,32-247,19.1,33.3,9.1,SAC,99
