Rk,MP,STL%,TOV%,ORB%,DRtg
27,1:00,0.0,0.0,0.0,109
25,6:00,0.0,50.0,20.0,83
12,6:00,0.0, ,0.0,74
7,8:00,0.0,33.3,0.0,123
28,18:00,2.9,50.0,4.8,103
51,3:00,0.0,0.0,0.0,117
29,11:00,0.0,0.0,11.5,101
6,2:00,0.0, ,0.0,98
17,17:00,0.0,0.0,0.0,132
16,2:00,0.0,0.0,48.0,99
31,8:00,0.0,41.0,0.0,128
50,4:00,11.3,50.0,0.0,63
8,14:00,0.0,27.3,0.0,95
36,3:00,0.0, ,0.0,102
49,11:00,0.0,16.7,10.6,95
15,15:00,0.0,20.5,31.0,117
3,3:00,0.0,100.0,33.3,103
26,2:00,0.0,33.3,0.0,114
39,1:00,0.0,0.0,100.0,104
47,6:00,0.0,0.0,0.0,114
35,3:00,0.0, ,0.0,74
19,8:00,0.0,0.0,0.0,98
22,3:00,0.0, ,0.0,120
45,2:00,0.0,0.0,60.0,83
34,17:00,4.9,33.8,11.5,94
44,1:00,0.0, ,0.0,126
