GP,PF,3PM,DRB,BLK,3P%,STL
78,1.8,2.5,2.3,0.1,0.366,0.6
39,4.0,1.2,3.3,0.3,0.3,1.6
61,1.5,2.1,3.1,0.4,0.384,0.5
46,3.5,2.2,2.2,0.2,0.344,1.2
57,3.6,1.2,3.6,0.3,0.341,1.1
64,2.1,1.1,3.3,0.2,0.3,0.6
72,2.9,2.2,2.4,0.4,0.428,0.9
82,2.8,1.6,3.2,0.4,0.296,2.1
61,3.6,1.3,2.3,0.5,0.294,2.3
75,1.3,0.9,3.9,0.4,0.322,1.0
76,1.4,1.3,6.4,0.8,0.406,1.6
78,2.6,1.1,2.9,0.4,0.372,1.7
78,2.2,2.6,2.9,0.1,0.357,1.3
64,1.5,0.6,4.6,1.1,0.292,1.7
39,2.2,1.9,4.8,0.4,0.35,1.3
80,4.1,1.9,4.5,1.1,0.342,1.4
79,2.3,2.5,3.1,0.3,0.419,1.2
49,2.1,2.1,4.4,0.6,0.286,0.7
51,3.0,2.1,5.2,0.5,0.383,0.6
72,2.2,2.9,2.7,0.1,0.372,1.3
68,2.5,0.6,3.3,0.6,0.33,1.1
80,2.0,2.9,3.4,0.9,0.429,1.5
69,2.6,2.5,2.3,0.3,0.398,1.3
82,2.4,1.8,3.2,0.3,0.407,1.1
82,2.5,0.7,5.7,0.2,0.365,0.9
70,2.2,1.7,3.5,0.1,0.337,0.8
80,3.0,2.1,4.9,0.3,0.356,1.3
38,5.5,1.8,2.4,0.1,0.407,1.6
60,2.1,2.0,3.7,0.8,0.314,0.6
59,2.1,1.9,2.7,0.4,0.357,0.9
76,1.9,2.0,4.2,0.4,0.385,1.0
61,3.2,0.6,2.4,0.6,0.333,1.2
82,2.8,1.0,3.5,0.4,0.315,1.5
47,3.2,0.9,2.4,0.0,0.378,0.8
64,3.6,1.0,3.4,0.4,0.359,1.1
67,2.0,0.4,6.8,0.8,0.315,1.3
50,2.1,1.9,3.9,0.7,0.323,0.8
42,2.1,1.6,1.9,0.2,0.324,1.3
58,3.1,2.3,2.9,1.3,0.374,1.6
71,2.0,2.1,4.7,0.6,0.373,1.0
56,2.3,1.9,3.5,0.6,0.386,1.0
78,1.8,2.0,3.1,0.1,0.392,1.0
59,2.4,1.0,2.7,0.4,0.277,1.5
73,1.8,2.1,4.0,1.1,0.372,1.2
81,3.9,2.8,4.7,0.7,0.406,1.3
81,2.8,1.1,4.2,1.1,0.385,0.9
81,1.7,1.6,6.9,1.2,0.416,1.3
78,2.1,1.6,4.4,0.3,0.324,1.3
51,2.9,0.8,2.9,0.5,0.325,1.6
58,2.6,2.0,2.8,0.3,0.335,1.6
79,2.0,2.7,5.3,0.7,0.374,1.3
73,3.5,1.9,3.2,0.4,0.33,1.2
78,2.6,1.0,4.1,0.3,0.33,1.3
78,2.1,2.2,3.8,0.5,0.368,1.7
82,1.6,0.7,3.2,0.5,0.381,1.3
80,1.6,1.2,4.4,0.7,0.317,1.8
75,2.4,1.1,4.8,0.7,0.323,1.5
75,3.1,2.6,2.6,0.4,0.387,0.8
