SO,POS,AVG,BB,SH,G,SF,SB,Player
7,OF,.304,3,0,8,1,0,J Stanley
24,OF,.253,28,0,24,0,13,S Englund
42,3B,.273,16,0,48,1,10,K Sanchez
24,SS,.111,16,1,24,0,3,F Cruz
44,OF,.208,12,0,34,1,6,E Beltre
5,C,.440,0,0,7,1,0,P Hoover
2,OF,.000,0,0,1,0,0,L Bond
17,OF,.280,13,1,32,1,4,A Perez
13,C,.250,7,0,20,0,0,B Lawler
22,OF,.283,6,1,32,0,3,O Rodriguez
33,OF,.265,12,0,37,1,10,C Armstrong
42,SS,.277,6,3,49,0,6,K Castro
17,C,.255,5,1,17,1,1,R Nolan
31,1B,.244,18,0,41,1,1,J Waltenbury
32,2B,.230,16,1,40,0,2,R Vasquez
16,3B,.317,13,0,54,2,14,J Richardson
19,OF,.345,13,0,38,2,0,W Rufino
1,OF,.393,2,0,7,0,0,J Hage
26,OF,.312,3,0,30,0,2,L Arlet
38,C,.203,25,0,37,1,2,D Norris
24,SS,.305,13,0,28,0,7,J Smolinski
23,C,.241,4,0,41,2,4,T d'Arnaud
15,2B,.254,2,1,26,1,5,G Manzanillo
3,C,.167,0,0,9,1,0,F Parra
6,SS,.250,9,1,15,0,5,S Roof
18,OF,.202,9,1,34,2,2,J Munoz
7,3B,.375,1,0,7,1,1,T Cruz
4,OF,.313,4,0,10,0,4,R Gorecki
26,CF,.096,6,0,28,0,1,R Rosario
29,3B,.211,10,0,32,0,0,B Pullen
37,OF,.215,24,0,38,0,6,C Guzman
30,OF,.219,11,2,37,0,3,J Bastardo
26,3B,.339,6,1,45,1,0,B Laird
7,C,.323,3,0,11,0,1,D Hernandez
32,OF,.267,7,0,28,1,4,Y Canal
1,C,.000,0,0,2,0,0,D Carpenter
6,C,.194,7,0,12,0,0,G Haran
4,OF,.233,6,0,9,0,0,N Reimold
5,C,.111,0,0,14,0,0,C Reyes
7,SS,.138,4,1,11,0,0,M Alcantara
0,SS,.167,0,0,5,0,0,D Cox
21,3B,.257,13,0,34,0,2,D Blocker
34,2B,.288,21,2,49,1,8,A Almonte
2,3B,.125,1,0,3,0,0,B Suttle
34,1B,.293,15,0,43,1,1,D Scott
11,OF,.212,5,0,15,0,1,M Mayer
15,C,.202,17,4,31,0,0,S Leon
29,CF,.288,11,0,41,1,7,A Rodriguez
10,CF,.214,6,2,12,1,0,J Bert
9,3B,.120,4,0,10,0,0,L Castillo
7,OF,.265,13,2,20,0,5,C Bradley
15,C,.107,4,0,8,2,0,J Egan
18,2B,.303,11,10,52,5,7,Y Solarte
2,OF,.435,3,0,7,0,0,R White
29,1B,.189,12,1,32,0,1,W Lamont
32,3B,.348,27,0,52,4,1,J Rojas
18,SS,.243,9,0,32,1,1,R Tomas
31,SS,.303,11,1,40,1,2,N Soto
25,OF,.194,6,2,24,0,4,W Lin
1,OF,.667,2,0,4,0,2,A De Aza
47,C,.228,19,0,48,0,1,K Orr
5,3B,.379,2,0,9,0,0,B Bartles
55,OF,.235,9,2,49,1,5,M Mesa
5,C,.300,4,0,14,0,1,R Del Campo
14,C,.305,16,4,36,0,1,K Collado
5,C,.063,4,0,6,0,0,D Ryan
2,C,.213,3,0,21,2,0,L Day
0,OF,.500,3,0,3,0,2,K Peter
62,OF,.216,22,0,51,1,16,E Eiland
10,C,.221,7,1,40,2,1,J Sucre
28,SS,.295,7,0,56,5,10,S Sime
6,C,.146,3,0,12,0,0,J Centeno
31,C,.233,7,0,32,0,1,G Rodriguez
45,OF,.272,33,1,53,1,20,A Quiroz
4,C,.333,3,0,3,0,0,C Ebarb
30,SS,.221,21,2,37,0,5,R White
4,1B,.182,0,0,3,0,0,D Hernandez
29,C,.208,15,0,34,0,3,J Sanchez
56,OF,.246,20,0,51,1,1,T Brown
14,C,.255,5,0,20,0,2,P Gilardo
3,OF,.308,2,0,4,0,0,N Morgan
49,SS,.257,34,4,53,0,8,G Toribio
1,SS,.176,2,0,6,0,1,S Condotta
12,LF,.156,2,0,17,0,2,L Taylor
1,OF,.333,1,0,4,0,0,C Haerther
15,OF,.325,19,1,39,0,17,D Ingram
6,SS,.182,1,0,3,0,0,C Iorg
9,OF,.296,3,0,10,0,0,T Blanco
3,1B,.222,2,0,5,0,0,K Harvey
39,1B,.318,14,0,54,2,3,E Polanco
33,OF,.225,15,1,35,1,0,J Short
13,C,.219,1,1,26,0,0,R Arias
3,3B,.118,1,0,4,0,1,M Arambarris
17,C,.148,1,1,19,0,0,M Cooney
50,OF,.301,20,0,50,1,7,J Chavez
26,C,.219,15,0,40,0,2,D Mesoraco
17,3B,.246,17,0,22,1,0,M MacDonald
9,2B,.167,7,1,14,1,2,R Tropiano
2,OF,.333,2,0,2,0,0,M Thayer
7,C,.136,2,1,10,0,0,J Paquette
26,C,.179,15,0,23,2,3,C House
13,1B,.300,5,1,25,0,2,A Vargas
30,OF,.149,6,0,21,0,0,D King
36,1B,.250,11,0,30,0,0,C Jacobs
47,SS,.248,12,1,42,1,1,S King
10,OF,.160,1,0,9,0,0,K Harrington
32,OF,.173,7,0,27,1,1,E Conde
1,C,.500,1,0,1,0,0,A Romine
42,SS,.214,11,2,43,1,6,M Pasek
22,1B,.288,11,0,36,3,1,S Welch
2,3B,.100,1,0,5,1,0,M Dominguez
23,1B,.276,17,0,50,3,2,R Escalona
22,DH,.202,11,1,30,0,4,B Hiraldo
39,OF,.203,5,1,43,1,2,M Sierra
2,C,.333,1,0,1,1,0,D Ivany
25,SS,.180,13,2,37,3,2,L Mercedes
1,3B,.286,0,0,2,0,0,M Mora
4,SS,.269,6,0,27,0,0,L Fernandez
6,SS,.286,1,1,10,0,3,K Feiner
29,3B,.156,8,0,32,1,1,C Pridmore
20,C,.333,8,3,26,0,0,B Blumenthal
23,OF,.203,11,0,39,1,3,F Parejo
16,C,.281,7,1,39,0,3,L De La Cruz
9,OF,.412,3,0,13,0,1,A Molina
32,OF,.373,11,0,51,5,5,A Silverio
42,OF,.211,9,1,36,0,4,T Warren
8,OF,.182,3,0,6,1,0,R Tolan
8,OF,.140,5,0,24,0,1,E Vargas
8,OF,.286,5,0,16,1,3,G Gattis
5,SS,.167,6,0,6,0,0,A Schoenberger
7,C,.077,2,1,12,0,1,R Prall
19,C,.215,5,0,39,0,0,M Kennelly
66,3B,.264,15,0,52,1,2,R Lucas
26,OF,.301,19,0,47,2,11,M Dening
