SO,R,SB,BB,2B,Team,3B
82,45,1,19,19,SAL,2
8,5,0,5,1,YUC,0
47,58,0,47,28,MIN,1
10,16,0,9,6,MEX,0
23,44,0,20,12,PUE,0
17,34,0,47,12,YUC,0
60,35,9,47,19,YUC,0
38,16,1,11,13,CAM,0
20,17,0,7,11,TAB,0
57,82,5,48,29,REY,1
10,12,1,6,0,VER,1
56,70,1,39,22,MEX,2
44,59,5,46,21,OAX,1
64,71,0,64,26,TAB,0
16,20,1,10,4,VER,1
32,28,0,26,2,VER,1
19,17,0,21,10,OAX,0
15,17,0,5,8,TIG,0
41,77,1,61,15,OAX,2
0,3,0,1,1,LAG,0
3,0,0,0,0,LAG,0
40,34,3,30,7,MVA,0
28,28,0,24,10,MTY,1
55,76,0,39,22,SAL,0
28,13,0,15,5,MVA,1
50,26,2,26,9,TIG,0
41,12,1,9,10,MTY,0
9,19,1,21,3,PUE,1
4,1,0,1,4,CAM,0
43,49,4,26,16,MIN,5
1,0,0,1,0,MEX,0
24,38,2,12,8,TAB,0
22,6,1,9,2,YUC,0
4,2,0,2,0,MVA,0
97,78,2,57,25,LAG,0
