Make,Model,Modulation,Weight,Dimensions (L×W×H),Torque,Speed,Motor Type,Rotation,Gear Material,Street Price,Compare
Futaba,BLS151,Digital,1.59 oz (45.0 g),1.61×0.79×1.42 in (40.9×20.1×36.1 mm),4.8V: 133.0 oz-in (9.6 kg-cm),4.8V: 0.15 sec/60°,Brushless,? (add),? (add),$129.99,view
Futaba,BLS152,Digital,2.57 oz (73.0 g),1.59×0.83×1.51 in (40.4×21.1×38.4 mm),6.0V: 430.6 oz-in (31.0 kg-cm),6.0V: 0.14 sec/60°,Brushless,Dual Bearings,Metal,$179.99,view
Futaba,BLS153,Digital,0.92 oz (26.0 g),1.40×0.59×1.13 in (35.5×15.0×28.6 mm),4.8V: 76.4 oz-in (5.5 kg-cm) 6.0V: 97.2 oz-in (7.0 kg-cm),4.8V: 0.15 sec/60° 6.0V: 0.12 sec/60°,Brushless,Dual Bearings,Plastic,$119.99,view
Futaba,BLS154,Digital,1.80 oz (51.0 g),1.89×1.10×0.98 in (48.0×27.9×24.9 mm),4.8V: 111.0 oz-in (8.0 kg-cm),4.8V: 0.13 sec/60°,Brushless,? (add),? (add),? (add),view
Futaba,BLS155,Digital,2.26 oz (64.0 g),1.57×0.79×1.45 in (39.9×20.1×36.8 mm),4.8V: 200.0 oz-in (14.4 kg-cm) 6.0V: 250.0 oz-in (18.0 kg-cm),4.8V: 0.19 sec/60° 6.0V: 0.15 sec/60°,Brushless,Dual Bearings,Metal,$129.00,view
Futaba,BLS156HV,Digital,2.33 oz (66.0 g),1.58×0.79×1.45 in (40.0×20.0×36.8 mm),6.0V: 250.0 oz-in (18.0 kg-cm) 7.4V: 291.7 oz-in (21.0 kg-cm),6.0V: 0.15 sec/60° 7.4V: 0.12 sec/60°,Brushless,Dual Bearings,Metal,$115.00,view
Futaba,BLS157HV,Digital,2.72 oz (77.0 g),1.59×0.83×1.51 in (40.5×21.0×38.4 mm),6.0V: 430.6 oz-in (31.0 kg-cm) 7.4V: 513.9 oz-in (37.0 kg-cm),6.0V: 0.14 sec/60° 7.4V: 0.11 sec/60°,Brushless,Dual Bearings,Hybrid,$138.00,view
Futaba,BLS171HV,Digital,1.66 oz (47.0 g),1.58×0.79×1.37 in (40.0×20.0×34.8 mm),7.4V: 164.0 oz-in (11.8 kg-cm),7.4V: 0.10 sec/60°,Brushless,Dual Bearings,Hybrid,? (add),view
Futaba,BLS171SV,Digital,1.69 oz (48.0 g),1.58×0.79×1.38 in (40.0×20.0×35.0 mm),6.0V: 133.0 oz-in (9.6 kg-cm) 6.6V: 147.0 oz-in (10.6 kg-cm) 7.4V: 164.0 oz-in (11.8 kg-cm),6.0V: 0.13 sec/60° 6.6V: 0.11 sec/60° 7.4V: 0.10 sec/60°,Brushless,Dual Bearings,Metal,$149.99,view
Futaba,BLS172HV,Digital,2.61 oz (74.0 g),1.61×0.83×1.50 in (41.0×21.0×38.0 mm),6.0V: 472.2 oz-in (34.0 kg-cm) 7.4V: 514.0 oz-in (37.0 kg-cm),6.0V: 0.12 sec/60° 7.4V: 0.11 sec/60°,Brushless,Dual Bearings,Hybrid,$249.00,view
Futaba,BLS172SV,Digital,2.61 oz (74.0 g),1.61×0.83×1.50 in (41.0×21.0×38.0 mm),6.0V: 431.0 oz-in (31.0 kg-cm) 6.6V: 472.0 oz-in (34.0 kg-cm) 7.4V: 514.0 oz-in (37.0 kg-cm),6.0V: 0.14 sec/60° 6.6V: 0.12 sec/60° 7.4V: 0.11 sec/60°,Brushless,Dual Bearings,Hybrid,$199.99,view
Futaba,BLS173SV,Digital,0.99 oz (28.0 g),1.30×0.59×1.06 in (33.0×15.0×27.0 mm),6.0V: 86.0 oz-in (6.2 kg-cm) 6.6V: 94.0 oz-in (6.8 kg-cm) 7.4V: 106.0 oz-in (7.6 kg-cm),6.0V: 0.12 sec/60° 6.6V: 0.11 sec/60° 7.4V: 0.10 sec/60°,Brushless,Dual Bearings,Metal,$137.99,view
Futaba,BLS173SVi,Digital,0.99 oz (28.0 g),1.30×0.59×1.06 in (33.0×15.0×27.0 mm),6.0V: 86.0 oz-in (6.2 kg-cm) 6.6V: 94.0 oz-in (6.8 kg-cm) 7.4V: 106.0 oz-in (7.6 kg-cm),6.0V: 0.12 sec/60° 6.6V: 0.11 sec/60° 7.4V: 0.10 sec/60°,Brushless,Dual Bearings,Metal,$139.99,view
Futaba,BLS174HV,Digital,1.66 oz (47.0 g),1.87×1.06×1.00 in (47.5×27.0×25.4 mm),7.4V: 133.0 oz-in (9.6 kg-cm),7.4V: 0.09 sec/60°,Brushless,Dual Bearings,Plastic,? (add),view
Futaba,BLS174SV,Digital,1.87 oz (53.0 g),1.89×1.06×0.98 in (48.0×27.0×25.0 mm),6.0V: 108.0 oz-in (7.8 kg-cm) 6.6V: 122.0 oz-in (8.8 kg-cm) 7.4V: 133.0 oz-in (9.6 kg-cm),6.0V: 0.11 sec/60° 6.6V: 0.10 sec/60° 7.4V: 0.09 sec/60°,Brushless,Dual Bearings,Metal,$149.99,view
Futaba,BLS175HV,Digital,2.33 oz (66.0 g),1.58×0.79×1.46 in (40.0×20.0×37.0 mm),7.4V: 292.0 oz-in (21.0 kg-cm),7.4V: 0.12 sec/60°,Brushless,Dual Bearings,Metal,$139.00,view
Futaba,BLS175SV,Digital,2.33 oz (66.0 g),1.58×0.79×1.46 in (40.0×20.0×37.0 mm),6.0V: 250.0 oz-in (18.0 kg-cm) 6.6V: 270.0 oz-in (19.4 kg-cm) 7.4V: 292.0 oz-in (21.0 kg-cm),6.0V: 0.15 sec/60° 6.6V: 0.13 sec/60° 7.4V: 0.12 sec/60°,Brushless,Dual Bearings,Metal,$169.99,view
Futaba,BLS177SV,Digital,2.79 oz (79.0 g),1.61×0.83×1.50 in (41.0×21.0×38.0 mm),6.0V: 431.0 oz-in (31.0 kg-cm) 6.6V: 472.0 oz-in (34.0 kg-cm) 7.4V: 514.0 oz-in (37.0 kg-cm),6.0V: 0.14 sec/60° 6.6V: 0.12 sec/60° 7.4V: 0.11 sec/60°,Brushless,Dual Bearings,Hybrid,$239.99,view
Futaba,BLS251,Digital,2.10 oz (59.5 g),1.57×0.79×1.45 in (39.9×20.1×36.8 mm),4.8V: 53.0 oz-in (3.8 kg-cm),4.8V: 0.06 sec/60°,Brushless,Dual Bearings,Metal,$149.99,view
Futaba,BLS251SB,Digital,2.12 oz (60.0 g),1.58×0.79×1.46 in (40.0×20.0×37.0 mm),4.8V: 53.0 oz-in (3.8 kg-cm),4.8V: 0.06 sec/60°,Brushless,Dual Bearings,Metal,$169.99,view
Futaba,BLS252,Digital,2.05 oz (58.0 g),1.57×0.79×1.46 in (39.9×20.1×37.1 mm),4.8V: 139.0 oz-in (10.0 kg-cm) 6.0V: 175.0 oz-in (12.6 kg-cm),4.8V: 0.16 sec/60° 6.0V: 0.13 sec/60°,Brushless,Dual Bearings,Metal,$149.99,view
Futaba,BLS253,Digital,2.05 oz (58.0 g),1.57×0.79×1.46 in (39.9×20.1×37.1 mm),4.8V: 117.0 oz-in (8.4 kg-cm) 6.0V: 147.0 oz-in (10.6 kg-cm),4.8V: 0.13 sec/60° 6.0V: 0.10 sec/60°,Brushless,Dual Bearings,Metal,$149.99,view
Futaba,BLS254,Digital,1.80 oz (51.0 g),1.57×0.79×1.45 in (39.9×20.1×36.8 mm),4.8V: 53.0 oz-in (3.8 kg-cm),4.8V: 0.06 sec/60°,Brushless,Dual Bearings,? (add),$85.00,view
Futaba,BLS255HV,Digital,2.12 oz (60.0 g),1.58×0.79×1.45 in (40.0×20.0×36.8 mm),6.0V: 147.2 oz-in (10.6 kg-cm) 7.4V: 166.7 oz-in (12.0 kg-cm),6.0V: 0.10 sec/60° 7.4V: 0.08 sec/60°,Brushless,Dual Bearings,Plastic,? (add),view
Futaba,BLS256HV,Digital,2.15 oz (61.0 g),1.58×0.79×1.45 in (40.0×20.0×36.8 mm),6.0V: 61.1 oz-in (4.4 kg-cm) 7.4V: 69.5 oz-in (5.0 kg-cm),6.0V: 0.06 sec/60° 7.4V: 0.05 sec/60°,Brushless,Dual Bearings,Plastic,? (add),view
