Tm,DRB%,GmSc,ORB%,TOV%,BLK%,DRtg,Date
NJN,44.1,-0.4,0.0,66.7,8.9,80,2007-01-22
NJN,5.5,2.7,9.8,0.0,4.4,102,2007-03-15
NJN,21.3,5.2,3.9, ,7.9,105,2007-02-27
NJN,13.3,11.9,0.0,0.0,0.0,104,2006-12-26
NJN,18.4,-1.8,6.4,20.5,0.0,119,2007-01-13
NJN,17.1,1.0,8.6,53.2,3.0,124,2007-02-21
NJN,0.0,-3.7,0.0,50.0,0.0,124,2007-04-15
NJN,14.2,-0.4,0.0,0.0,6.6,102,2007-04-10
NJN,14.0,3.5,11.0,29.1,0.0,109,2006-12-13
NJN,0.0,-1.5,6.9,0.0,0.0,111,2007-04-16
NJN,3.5,-1.0,11.3,20.0,0.0,116,2006-12-02
NJN,22.9,-0.9,11.2,50.0,0.0,119,2006-11-29
NJN,26.4,1.8,0.0,0.0,5.7,110,2007-04-06
NJN,25.5,0.0,0.0, ,5.7,88,2007-04-04
NJN,3.3,2.9,0.0,23.1,0.0,123,2006-12-20
NJN,9.5,1.4,9.2,25.0,0.0,135,2007-01-29
NJN,18.6,-1.8,7.9,50.0,2.5,110,2007-02-25
NJN,0.0,0.3,0.0, ,0.0,103,2006-12-18
NJN,13.0,0.5,5.1,50.0,0.0,102,2007-03-31
NJN,15.1,1.8,8.9,33.3,0.0,98,2006-11-08
NJN,12.6,2.2,10.0,50.0,4.5,95,2007-01-20
NJN,21.5,1.3,0.0,58.1,0.0,88,2006-11-01
NJN,22.8,1.3,9.6,33.3,3.7,89,2007-01-09
NJN,13.7,2.5,46.0,15.5,8.1,123,2006-12-07
NJN,17.3,1.8,0.0,44.4,0.0,92,2006-11-15
NJN,19.0,2.3,6.4,20.5,3.5,105,2007-01-24
NJN,56.9,2.2,0.0,0.0,0.0,114,2007-02-13
NJN,0.0,1.2,16.1,0.0,0.0,130,2007-03-13
NJN,9.6,0.7,10.4,33.3,3.6,99,2006-12-29
NJN,9.1,-1.3,8.5,100.0,0.0,120,2007-03-09
NJN,13.3,-1.9,0.0,100.0,0.0,138,2007-02-02
NJN,22.5,-1.4,12.1,77.3,0.0,99,2007-02-23
NJN,19.4,4.8,0.0,0.0,0.0,108,2007-01-25
NJN,15.5,1.7,23.5,100.0,0.0,98,2006-12-09
NJN,19.7,-2.2,8.0,66.7,0.0,106,2006-12-16
NJN,8.5,4.6,21.4,0.0,4.8,131,2007-02-14
NJN,17.4,-1.4,10.1,17.7,0.0,120,2007-02-04
NJN,12.8,5.0,11.7,0.0,0.0,111,2006-12-05
NJN,11.3,3.1,0.0,0.0,8.7,85,2007-02-09
NJN,0.0,-1.2,0.0,0.0,0.0,103,2007-01-15
NJN,11.0,1.7,20.1,0.0,0.0,134,2006-11-13
NJN,8.5,-1.5,10.0,25.0,0.0,105,2007-02-07
NJN,16.1,1.5,3.3,21.0,0.0,102,2007-02-05
