Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Wendell Rijo,GCL,49,170,28,46,15,0,0,20,15,5,22,29,0.271,0.368,0.359,0.727
Raymel Flores,GCL,49,135,15,25,5,4,0,13,9,6,22,41,0.185,0.311,0.281,0.592
Aneudis Peralta,GCL,44,153,20,44,12,0,0,20,1,2,11,22,0.288,0.339,0.366,0.705
Bryan Hudson,GCL,43,135,18,41,6,0,0,15,6,1,23,39,0.304,0.406,0.348,0.754
Jake Davies,GCL,43,125,12,27,6,0,1,11,2,1,7,30,0.216,0.256,0.288,0.544
Jordon Austin,GCL,40,116,15,23,7,1,0,6,12,0,21,55,0.198,0.324,0.276,0.6
Joseph Monge,GCL,39,111,18,25,5,0,0,10,7,5,9,31,0.225,0.301,0.27,0.571
Iseha Conklin,GCL,36,77,10,15,2,1,0,5,3,1,11,23,0.195,0.315,0.247,0.562
Alixon Suarez,GCL,31,109,11,23,6,0,0,13,1,0,5,22,0.211,0.254,0.266,0.52
Mike Meyers,GCL,26,86,10,22,6,0,0,6,3,3,8,24,0.256,0.316,0.326,0.641
Jon Denney,GCL,26,74,9,15,3,0,0,2,2,0,18,29,0.203,0.379,0.243,0.622
Deiner Lopez,GCL,25,88,11,25,4,4,0,7,8,5,4,20,0.284,0.344,0.42,0.764
Nathan Minnich,GCL,21,60,5,16,10,1,0,7,0,1,10,17,0.267,0.4,0.467,0.867
Mauricio Dubon,GCL,20,53,8,13,3,0,0,4,6,1,1,12,0.245,0.298,0.302,0.6
Carlos Coste,GCL,18,36,2,7,3,0,0,5,1,1,1,7,0.194,0.256,0.278,0.534
Nick Longhi,GCL,16,45,4,8,5,0,1,4,1,1,3,12,0.178,0.245,0.356,0.6
Jose Colorado,GCL,15,48,4,9,2,0,0,4,4,1,3,12,0.188,0.245,0.229,0.474
Danny Bethea,GCL,14,43,1,6,2,0,0,6,0,0,6,3,0.14,0.235,0.186,0.421
Jantzen Witte,GCL,13,41,2,10,2,1,0,7,0,0,6,9,0.244,0.34,0.341,0.682
Jesus Loya,GCL,8,27,3,8,3,1,0,4,2,0,1,4,0.296,0.345,0.481,0.826
Mark Hamilton,GCL,7,23,2,7,2,0,0,3,0,0,4,10,0.304,0.407,0.391,0.799
Aaron King,GCL,7,26,2,7,0,2,0,3,0,0,4,7,0.269,0.367,0.423,0.79
Bryce Brentz,GCL,6,17,3,4,2,0,2,8,0,0,1,4,0.235,0.316,0.706,1.022
Sean Coyle,GCL,6,20,3,3,0,0,1,3,1,1,3,6,0.15,0.292,0.3,0.592
Rafael Oliveras,GCL,4,6,0,0,0,0,0,0,0,0,2,1,0.0,0.25,0.0,0.25
