G,#,OBP,PA,oppSLG,YEAR,AVG,AGE,VORP
33,52.0,0.244,908,0.384,2013,0.195,25,54.0
33,20.0,0.287,352,0.397,2013,0.242,30,-0.9
31,178.0,0.337,792,0.401,2013,0.297,32,7.0
32,31.0,0.279,865,0.377,2013,0.239,27,23.7
32,168.0,0.348,663,0.404,2013,0.26,34,15.2
18,114.0,0.324,365,0.405,2013,0.241,25,2.3
30,54.0,0.331,800,0.379,2013,0.285,28,16.6
34,138.0,0.343,656,0.407,2013,0.243,25,12.3
31,46.0,0.263,876,0.394,2013,0.232,34,38.7
22,123.0,0.342,376,0.404,2013,0.265,26,4.2
29,81.0,0.333,601,0.383,2013,0.261,27,-4.2
23,94.0,0.33,586,0.416,2013,0.258,26,13.3
26,64.0,0.297,666,0.399,2013,0.224,29,17.1
36,102.0,0.382,707,0.407,2013,0.289,28,-11.9
17,104.0,0.307,324,0.407,2013,0.239,28,5.1
35,7.0,0.301,504,0.393,2013,0.225,26,6.9
26,179.0,0.346,611,0.401,2013,0.284,30,-1.5
16,99.0,0.27,416,0.398,2013,0.199,28,16.7
34,136.0,0.338,331,0.405,2013,0.268,25,3.5
23,95.0,0.312,428,0.413,2013,0.231,29,5.7
30,93.0,0.34,642,0.407,2013,0.293,27,8.1
70,135.0,0.295,316,0.392,2013,0.216,25,11.7
15,161.0,0.307,382,0.412,2013,0.235,30,4.3
66,35.0,0.308,332,0.39,2013,0.244,27,3.3
27,144.0,0.281,740,0.408,2013,0.252,27,28.5
30,83.0,0.281,730,0.385,2013,0.207,24,18.1
47,63.0,0.309,524,0.401,2013,0.248,29,3.3
16,77.0,0.303,366,0.4,2013,0.247,30,15.1
31,117.0,0.354,682,0.414,2013,0.297,25,10.0
31,33.0,0.325,773,0.388,2013,0.261,27,15.1
68,14.0,0.306,338,0.396,2013,0.201,26,5.1
33,79.0,0.327,856,0.388,2013,0.252,26,32.3
30,38.0,0.299,783,0.382,2013,0.252,26,21.0
29,158.0,0.286,746,0.393,2013,0.229,29,42.7
23,110.0,0.321,572,0.397,2013,0.272,27,14.4
33,45.0,0.325,914,0.394,2013,0.255,28,25.4
20,90.0,0.359,518,0.391,2013,0.257,34,-18.9
29,91.0,0.358,680,0.405,2013,0.3,29,18.0
34,131.0,0.294,498,0.406,2013,0.237,36,11.8
30,118.0,0.372,586,0.404,2013,0.318,27,-5.4
23,105.0,0.292,525,0.409,2013,0.226,24,6.3
68,111.0,0.26,336,0.402,2013,0.223,26,5.7
24,159.0,0.332,644,0.397,2013,0.276,30,8.4
32,177.0,0.336,643,0.404,2013,0.281,32,-10.5
26,145.0,0.316,608,0.398,2013,0.271,27,18.1
30,129.0,0.29,769,0.404,2013,0.264,40,24.8
18,164.0,0.333,415,0.392,2013,0.25,30,8.5
33,175.0,0.322,913,0.399,2013,0.246,32,27.5
32,174.0,0.288,859,0.405,2013,0.238,30,9.6
37,172.0,0.33,728,0.406,2013,0.272,31,-4.9
34,160.0,0.315,925,0.396,2013,0.253,30,41.6
27,120.0,0.308,640,0.402,2013,0.233,24,15.6
28,126.0,0.301,667,0.401,2013,0.258,26,10.6
17,147.0,0.366,406,0.396,2013,0.314,24,0.9
32,165.0,0.365,820,0.404,2013,0.311,32,0.2
22,116.0,0.291,578,0.417,2013,0.228,25,10.4
33,66.0,0.322,847,0.385,2013,0.261,26,4.7
34,55.0,0.28,956,0.392,2013,0.248,31,45.3
47,106.0,0.321,620,0.408,2013,0.269,25,3.1
26,72.0,0.248,690,0.38,2013,0.209,24,37.2
30,149.0,0.282,866,0.402,2013,0.23,24,36.9
30,34.0,0.305,406,0.396,2013,0.227,30,6.8
20,59.0,0.327,395,0.389,2013,0.291,29,8.6
24,134.0,0.348,576,0.405,2013,0.306,26,-8.0
32,167.0,0.317,777,0.399,2013,0.239,29,21.2
24,57.0,0.315,556,0.385,2013,0.26,27,1.2
22,154.0,0.313,583,0.407,2013,0.277,28,-4.8
28,49.0,0.257,681,0.395,2013,0.182,20,31.9
32,128.0,0.28,823,0.406,2013,0.226,25,-2.7
33,124.0,0.313,894,0.404,2013,0.259,26,25.4
33,78.0,0.308,857,0.381,2013,0.274,33,21.2
31,50.0,0.311,801,0.387,2013,0.263,25,7.9
34,171.0,0.306,943,0.408,2013,0.242,38,10.0
21,39.0,0.344,549,0.389,2013,0.268,28,2.4
22,103.0,0.365,419,0.414,2013,0.289,29,-0.7
18,162.0,0.338,461,0.398,2013,0.259,29,0.1
18,11.0,0.354,437,0.379,2013,0.284,22,8.0
21,122.0,0.339,541,0.418,2013,0.277,28,17.8
30,170.0,0.321,784,0.409,2013,0.275,41,18.3
21,4.0,0.299,534,0.387,2013,0.245,37,15.0
24,98.0,0.289,634,0.408,2013,0.237,30,9.3
22,125.0,0.367,402,0.415,2013,0.311,22,-2.5
19,69.0,0.363,467,0.389,2013,0.299,35,-3.1
76,112.0,0.295,302,0.404,2013,0.214,26,7.0
17,86.0,0.327,431,0.388,2013,0.243,23,8.9
70,108.0,0.308,315,0.392,2013,0.247,27,12.5
33,153.0,0.336,905,0.406,2013,0.285,34,4.3
48,97.0,0.291,387,0.394,2013,0.249,27,6.8
33,109.0,0.303,845,0.414,2013,0.241,25,10.9
24,27.0,0.33,457,0.388,2013,0.295,34,5.8
27,60.0,0.368,659,0.396,2013,0.291,29,10.3
