AVG,POS,SB,RBI,R,BB,HR,AB
.193,CF,6,14,19,18,1,140
.216,CF,11,22,28,20,1,162
.266,1B,1,28,22,9,3,199
.205,RF,11,3,8,7,0,112
.364,CF,2,7,6,4,1,33
.345,C,0,3,5,2,0,29
.250,OF,2,2,5,5,0,16
.286,LF,0,1,2,2,0,7
.135,DH,4,0,4,2,0,37
.063,SS,0,0,3,4,0,16
.333,3B,1,3,1,2,0,18
.251,1B,1,29,24,12,9,195
.204,RF,4,18,18,18,4,137
.222,SS,0,0,0,0,0,9
.182,C,1,1,1,1,0,11
.323,3B,1,15,10,9,1,127
.300,C,0,3,3,5,0,40
.177,LF,0,17,15,8,0,164
.385,SS,1,1,2,1,0,13
.233,CF,9,8,18,12,0,150
.232,C,0,14,8,7,2,69
.171,3B,2,6,19,11,0,111
.250,3B,2,4,5,3,0,48
.278,SS,4,22,18,10,1,198
.306,LF,11,12,21,10,0,160
.317,2B,5,23,17,17,2,123
.322,2B,9,19,24,7,1,152
.081,DH,1,6,5,5,0,86
.167,C,1,2,0,1,0,12
.200,CF,11,14,24,16,2,165
.000,3B,0,0,0,0,0,3
.176,C,0,2,4,3,0,34
.295,2B,8,27,35,10,1,207
.167,DH,0,0,1,1,0,6
.313,C,1,2,3,4,1,16
.214,LF,6,11,10,8,1,84
.232,2B,5,7,15,17,0,125
.357,DH,0,2,1,3,0,14
.171,C,0,7,8,9,3,70
.250,DH,0,0,1,2,0,24
.246,CF,10,11,17,9,1,138
.252,2B,16,21,25,27,0,151
.218,DH,1,20,15,12,1,142
.067,2B,0,2,1,1,0,15
.291,C,2,16,15,16,1,127
.259,SS,8,22,22,3,4,174
.287,LF,15,9,15,14,0,101
.254,RF,8,20,22,18,1,138
.200,CF,3,0,6,3,0,25
.273,2B,3,8,15,9,2,132
.286,RF,2,5,8,7,0,63
.182,DH,0,2,5,5,1,55
.234,C,0,13,15,5,1,107
.275,RF,8,24,20,15,5,167
.192,2B,2,4,4,7,0,26
.267,RF,2,7,8,7,0,45
.288,C,0,8,5,2,2,52
.260,RF,1,12,16,6,2,77
.307,LF,2,11,13,8,1,75
.034,3B,0,2,6,8,0,29
.191,CF,4,8,9,17,0,110
.276,SS,1,0,6,1,0,29
.327,1B,3,35,36,31,6,168
.221,SS,5,7,10,6,0,86
.204,1B,1,16,13,9,1,142
.400,C,0,5,3,0,1,15
.162,CF,2,6,3,3,0,37
.228,C,1,17,22,20,0,136
.220,3B,7,3,13,7,1,91
.247,C,0,13,10,11,2,97
.217,3B,4,8,14,17,1,120
.556,2B,2,0,1,1,0,9
.455,3B,0,6,2,1,1,11
.333,OF,0,1,0,0,0,3
.224,CF,4,5,16,13,0,98
.208,DH,0,6,5,6,0,48
.167,DH,0,4,3,2,0,36
.226,C,0,11,11,9,1,53
.231,SS,1,1,4,2,0,26
.269,1B,4,33,32,16,3,186
.210,C,0,20,15,16,2,124
.156,C,0,2,3,2,0,32
.160,3B,0,4,2,4,1,25
.313,2B,0,2,2,2,0,16
.253,3B,7,10,12,4,0,83
.198,C,0,12,11,4,1,121
.000,C,1,0,0,4,0,14
.024,SS,0,0,0,2,0,41
.286,RF,1,7,7,4,1,28
.316,C,0,6,4,0,3,19
.000,OF,0,0,0,0,0,3
.317,RF,6,19,21,14,4,126
.385,2B,0,1,2,2,0,13
.269,RF,5,31,28,16,7,201
.167,3B,0,1,2,1,1,30
.102,DH,1,3,4,3,0,49
.290,1B,1,12,12,18,2,100
.228,LF,2,10,12,5,0,114
.208,RF,2,1,9,5,1,77
.261,C,0,13,18,11,1,119
.214,3B,3,9,11,9,1,70
.208,C,0,5,3,4,0,48
.225,C,0,5,1,3,1,40
.300,C,2,10,9,2,0,50
.250,CF,0,0,0,0,0,4
.361,1B,0,7,4,2,2,36
.242,SS,8,21,32,10,1,186
.278,RF,1,2,1,0,0,18
.324,C,0,2,4,5,0,37
.253,DH,0,17,13,11,3,79
