Date,ORB%,AST%,Opp,USG%
2011-01-30,10.1,6.7,UTA,17.3
2011-02-09,14.3,9.8,DEN,7.2
2010-11-27,10.4,5.2,MIN,16.4
2010-11-30,13.1,8.1,SAS,11.1
2011-01-14,10.6,5.4,LAC,14.4
2011-01-12,0.0,9.2,LAL,7.6
2011-02-05,9.8,15.7,CHI,7.1
2011-01-17,12.7,0.0,NJN,10.9
2011-02-25,0.0,10.0,ATL,5.5
2011-01-09,0.0,0.0,LAC,4.9
2010-11-22,14.7,0.0,DEN,9.9
2010-11-15,13.1,15.5,DET,11.1
2010-10-31,9.9,22.8,LAL,11.0
2011-01-05,8.7,11.8,NOH,7.2
2011-02-03,18.9,0.0,MIL,10.5
2010-10-29,0.0,0.0,LAC,17.1
2011-03-11,10.1,0.0,ORL,3.9
2010-11-03,9.8,13.2,MEM,6.4
2011-02-27,0.0,0.0,MIN,13.7
2010-12-14,14.0,4.4,MIN,8.1
2011-01-22,10.0,6.6,LAC,10.0
2011-03-13,17.1,0.0,MIN,7.2
2011-01-28,22.3,5.6,CHA,13.8
2011-02-22,13.0,0.0,BOS,12.3
2011-02-13,18.6,5.8,OKC,6.4
2010-11-24,6.8,0.0,HOU,8.9
2010-12-05,8.8,16.3,OKC,8.7
2011-01-21,5.3,0.0,SAC,7.3
