wp,Date,2b
0,"Mar 11, 2011",0
39,Totals,53
1,"Feb 19, 2011",2
0,"Feb 26, 2011",1
1,"Mar 25, 2011",0
0,"Apr 01, 2011",0
1,"Apr 03, 2011",0
0,"Feb 14, 2011",1
0,"Mar 26, 2011",2
0,"Feb 19, 2011",1
1,"Mar 23, 2011",1
0,"Mar 19, 2011",1
0,"Feb 11, 2011",2
0,"Mar 22, 2011",1
1,"Mar 01, 2011",1
2,"Feb 12, 2011",1
1,"Feb 11, 2011",0
1,"Feb 20, 2011",0
0,"Mar 04, 2011",1
2,"Mar 13, 2011",0
1,"Feb 14, 2011",0
1,"Mar 17, 2011",2
0,"Mar 01, 2011",2
1,"Apr 01, 2011",3
2,2/25/11,1
0,"Mar 23, 2011",1
1,"Mar 19, 2011",2
