PTS,GP,Team,ESG,SDS,%FO,№,TOI/G,PIM
6,26,ATL MNK,1,0,37.5,38,9:57,18
6,34,VIT,3,0,33.3,75,10:59,18
23,48,MMG,5,0,62.2,18,14:59,40
27,53,SEV SPR,7,0,47.9,12,13:48,38
12,21,AKB,5,0,35.7,72,13:38,14
3,33,MNK,1,0,46.5,17,7:53,14
2,7,UGR,0,0,25.0,22,12:18,0
3,28,DMN,1,0,49.6,13,6:47,6
14,43,MNK,6,1,45.8,33,15:19,14
45,53,TOR,12,0,33.3,7,18:47,30
0,0,AMR,0,0,-,91,-,0
28,46,UGR,8,1,16.7,23,14:16,14
13,30,TRK,3,0,55.6,13,17:07,22
7,24,VIT,4,0,33.3,92,11:34,170
25,49,SAL,10,0,28.6,35,13:51,22
21,53,DMN,5,0,35.6,11,14:59,22
5,16,AMR,1,0,27.3,71,13:10,30
13,49,AVT,6,0,41.3,24,9:56,28
17,40,VIT,4,0,41.3,48,14:57,24
27,41,SAL,2,0,46.5,10,15:13,28
1,3,DRG,1,0,42.9,32,4:41,2
13,39,VIT SEV UGR,5,0,0.0,88,11:12,16
11,44,ATL,4,0,66.7,28,11:01,30
26,45,AVT,8,1,0.0,15,14:18,20
5,16,TRK,1,0,50.9,19,14:46,10
6,20,DYN,2,0,100.0,71,13:05,23
26,53,DRG,8,0,53.2,5,17:47,52
13,47,LOK,4,0,52.3,23,10:14,8
18,48,VIT,2,0,41.5,78,16:19,32
8,25,ATL,5,0,52.4,12,8:39,2
37,51,SKA,9,0,59.9,16,16:37,54
2,11,AVT,1,0,22.2,91,13:50,4
2,32,SIB,1,0,50.0,88,7:17,10
5,42,TRK CSK,0,0,41.7,17,9:06,22
27,46,AKB,10,0,40.0,10,15:04,28
2,7,AMR,1,0,54.1,17,15:58,2
0,2,MNK,0,0,50.0,51,9:10,0
3,21,SKA,2,0,52.4,15,9:03,2
21,53,UGR,8,0,51.3,75,16:32,44
16,29,SPR CSK,6,0,36.4,9,15:19,12
39,54,MMG,17,0,66.7,50,15:08,22
1,19,DRG,1,0,-,29,6:16,6
15,33,DYN,6,0,100.0,53,12:58,26
4,29,MMG,2,0,25.0,92,6:43,4
23,51,NKH,4,0,50.0,14,15:05,18
32,48,SAL,14,1,58.8,25,14:25,14
14,41,SIB,8,0,44.6,27,13:58,30
25,54,AMR,7,0,35.3,10,14:53,21
41,51,BAR,15,1,25.0,21,20:39,61
1,3,MMG,0,0,0.0,91,4:58,0
13,47,SPR,3,0,47.3,79,15:35,22
60,54,LOK,14,1,48.7,38,18:58,29
26,49,SAL,13,1,55.2,21,12:51,16
26,52,DYN,6,0,47.6,87,16:25,70
18,47,AVT,3,0,51.3,21,19:01,34
2,29,TOR,0,0,0.0,81,11:43,8
16,30,TRK,5,0,33.3,25,14:44,18
4,7,AKB,1,0,-,91,14:41,0
14,39,TOR,3,0,0.0,33,13:44,20
1,24,MNK,1,0,41.9,55,12:21,12
