Date,Age,G,AST%
1995-03-07,25-235,56,0.0
1995-01-31,25-200,41,18.5
1995-04-02,25-261,70,4.6
1995-02-14,25-214,47,0.0
1994-11-26,25-134,10,9.9
1995-01-27,25-196,39,0.0
1995-02-07,25-207,45,2.7
1994-12-13,25-151,17,11.0
1995-04-10,25-269,74,7.0
1995-03-31,25-259,69,5.8
1994-11-29,25-137,11,20.8
1995-04-21,25-280,81,15.7
1995-01-06,25-175,28,0.0
1995-01-05,25-174,27,8.5
1994-12-27,25-165,24,13.5
1995-03-28,25-256,67,4.0
1995-03-11,25-239,58,6.7
1995-03-08,25-236,57,6.1
1995-03-22,25-250,64,0.0
1994-11-23,25-131,8,7.0
1994-12-03,25-141,13,16.1
1994-11-12,25-120,4,0.0
1995-01-11,25-180,30,0.0
1995-03-17,25-245,61,9.6
1995-04-11,25-270,75,4.5
1995-03-14,25-242,60,9.6
1995-01-24,25-193,38,4.9
1995-03-04,25-232,55,8.7
