er,Date,ip,dp,hr
25,"Mar 18, 2010",7.0,0,9
0,"May 03, 2010",5.0,0,0
3,"Feb 07, 2010",5.0,0,1
0,"Apr 24, 2010",7.0,1,0
7,"Apr 29, 2010",7.0,2,4
7,"May 06, 2010",9.0,0,4
0,"Feb 21, 2010",5.0,0,0
12,"May 12, 2010",6.0,2,3
7,"Apr 03, 2010",7.0,1,2
7,"Mar 19, 2010",6.0,0,2
6,"Mar 05, 2010",7.0,2,2
4,"Apr 17, 2010",7.0,2,2
0,"Feb 07, 2010",5.0,1,0
4,"May 03, 2010",7.0,1,1
6,"Mar 11, 2010",11.0,2,0
6,"Feb 15, 2010",7.0,1,1
0,"Feb 06, 2010",8.0,1,0
3,"May 11, 2010",9.0,2,0
9,"Apr 06, 2010",9.0,1,1
6,"Apr 13, 2010",7.0,1,2
5,"Apr 10, 2010",7.0,1,1
12,"Mar 13, 2010",7.0,0,0
3,"Apr 18, 2010",9.0,2,0
2,"Mar 16, 2010",7.0,1,0
3,"Feb 26, 2010",7.0,2,0
4,"Feb 20, 2010",7.0,0,0
9,"May 11, 2010",9.0,1,0
7,"Mar 14, 2010",9.0,0,0
2,"Feb 13, 2010",7.0,1,1
2,"Apr 26, 2010",7.0,0,0
5,"Feb 27, 2010",9.0,0,0
9,"Apr 22, 2010",8.0,2,1
