CS,To,H,G,Rk,BB
2,2009,69,168,50.0,44
0,2011,0,30,61.0,0
0,2002,26,263,39.0,18
7,2013,725,889,51.0,334
0,1923,106,243,5.0,23
0,2004,0,22,36.0,0
0,1957,3,18,38.0,4
0,1997,22,108,45.0,4
0,1961,0,27,7.0,0
2,1993,49,104,19.0,29
0,1996,0,116,20.0,0
0,2012,0,36,48.0,0
0,2014,16,33,23.0,3
0,2015,3,193,3.0,0
0,2002,0,41,32.0,0
0,2014,7,39,9.0,4
0,1954,140,475,46.0,61
0,1969,0,29,12.0,0
0,1996,0,561,25.0,0
11,1976,550,694,55.0,120
0,1974,18,516,31.0,3
0,1987,6,23,64.0,2
5,2002,149,195,14.0,44
0,1974,0,1,27.0,0
4,2010,167,217,21.0,69
1,1972,83,412,26.0,18
0,1990,19,372,44.0,9
0,2010,8,11,34.0,2
0,1995,0,45,8.0,0
5,2015,303,374,37.0,78
0,2010,0,7,6.0,0
1,1956,57,122,30.0,26
5,1989,186,264,57.0,58
0,2011,79,119,29.0,27
0,1960,0,1,10.0,0
29,1970,1022,1165,1.0,208
38,2004,1885,2079,58.0,1075
