dWAR,RAR,Rdp,Acquired,162WL%,Rfield,G
0.0,0,0,Free Agency,.500,0,70
-0.1,-1,0,Free Agency,.499,-1,1
0.0,-1,0,Free Agency,.499,0,13
-1.2,10,1,Free Agency,.498,-7,116
0.0,1,0,Traded,.500,0,34
0.0,-3,-0,Traded,.498,0,30
0.0,-1,0,Traded,.499,0,22
0.0,1,0,Traded,.500,0,4
0.0,0,0,Waivers,.500,0,64
0.0,0,0,Free Agency,.500,0,5
-0.4,1,0,Amateur Draft,.499,-3,24
0.4,14,-0,Free Agency,.502,5,121
-0.3,16,-0,Traded,.505,-5,67
0.0,-0,0,Waivers,.500,0,23
0.0,0,0,Amateur Draft,.500,0,58
0.0,0,0,Free Agency,.500,0,26
0.0,0,0,Traded,.500,0,4
-3.2,16,-0,Amateur Draft,.498,-26,152
-0.4,-1,-0,Traded,.495,-1,80
0.0,0,0,Amateur Free Agent,.500,0,5
0.0,0,0,Free Agency,.500,0,1
