State,1951- 1955,1926- 1930,1976- 1980,1966- 1970
NEBRASKA,55,36,31,81
UTAH,9,4,7,59
MAINE,97,28,9,15
MISSISSIPPI,118,38,37,131
INDIANA,41,130,67,226
KANSAS,158,306,108,205
HAWAII,22,37,10,42
LOUISIANA,261,22,122,402
WYOMING,6,5,4,40
CONNECTICUT,28,47,19,69
RHODE ISLAND,10,7,9,32
SOUTH CAROLINA,47,44,24,112
ALABAMA,230,124,62,207
NEW YORK,431,254,88,479
NEW JERSEY,165,74,40,176
ARKANSAS,140,178,116,163
OREGON,132,67,52,85
MICHIGAN,77,83,60,136
OKLAHOMA,71,131,45,93
MARYLAND,52,77,50,76
NEW MEXICO,14,5,32,56
 , , , , 
ALASKA,11,0,28,6
TENNESSEE,201,183,96,243
MONTANA,22,16,41,77
DELAWARE,5,4,6,7
