Player,Pos,Team,Opp,Rush Yards,Rush TDs,Catches,Receive Yards,Receive TDs,Total Yards,Total TDs,FF Pts
Brandon Lloyd,WR,FA,NYJ,0,0,7,110,1,110,1,17.0
Hakeem Nicks,WR,TEN,DET,0,0,6,110,1,110,1,17.0
Malcom Floyd,WR,SDC,@STL,0,0,7,110,1,110,1,17.0
Mike Wallace,WR,MIN,CLE,0,0,7,100,1,100,1,16.0
Miles Austin,WR,PHI,@MIN,0,0,6,100,1,100,1,16.0
Percy Harvin,WR,BUF,DAL,0,0,7,100,1,100,1,16.0
Andre Johnson,WR,IND,KC,0,0,7,100,1,100,1,16.0
Hines Ward,WR,FA,CLE,0,0,6,100,1,100,1,16.0
Kenny Britt,WR,STL,@JAC,0,0,6,90,1,90,1,15.0
Brandon Marshall,WR,NYJ,@GB,0,0,5,80,1,80,1,14.0
Roddy White,WR,ATL,@PHI,0,0,6,80,1,80,1,14.0
Kellen Winslow,TE,FA,NO,0,0,5,70,1,70,1,13.0
Antonio Gates,TE,SDC,@STL,0,0,6,70,1,70,1,13.0
Anquan Boldin,WR,SFO,@NE,0,0,5,70,1,70,1,13.0
Danny Amendola,WR,NEP,SD,0,0,5,70,1,70,1,13.0
Vernon Davis,TE,SFO,OAK,0,0,5,70,1,70,1,13.0
Eddie Royal,WR,CHI,NYJ,0,0,6,70,1,70,1,13.0
Reggie Wayne,WR,FA,@WAS,0,0,5,70,1,70,1,13.0
Chris Cooley,TE,FA,IND,0,0,5,70,1,70,1,13.0
Zach Miller,TE,FA,@SF,0,0,6,60,1,60,1,12.0
Mike Thomas,WR,FA,TEN,0,0,4,60,1,60,1,12.0
Dwayne Bowe,WR,CLE,@HOU,0,0,3,60,1,60,1,12.0
Jeremy Maclin,WR,KCC,ATL,0,0,4,60,1,60,1,12.0
Tony Moeaki,TE,ATL,@HOU,0,0,5,60,1,60,1,12.0
Derrick Mason,WR,FA,@NE,0,0,4,60,1,60,1,12.0
Brandon Tate,WR,CIN,BAL,0,0,3,50,1,50,1,11.0
Jason Witten,TE,DAL,@MIN,0,0,5,50,1,50,1,11.0
Brandon Pettigrew,TE,DET,@NYG,0,0,5,50,1,50,1,11.0
Dallas Clark,TE,FA,@WAS,0,0,5,50,1,50,1,11.0
Nate Washington,WR,HOU,@JAC,0,0,4,50,1,50,1,11.0
Randy Moss,WR,FA,DAL,0,0,3,50,1,50,1,11.0
Aaron Hernandez,TE,FA,BAL,0,0,5,50,1,50,1,11.0
James Jones,WR,FA,MIA,0,0,3,50,1,50,1,11.0
Greg Olsen,TE,CAR,SEA,0,0,3,40,1,40,1,10.0
Dustin Keller,TE,FA,@DEN,0,0,4,40,1,40,1,10.0
Brent Celek,TE,PHI,ATL,0,0,3,40,1,40,1,10.0
Devery Henderson,WR,FA,@TB,0,0,2,40,1,40,1,10.0
Marcedes Lewis,TE,JAC,TEN,0,0,4,30,1,30,1,9.0
Lance Moore,WR,DET,@TB,0,0,3,30,1,30,1,9.0
Jerricho Cotchery,WR,CAR,@DEN,0,0,2,30,1,30,1,9.0
Wes Welker,WR,FA,BAL,0,0,8,80,0,80,0,8.0
Marques Colston,WR,NOS,@TB,0,0,5,70,0,70,0,7.0
Davone Bess,WR,FA,@GB,0,0,6,70,0,70,0,7.0
Jabar Gaffney,WR,FA,NYJ,0,0,5,70,0,70,0,7.0
Santana Moss,WR,FA,IND,0,0,6,70,0,70,0,7.0
Johnny Knox,WR,FA,SEA,0,0,5,70,0,70,0,7.0
Donald Driver,WR,FA,MIA,0,0,4,60,0,60,0,6.0
Austin Collie,WR,FA,@WAS,0,0,6,60,0,60,0,6.0
Roy Williams,WR,FA,@MIN,0,0,4,50,0,50,0,5.0
Kevin Walter,WR,FA,KC,0,0,4,50,0,50,0,5.0
Nate Burleson,WR,FA,@NYG,0,0,3,50,0,50,0,5.0
Tony Scheffler,TE,FA,@NYG,0,0,4,50,0,50,0,5.0
Michael Crabtree,WR,OAK,OAK,0,0,4,50,0,50,0,5.0
Greg Jennings,WR,MIA,MIA,0,0,3,50,0,50,0,5.0
Pierre Garcon,WR,WAS,@WAS,0,0,4,50,0,50,0,5.0
Todd Heap,TE,FA,@NE,0,0,4,50,0,50,0,5.0
Mike Williams,WR,FA,NO,0,0,4,50,0,50,0,5.0
Josh Cribbs,WR,FA,@PIT,20,0,2,30,0,50,0,5.0
Braylon Edwards,WR,FA,@DEN,0,0,4,50,0,50,0,5.0
Steve Smith,WR,FA,DET,0,0,4,50,0,50,0,5.0
Brian Hartline,WR,CLE,@GB,0,0,3,40,0,40,0,4.0
Owen Daniels,TE,DEN,KC,0,0,4,40,0,40,0,4.0
Jeremy Shockey,TE,FA,@TB,0,0,4,40,0,40,0,4.0
T.J. Houshmandzadeh,WR,FA,@NE,0,0,3,40,0,40,0,4.0
Santonio Holmes,WR,FA,@DEN,0,0,3,40,0,40,0,4.0
Harry Douglas,WR,TEN,@PHI,0,0,3,40,0,40,0,4.0
Earl Bennett,WR,FA,SEA,0,0,3,40,0,40,0,4.0
Andrew Quarless,TE,GBP,MIA,0,0,5,40,0,40,0,4.0
Heath Miller,TE,PIT,CLE,0,0,4,40,0,40,0,4.0
DeSean Jackson,WR,WAS,ATL,0,0,3,40,0,40,0,4.0
Mike Williams,WR,FA,@CHI,0,0,3,40,0,40,0,4.0
Legedu Naanee,WR,FA,@STL,0,0,3,40,0,40,0,4.0
