DRB%,DRtg,Date,BLK%,Tm
8.4,94,1990-03-24,0.0,PHO
16.3,107,1989-11-15,0.0,PHO
0.0,100,1990-01-30,11.2,PHO
29.0,102,1989-11-18,3.9,PHO
0.0,118,1990-04-22,0.0,PHO
25.0,90,1989-12-29,0.0,PHO
0.0,13,1990-02-14,0.0,PHO
12.8,85,1990-01-23,3.5,PHO
0.0,119,1990-04-03,0.0,PHO
24.5,104,1990-02-18,0.0,PHO
25.5,99,1989-11-22,0.0,PHO
0.0,104,1990-02-27,0.0,PHO
26.7,101,1990-01-20,0.0,PHO
5.1,89,1989-11-24,3.1,PHO
19.5,101,1990-01-12,0.0,PHO
6.8,99,1989-12-23,7.6,PHO
17.8,97,1989-12-12,0.0,PHO
0.0,100,1989-11-03,0.0,PHO
0.0,101,1989-11-21,13.6,PHO
44.8,120,1989-12-02,0.0,PHO
0.0,133,1990-03-27,0.0,PHO
0.0,76,1990-01-25,11.9,PHO
0.0,110,1990-04-12,11.6,PHO
15.6,117,1989-11-29,0.0,PHO
20.8,124,1990-03-26,0.0,PHO
0.0,107,1990-01-22,0.0,PHO
0.0,48,1990-01-17,61.5,PHO
10.5,108,1990-03-23,1.7,PHO
8.9,96,1989-12-26,0.0,PHO
0.0,111,1990-03-16,0.0,PHO
