GIDP,SF,SH,BB,POS,SO,SB,RBI
4,1,1,14,LF,15,2,15
7,1,14,16,RF,37,5,29
11,5,1,25,RF,52,1,72
10,3,9,22,RF,78,20,65
0,0,1,0,OF,1,0,0
8,2,4,14,OF,17,4,14
2,1,5,7,OF,34,0,18
9,6,4,24,RF,42,2,48
1,0,8,12,LF,13,5,9
0,0,0,8,OF,13,2,3
8,5,5,39,LF,36,2,63
2,0,0,0,RF,2,0,1
7,0,0,37,OF,38,12,42
7,2,1,22,OF,22,1,30
4,4,0,57,CF,48,16,73
3,3,3,9,OF,17,0,18
6,0,4,36,OF,27,1,14
1,0,0,3,OF,6,1,5
12,5,6,12,OF,32,7,41
16,5,2,31,RF,29,8,77
1,0,0,0,OF,3,0,2
3,1,0,11,OF,21,0,14
15,5,9,34,OF,34,8,58
0,0,1,9,LF,15,2,11
4,2,2,9,LF,15,0,13
12,6,10,26,OF,41,10,44
10,3,6,15,OF,33,4,38
4,0,3,15,OF,25,2,13
12,6,1,53,OF,61,37,82
8,3,2,40,OF,67,2,65
4,7,11,42,CF,45,11,55
1,0,0,0,OF,1,0,0
3,3,2,13,OF,12,1,15
4,1,3,29,LF,34,8,12
9,4,1,28,LF,44,3,39
4,0,12,23,OF,31,12,21
8,1,5,31,LF,48,7,45
22,4,0,20,LF,39,14,68
8,5,0,68,OF,61,1,86
1,0,0,4,OF,14,0,7
15,5,2,25,CF,39,2,66
1,0,1,5,OF,9,2,3
0,0,0,0,OF,4,0,2
2,0,0,9,OF,14,2,20
14,0,2,56,RF,42,0,50
9,3,0,29,OF,70,12,72
3,1,4,35,OF,34,4,29
14,5,0,52,OF,60,10,66
