Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
David Renfroe,Sal,4,1,2,1,0,0,3,0,0,1,0,0.5,0.6,0.75,1.35
Brandon Jacobs,Sal,94,23,37,8,0,7,22,7,5,12,19,0.394,0.472,0.702,1.174
Zach Gentile,Sal,5,2,2,1,0,0,1,0,0,1,1,0.4,0.5,0.6,1.1
Travis Shaw,Sal,100,24,34,10,0,7,26,3,1,13,16,0.34,0.432,0.65,1.082
David Chester,Sal,4,2,2,0,0,0,1,0,0,0,2,0.5,0.5,0.5,1.0
Heiker Meneses,Sal,60,13,23,2,2,1,13,6,4,2,10,0.383,0.391,0.533,0.924
Christian Vazquez,Sal,63,16,18,6,0,2,8,0,0,16,13,0.286,0.425,0.476,0.901
Xander Bogaerts,Sal,79,12,20,5,0,5,13,1,1,16,20,0.253,0.381,0.506,0.888
Jackie Bradley,Sal,56,12,18,6,0,0,9,5,1,10,12,0.321,0.452,0.429,0.881
Carson Blair,Sal,31,6,9,4,1,0,6,1,0,4,7,0.29,0.378,0.484,0.862
Jayson Hernandez,Sal,6,1,2,1,0,0,1,0,0,0,1,0.333,0.333,0.5,0.833
Felix Sanchez,Sal,43,9,14,2,0,1,7,10,0,1,8,0.326,0.356,0.442,0.797
Lucas LeBlanc,Sal,26,6,8,4,0,0,5,1,1,1,8,0.308,0.333,0.462,0.795
Shannon Wilkerson,Sal,87,14,26,5,2,1,11,7,3,4,4,0.299,0.33,0.437,0.766
Sean Coyle,Sal,87,17,22,5,0,3,16,2,0,9,24,0.253,0.33,0.414,0.744
Michael Almanzar,Sal,101,15,26,9,0,2,12,0,2,6,14,0.257,0.299,0.406,0.705
Adalberto Ibarra,Sal,42,5,11,0,0,0,3,4,0,9,6,0.262,0.418,0.262,0.68
Drew Hedman,Sal,40,5,8,3,1,1,8,3,0,3,9,0.2,0.273,0.4,0.673
Matty Johnson,Sal,35,4,9,2,0,0,3,3,0,4,2,0.257,0.35,0.314,0.664
Matthew Marquis,Sal,7,1,2,0,0,0,0,0,0,0,1,0.286,0.286,0.286,0.571
Keury De La Cruz,Sal,7,0,2,0,0,0,1,1,1,0,0,0.286,0.286,0.286,0.571
James Kang,Sal,26,3,5,1,0,0,2,1,0,2,8,0.192,0.241,0.231,0.472
Ryan Kalish,Sal,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
