Players,Min,FG,3pt,FT,Off,Def,Reb,Ast,TO,Stl,Blk,PF,P
Amber MooreDFP,29.0,6-13,1-5,8-8,1.0,5.0,6.0,2.0,1.0,2.0,1.0,4.0,21.0
Karisma PennDFP,39.0,7-13,0-1,4-8,4.0,4.0,8.0,2.0,4.0,1.0,4.0,5.0,18.0
Ivory CrawfordDFP,32.0,3-8,1-4,4-4,0.0,7.0,7.0,1.0,4.0,2.0,2.0,5.0,11.0
Alexis SmithDFP,32.0,2-5,0-0,1-2,1.0,0.0,1.0,5.0,6.0,2.0,1.0,3.0,5.0
Kersten MagrumDFP,28.0,0-6,0-1,1-2,3.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0
Taylor TuckDFP,17.0,0-2,0-2,0-0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0
Nia OdenDFP,12.0,0-1,0-0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Mckenzie PiperDFP,9.0,0-1,0-1,0-0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Cassie DumoulinDFP,1.0,0-0,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eriel DavisDFP,1.0,0-0,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Totals, ,18-49,2-14,18-24,9.0,20.0,29.0,12.0,20.0,9.0,8.0,22.0,56.0
Percentages, ,36.7%,14.3%,75.0%, , , , , , , , , 
