SLG,2B,AB,SO,SH,G,GIDP,SB
0.286,12,259,53,6,75,7,2
0.143,0,14,7,0,7,0,0
0.222,2,36,10,0,9,0,3
0.156,2,64,12,0,24,0,1
0.235,2,85,22,2,28,0,7
0.347,8,236,45,2,70,14,6
0.379,4,103,24,0,29,4,1
0.341,8,82,16,0,24,2,3
0.298,10,275,53,1,80,4,10
0.327,14,284,43,4,91,6,2
0.488,16,240,34,2,67,4,10
0.363,26,460,100,3,128,5,12
0.391,17,220,42,5,67,3,9
0.299,9,311,95,4,94,5,8
0.279,4,136,59,0,43,1,8
0.39,33,438,60,4,125,11,16
0.315,19,368,72,1,99,10,15
0.191,2,173,36,0,59,8,6
0.5,0,4,2,0,3,0,0
0.25,4,84,18,2,33,3,3
0.3,16,380,59,7,117,10,0
0.385,5,143,28,2,39,3,3
0.247,8,288,59,5,97,3,4
0.556,1,9,1,0,2,0,0
0.297,12,404,119,3,107,6,11
