G,Player,AB,OBP,CS,POS
43,M Sierra,143,.248,2,OF
21,J Wideman,61,.314,1,C
21,C Dunn,83,.333,2,OF
34,R Shimabukuro,81,.217,0,1B
14,R Del Campo,30,.382,0,C
1,J Phillabaum,0,--,0,P
32,W Lamont,106,.283,0,1B
42,S King,161,.315,2,SS
52,H Parrott,196,.320,2,2B
12,J Centeno,41,.222,0,C
4,M Arambarris,17,.167,0,3B
36,K Collado,95,.421,1,C
26,M Willard,90,.333,0,SS
23,K Denis-Fortier,75,.341,0,1B
45,B Laird,168,.367,0,3B
25,L Aguayo,79,.247,1,1B
25,R Gil,75,.277,0,C
38,R Alcombrack,127,.345,0,C
51,J Brito,210,.329,8,2B
5,B Finegan,14,.188,1,SS
47,L Carolus,167,.272,2,SS
27,J Del Campo,95,.407,0,3B
40,J Sucre,104,.265,1,C
4,M Perez,12,.462,0,C
23,N Biagini,66,.355,0,1B
40,R Vasquez,135,.316,1,2B
52,J Rojas,181,.425,0,3B
35,C Rosero,113,.375,4,2B
6,R Washington,14,.579,0,3B
29,J Ceballos,74,.226,0,C
11,T Bohn,31,.432,2,OF
43,C Fields,163,.337,5,2B
24,K Roque,62,.270,4,2B
4,S Robinson,11,.286,0,OF
13,V Ramos,40,.434,0,3B
29,D Winn,105,.400,2,SS
5,W Vazquez,17,.316,0,C
5,D Cox,6,.167,0,SS
19,S Martinez,52,.308,0,P
52,Y Solarte,175,.342,3,2B
2,C Maybin,7,.667,0,OF
30,R Wehrle,107,.361,1,SS
22,A Soto,66,.338,0,C
22,E Banks,74,.383,0,1B
1,C Blair,2,.500,0,2B
39,M Kennelly,107,.270,0,C
24,D Lehrman,80,.287,1,DH
51,T Brown,171,.340,2,OF
24,F Cruz,54,.314,1,SS
4,A Diaz,10,.364,0,1B
2,E Chavez,8,.600,0,OF
9,N Papasan,28,.355,0,SS
41,C Rice,113,.340,1,SS
6,R Tolan,22,.269,1,OF
49,J Tolisano,183,.336,1,2B
53,L Sumoza,190,.316,1,OF
43,K Miles,109,.172,2,OF
36,S Welch,139,.346,2,1B
47,C Nash,166,.372,1,1B
16,G Gattis,49,.379,1,OF
39,D Ingram,120,.430,5,OF
41,T Hamaoka,85,.236,0,OF
51,R Hernandez,163,.301,2,OF
4,N Morgan,13,.438,0,OF
19,M Cooney,61,.175,0,C
40,N Soto,152,.355,0,SS
3,K Peter,8,.636,0,OF
43,D Bomback,137,.360,4,2B
10,R Dent,35,.463,3,DH
25,C Maddox,75,.321,0,C
40,B Nicolas,156,.321,2,OF
38,A Morales,121,.357,5,OF
1,R Gonzalez,0,--,0,P
6,J Smith,18,.211,0,DH
10,J Paquette,22,.240,0,C
2,S Choo,5,.333,0,DH
2,P Kelly,5,.200,0,SS
44,J Guzman,151,.261,3,SS
35,R Tejada,120,.401,1,SS
17,D Elorriaga-Matra,42,.196,0,C
31,S Leon,94,.324,0,C
36,L Poole,88,.363,3,OF
51,C Lester,191,.357,7,OF
39,J Spiers,102,.352,3,2B
12,J Bert,28,.361,2,CF
4,C Duffy,13,.400,0,OF
7,T Cruz,32,.382,0,3B
32,B Pullen,95,.286,1,3B
40,C Mendez,132,.291,1,3B
31,J Martinez,92,.350,0,OF
11,K Rucker,32,.361,0,RF
27,L Fernandez,67,.329,1,SS
35,C Blackwood,102,.319,4,RF
33,C Alvarez,106,.382,2,SS
41,A Rodriguez,153,.337,3,CF
39,L De La Cruz,96,.337,3,C
1,W Polo,4,.750,0,OF
22,M MacDonald,57,.443,0,3B
9,C Kingrey,20,.208,0,OF
47,A Oliveras,162,.240,0,CF
45,D Berres,118,.258,3,OF
45,J Beresford,139,.349,2,SS
20,B Lawler,52,.361,1,C
54,T Mattair,200,.297,1,3B
24,L Arzeno,53,.350,0,C
22,E Harryman,69,.195,0,SS
1,L Bond,4,.000,0,OF
32,O Rodriguez,113,.319,4,OF
4,A De Aza,9,.750,2,OF
10,S Thomas,26,.407,0,C
45,O Tejeda,173,.344,2,SS
32,R Tomas,111,.303,0,SS
42,J Fitzpatrick,127,.382,1,1B
42,D McDonald,134,.257,5,OF
26,E Gonzalez,103,.321,1,SS
34,D Blocker,113,.373,0,3B
3,D Hernandez,11,.182,0,1B
27,J Garcia,78,.378,1,3B
34,C Huang,116,.273,1,1B
2,J Moran,3,.400,0,OF
30,T Binkoski,96,.306,1,OF
50,A De Castro,177,.354,1,SS
40,J Bowen,126,.329,0,C
42,J Jackson,166,.274,4,SS
50,R Escalona,181,.350,1,1B
57,K Bolt,207,.336,1,1B
21,D King,47,.245,0,OF
53,G Toribio,171,.389,5,SS
6,D Mailman,22,.320,1,1B
24,D Dixon,64,.342,0,OF
21,L Day,47,.304,0,C
10,A Dionicio,33,.171,1,OF
54,E Polanco,217,.367,0,1B
25,J Guzman,56,.317,1,SS
2,D Carpenter,1,.000,0,C
33,F Martinez,87,.296,1,OF
42,R Burgos,138,.372,0,1B
3,C Ebarb,9,.500,0,C
41,T d'Arnaud,141,.278,2,C
26,B Blumenthal,63,.417,0,C
27,E Conde,75,.250,1,OF
7,R White,23,.500,0,OF
53,P Baez,201,.341,1,3B
26,R Arias,64,.231,0,C
27,J Cabrera,66,.292,1,3B
36,V Alvarez,99,.373,0,SS
28,E Solano,95,.314,6,SS
51,E Eiland,176,.315,1,OF
20,C Bradley,49,.419,2,OF
