CS,POS,Team,AB,OPS
0,RF,SPR,10,0.533
3,OF,ARK,119,0.859
0,P,SA,1,0.0
0,OF,ARK,41,0.304
2,1B,SA,280,0.954
0,2B,SA,1,2.0
10,SS,ARK,345,0.637
0,P,TUL,1,0.0
5,RF,CC,416,0.842
2,2B,FRI,134,0.884
0,SS,FRI,25,0.431
0,C,NWA,182,0.682
0,P,FRI,1,0.0
4,2B,ARK,508,0.78
0,P,SPR,4,0.5
0,1B,FRI,12,1.083
2,3B,NWA,237,0.637
1,SS,ARK,297,0.658
0,C,MID,59,0.403
0,P,SPR,0,0.0
0,CF,CC,21,0.135
0,P,TUL,3,0.0
4,OF,SPR,286,0.709
0,C,ARK,32,0.559
0,C,FRI,6,0.333
1,C,CC,22,0.523
1,OF,MID,448,0.694
3,CF,NWA,441,0.781
10,SS,MID,484,0.735
0,DH,FRI,4,0.821
1,1B,FRI,506,0.831
0,P,TUL,6,0.333
0,P,SA,0,0.0
0,RF,FRI,157,0.969
1,LF,TUL,42,0.67
19,OF,SA,496,0.681
0,P,SPR,4,0.5
0,P,TUL,12,0.641
7,3B,SPR,498,0.804
0,C,SPR,48,0.633
0,P,SPR,0,0.0
1,SS,CC,151,0.654
4,LF,SPR,359,0.815
0,P,TUL,1,0.0
0,RF,MID,125,0.728
0,P,SPR,0,0.0
4,C,SA,207,0.57
0,P,SPR,4,0.333
0,P,TUL,0,0.0
0,P,SPR,1,0.0
0,P,TUL,0,0.0
2,C,TUL,326,0.727
1,RF,MID,99,0.848
4,CF,TUL,158,0.612
3,SS,NWA,164,0.506
0,C,FRI,4,0.65
1,OF,FRI,476,0.714
2,2B,SPR,248,0.7
0,C,SA,1,0.0
1,SS,SPR,308,0.72
0,LF,CC,20,0.85
3,2B,CC,437,0.672
0,P,SA,0,0.0
0,SS,ARK,11,0.364
1,3B,MID,245,0.729
1,3B,MID,148,0.527
1,3B,MID,231,0.584
7,OF,SPR,318,0.722
1,OF,NWA,93,0.812
0,P,TUL,2,0.0
5,2B,FRI,389,0.628
3,LF,ARK,208,0.78
0,P,SA,1,2.0
2,3B,SA,41,0.528
0,P,TUL,2,0.0
6,2B,SA,285,0.664
1,CF,FRI,132,0.687
2,CF,TUL,199,0.596
0,C,MID,267,0.548
0,P,SPR,9,0.222
2,C,FRI,348,0.643
0,P,TUL,3,1.0
2,SS,CC,131,0.715
0,P,SA,3,0.0
0,P,SA,1,0.0
4,OF,MID,347,0.837
6,1B,NWA,454,0.794
0,P,TUL,5,0.167
9,2B,TUL,446,0.753
