G,ORB%,Tm,BLK%,DRtg,eFG%,Date,USG%,TS%
29,0.0,IND,8.1,90,1.000,2005-03-08,5.2,1.000
6,22.9,IND,0.0,89,.400,2004-11-26,16.0,.400
25,9.3,IND,6.8,121,.000,2005-03-01,10.2,.000
27,6.3,IND,0.0,103,.333,2005-03-04,9.4,.333
2,13.0,IND,0.0,97,.500,2004-11-05,14.1,.694
3,35.2,IND,0.0,119,.500,2004-11-09,14.6,.581
24,6.1,IND,0.0,110,.667,2005-02-26,9.6,.667
26,19.3,IND,8.7,85,.250,2005-03-03,14.5,.434
12,7.9,IND,0.0,105,1.000,2005-01-26,10.4,.904
17,6.4,IND,0.0,109,1.000,2005-02-04,2.9,1.000
48,4.3,IND,0.0,105,.400,2005-04-17,13.9,.296
44,0.0,IND,0.0,120,.000,2005-04-10,4.8,.000
23,20.2,IND,0.0,92,.750,2005-02-25,11.6,.750
19,14.0,IND,0.0,112,1.000,2005-02-07,5.1,1.000
14,23.2,IND,8.6,100,.600,2005-01-29,12.2,.600
47,0.0,IND,0.0,102,.500,2005-04-15,13.0,.500
8,14.2,IND,4.6,101,.250,2005-01-15,15.3,.250
21,10.9,IND,0.0,100, ,2005-02-13,4.9, 
42,28.2,IND,4.3,88,.500,2005-04-06,34.5,.533
43,5.0,IND,0.0,94,.500,2005-04-08,3.5,.500
31,8.9,IND,2.1,114,.600,2005-03-13,10.6,.551
39,10.8,IND,0.0,101,.250,2005-03-31,7.9,.338
4,15.6,IND,7.7,102,.500,2004-11-23,21.6,.615
9,0.0,IND,0.0,88,.000,2005-01-18,3.7,.000
20,0.0,IND,0.0,107,.000,2005-02-11,4.4,.000
