GIDP,Player,3B,RBI,H
2,R Baldelli,0,8,12
10,L Rodriguez,2,56,101
3,G Velazquez,2,18,60
1,G Molina,0,18,27
2,D Espinosa,1,15,28
4,D Brown,1,21,37
1,K Negron,0,0,4
3,M Wagner,0,16,26
8,A Colina,0,28,43
4,L Duda,2,53,83
2,B Whiting,3,16,79
1,J Gathright,2,7,40
4,D Nava,1,48,82
1,D Pedroia,0,0,1
1,J Tucker,0,2,14
13,R Adams,2,58,101
1,G Matthews,1,6,32
1,K Nieuwenhuis,1,17,27
3,D Sardinha,0,24,46
11,J Ruggiano,0,70,131
0,J Snyder,0,1,2
5,S Duncan,0,34,44
8,N Reimold,0,37,84
10,C Ransom,1,63,103
12,M Cervenak,0,40,108
8,D Jennings,6,36,111
0,O Mercado,0,5,2
0,M Daniel,0,0,0
9,J Furmaniak,3,22,75
6,W Castillo,3,35,81
6,B Laird,0,12,30
5,J Salazar,1,55,110
2,K Frandsen,0,4,16
0,P Pilittere,0,5,20
0,C Guillen,0,2,6
1,Y Ortiz,1,6,7
11,N Sellers,1,39,93
9,B Bell,1,49,103
1,J Anderson,0,1,15
14,A Bates,2,54,103
6,B Hicks,1,22,55
6,B Morel,4,34,98
0,J Long,0,0,3
1,M Bertram,1,17,24
2,R Khoury,1,2,11
5,L Maza,1,10,37
2,R Eldridge,1,3,23
10,M Leon,6,27,71
1,T Glaus,0,8,10
18,R Andino,4,76,144
0,M Cameron,0,3,4
5,E Bruntlett,1,49,101
16,D Viciedo,0,47,94
4,J Weber,2,16,62
8,B Bixler,4,47,105
5,J Maxwell,0,21,66
0,M Prado,0,0,1
1,R Hanigan,0,2,11
2,C Denove,0,9,28
3,M Aubrey,2,68,86
1,J Savery,0,6,16
0,C Dickerson,0,7,19
0,J Jaso,0,2,4
6,J Miranda,1,43,84
7,E Johnson,5,56,136
2,W Cabrera,0,2,5
4,A Romero,0,2,11
12,C Huffman,0,45,101
0,J Blaquiere,0,5,7
2,C Curtis,0,27,69
15,J Goedert,1,51,83
0,C Granderson,0,2,4
3,C Moeller,0,9,20
12,A Diaz,1,22,68
2,E Eymann,1,6,15
0,K Shoppach,0,2,4
0,S Lerud,0,2,2
1,P Ciriaco,1,6,34
4,A De Aza,4,49,96
5,V Pascucci,0,38,49
9,L Davis,3,33,83
1,C Patterson,1,2,21
2,R Hammock,0,4,11
1,S Henry,0,3,4
0,C Delgado,0,2,3
8,M Jacobs,3,57,88
5,D Espino,0,11,20
0,Y Escobar,0,0,2
5,M Morse,0,8,13
14,J Mayberry,1,65,132
0,J Pridie,1,19,46
5,J Repko,2,28,64
1,J Colina,0,15,25
0,T Maccani,0,0,2
11,B Peterson,3,57,107
1,J Schafer,1,8,38
0,J Fernandez,0,1,6
9,J Morales,1,25,68
3,M Barrett,0,6,10
0,M Sheely,0,1,4
3,L Bolivar,2,13,40
0,L Montanez,2,20,28
3,W Toregas,0,6,10
5,J Reddick,4,65,120
2,T Crowe,1,13,29
0,D Nelson,0,6,9
1,M Lowrance,0,2,15
10,B Dinkelman,2,54,139
0,D Sappelt,3,8,35
0,J Holt,0,3,6
4,E Lis,0,23,34
3,N Evans,1,25,44
8,B Davis,2,23,60
0,Z Lutz,0,9,6
6,F Cortez,2,15,47
1,C Tracy,0,18,22
1,M Rabelo,0,8,5
10,A Green,1,24,52
6,C Duffy,4,34,84
4,M Griffin,1,22,48
3,C Phelps,4,31,77
9,J Jimenez,1,33,73
8,T Plouffe,4,49,98
2,D Dorn,2,46,83
2,R Bernadina,1,8,23
0,S Rooney,0,1,2
7,R Diaz,2,21,64
3,D Lucy,2,11,46
2,J Van Every,0,29,45
2,L Valbuena,1,20,30
5,J Jones,0,31,95
2,L Terrero,0,25,29
1,A de San Miguel,0,3,5
0,B Rhinehart,0,2,2
9,B Dlugach,3,41,116
1,H Blalock,0,24,38
3,N Weglarz,1,20,50
10,F Perez,3,32,86
10,D Jimenez,3,43,52
0,M Costanzo,0,1,2
3,S Sizemore,1,37,89
5,C Maldonado,0,27,42
4,B Clevlen,0,29,49
3,A Hernandez,0,17,40
13,M Young,5,35,146
10,J Lobaton,0,33,63
0,I Davis,0,4,12
4,J Clement,1,33,51
4,M St. Pierre,0,22,39
1,C White,0,5,23
10,L Anderson,3,53,107
5,J Tabata,2,19,69
0,K De Renne,0,0,3
0,J Bartlett,0,0,2
2,L Ordaz,1,12,22
1,J Francisco,4,59,88
15,Z Cozart,4,67,141
2,J Burke,0,9,30
5,B Guez,3,32,56
4,P Alvarez,4,53,67
2,J Natale,0,6,4
2,M Hessman,0,58,68
10,J Larish,0,55,82
1,L Marson,1,14,25
5,P Lopez,0,11,32
10,J Vazquez,0,62,79
1,C Tatum,1,3,2
1,M Abreu,0,3,7
0,M Hubbard,0,1,1
10,J Turner,1,43,125
3,C Retherford,0,13,32
11,T Frazier,4,66,124
0,S Manriquez,0,0,1
4,B Jones,1,14,32
1,D Lehmann,0,5,20
0,W Valdez,0,5,10
4,M Dorta,1,29,95
1,R Branyan,0,1,4
1,A Reyes,0,5,29
3,J Reed,2,22,48
0,J Apodaca,0,6,9
3,K Melillo,5,41,97
0,M Joyce,0,12,27
10,D Martin,7,67,124
11,J Dillon,0,57,92
1,M Thames,0,1,3
0,J Malo,1,1,5
14,B Bocock,3,31,86
0,J Lowrie,0,4,5
0,A Ciriaco,0,0,0
7,R Thompson,4,31,97
