MPG,FGA,3PM,FTM,Team,FTA,#,FG%,BPG
40.5,62.5,7.1,9.2,Changwon LG Sakers,13.6,140,0.46,2.8
40.0,66.4,6.1,13.9,Lietuvos Rytas Junior Team,20.1,673,0.426,2.4
39.9,67.0,4.7,11.0,El Bosque,16.3,756,0.378,2.0
40.5,59.1,6.7,17.0,Vendee Challans Basket,23.2,162,0.445,1.5
44.9,79.1,4.8,15.0,Shanghai Dongfang,21.2,51,0.457,5.5
40.1,60.2,6.4,17.7,KK Crvena Zvezda,25.6,584,0.466,2.0
47.8,73.9,6.7,18.4,Bayi Fubang,25.4,33,0.467,3.8
40.3,62.9,7.1,16.1,Port of Antwerp Giants,21.2,360,0.429,2.2
40.1,61.7,6.6,15.0,Rapla BS,21.5,597,0.404,1.3
40.3,69.0,6.3,15.1,Indios de Mayaguez,22.1,286,0.446,3.3
40.4,58.7,6.3,13.2,Peristeri BC,19.4,227,0.418,0.8
40.3,63.1,7.9,12.9,Tsmoki-Minsk,17.2,317,0.432,2.3
39.8,70.4,4.7,14.7,Waikato Pistons,22.8,784,0.425,4.4
39.9,61.4,7.2,16.4,CSU Atlassib Sibiu,22.1,770,0.447,3.4
40.3,57.4,5.6,11.5,JDA Dijon Basket,15.3,373,0.467,1.3
40.1,60.7,7.8,16.1,Iberostar Tenerife CB Canarias,20.3,507,0.468,2.1
40.0,56.3,5.9,16.5,KK Kakanj,25.4,736,0.477,1.3
40.1,61.4,7.2,14.4,Pi Okullari Ankara,22.1,523,0.441,1.4
40.1,62.0,6.8,14.2,AS Monaco Basket,20.7,546,0.466,1.9
40.1,61.5,5.4,12.9,Seoul SK,16.7,603,0.47,3.1
40.3,69.2,9.1,16.4,Phoenix Hagen,21.5,377,0.441,2.8
40.0,57.9,6.2,13.4,Panelefsiniakos AOK Eleusina,18.5,744,0.455,2.1
40.3,58.4,4.8,11.9,Boulazac Basket Dordogne,17.3,293,0.464,2.1
40.2,62.9,6.3,15.7,Elizur Ashkelon,20.6,430,0.443,2.0
40.1,60.8,7.4,16.1,Solna,20.4,534,0.485,2.7
48.1,101.8,9.9,14.0,Portland,21.8,23,0.494,4.6
40.3,60.7,6.9,17.8,Polpharma Starogard Gdanski,24.1,364,0.432,2.1
40.6,61.1,7.2,13.3,AZS Koszalin,19.6,120,0.46,2.4
40.7,60.3,6.9,15.4,KK Vogosca,22.0,106,0.482,1.5
40.0,54.2,3.2,8.2,Mas Mandoulides Junior Team,11.8,671,0.382,1.0
39.9,65.5,4.7,13.8,BC Tsmoki-Minsk II,19.6,772,0.404,2.3
40.4,68.0,7.4,15.4,Sokhumi,23.2,247,0.399,3.7
40.2,63.7,9.0,13.9,Joensuun Kataja,18.3,498,0.485,2.5
44.8,63.1,8.2,16.3,CSKA Moscow,22.7,52,0.487,3.4
40.2,63.1,7.7,15.9,OpenJobMetis Varese,21.3,429,0.462,3.2
40.5,67.9,6.1,15.3,LF Basket,20.4,141,0.469,2.9
39.3,65.1,5.4,12.5,Black Star Mersch,16.3,798,0.457,1.5
51.8,73.3,5.4,19.4,Enisey Krasnoyarsk,26.4,1,0.44,2.2
40.0,63.9,6.5,16.5,Kaposvari KK,21.1,627,0.486,1.7
40.6,60.8,7.9,17.2,CSU Asesoft Ploiesti,24.7,122,0.494,1.3
47.9,109.0,20.5,9.0,Olympia,12.0,31,0.528,3.0
48.4,95.2,5.8,16.2,East Bay,24.8,5,0.414,1.4
40.3,62.0,6.5,15.1,Denain ASC Voltaire,22.6,343,0.452,2.1
40.6,57.6,7.2,14.6,KK Borac Cacak,19.4,129,0.46,1.3
40.6,63.2,7.1,14.4,SL Benfica,19.3,126,0.498,3.6
40.5,59.5,5.5,17.1,Hapoel Migdal Jerusalem,23.1,165,0.486,1.6
40.2,63.2,5.9,15.5,Liepajas/Triobet,21.4,411,0.433,2.5
39.9,66.2,5.7,14.6,BK Levicki Patrioti Levice,22.2,774,0.474,3.9
39.9,66.1,4.0,6.1,Mersey Tigers,11.1,752,0.402,1.9
40.3,59.5,6.4,17.4,KK Cibona,23.0,307,0.469,1.8
40.3,67.0,7.0,13.9,Brujos de Guayama,19.9,281,0.448,3.6
40.3,56.7,6.8,13.5,Poitiers Basket 86,19.1,295,0.448,3.0
47.1,81.4,7.0,18.4,Montreal Jazz,27.2,42,0.404,4.6
39.9,61.0,5.6,13.5,UCC Demons,20.8,777,0.482,2.8
40.4,62.2,7.6,15.2,Lechugueros,20.5,257,0.448,2.0
40.0,71.6,6.5,15.2,Telecom Business Hub Jets,21.6,711,0.454,2.5
48.4,85.8,8.2,20.3,Guangdong Foshan,29.3,4,0.463,2.9
40.2,61.6,5.4,9.9,Seoul Samsung Thunders,13.7,491,0.436,2.9
40.0,57.8,6.7,11.1,KK Danilovgrad,16.7,661,0.456,1.8
39.3,67.0,6.7,13.0,AS Soleuvre,19.0,800,0.453,2.1
40.2,63.2,6.1,12.9,Stockholm Eagles,17.5,400,0.452,1.6
40.1,59.7,6.3,13.4,Union La Rochelle,18.6,565,0.434,1.3
40.7,57.3,6.5,15.4,Pasta Reggia JuveCaserta,20.3,109,0.438,1.4
40.2,60.1,7.4,12.3,Ribeira Sacra CB Breogan Lugo,16.3,494,0.432,3.6
40.3,60.4,6.3,11.8,Incheon ET Land Elephants,16.3,308,0.479,2.8
40.4,55.6,6.4,11.3,Giessen 46ers,16.1,193,0.458,2.2
47.5,95.2,13.0,14.8,Salem,24.6,40,0.47,3.5
40.2,59.4,5.8,15.6,KK Krizevci,21.2,442,0.461,1.8
40.1,67.1,8.3,14.3,Rayos de Hermosillo,20.3,572,0.481,1.9
40.4,59.7,5.7,15.0,Ilisiakos BC,21.0,239,0.403,2.2
40.0,58.9,4.1,16.6,Bandirma Kirmizi,25.1,623,0.43,3.3
40.2,58.5,7.1,14.1,Lanus,21.3,410,0.475,2.6
40.1,60.4,8.3,14.6,Kutaisi,21.9,589,0.444,3.0
41.5,76.1,7.5,17.0,OceanaGold Nuggets,26.5,61,0.459,4.3
40.2,59.1,7.3,15.1,Sodertalje,18.9,462,0.485,2.6
40.1,73.8,6.2,11.3,Hoops Club,15.9,559,0.44,2.6
48.3,85.6,9.8,17.6,Liaoning,24.2,13,0.466,3.0
40.4,59.9,7.1,13.0,FC Barcelona Regal,17.1,241,0.489,3.0
40.0,64.5,6.1,12.9,Borisfen Mogilev,19.9,626,0.362,2.1
39.9,61.8,5.9,16.5,BC Prievidza,22.3,762,0.471,2.9
40.1,57.6,7.6,12.6,KK Zabok,17.7,561,0.51,2.8
40.4,66.3,4.9,11.4,Bejjeh,21.2,201,0.423,1.3
40.0,58.5,7.2,18.8,Usak Sportlif,28.1,703,0.44,5.0
40.1,60.7,7.1,19.8,FC Bayern Muenchen,26.6,556,0.462,2.6
40.0,68.3,7.6,11.5,Glasgow Rocks,15.4,734,0.468,3.0
40.0,72.2,6.7,13.3,Fjolnir,19.9,725,0.433,3.7
40.0,64.5,6.2,9.2,Unicaja Malaga Junior Team,15.5,692,0.438,4.8
40.4,62.4,7.0,16.1,Azovmash Mariupol,21.6,191,0.45,3.0
40.0,55.7,5.7,14.0,KK Spars Junior Team,21.3,619,0.436,0.4
40.1,61.7,5.7,13.3,Anadolu Efes,18.8,578,0.478,2.3
40.0,63.9,7.5,16.2,Huracanes,23.3,721,0.506,2.7
40.2,56.2,7.4,14.3,Aris BC,19.8,478,0.434,2.3
40.0,68.6,6.8,13.9,Soles,22.9,702,0.489,2.5
40.6,64.8,6.9,10.4,INSEP,14.1,118,0.427,3.1
40.3,59.3,6.9,13.5,BC Boncourt Red Team,18.2,331,0.452,2.6
0.0,51.5,10.0,18.5,Middle Tennessee Storm,27.0,820,0.398,4.5
44.7,63.2,6.9,17.9,UNICS Kazan,23.1,53,0.456,2.7
40.0,62.3,4.8,16.0,Levharti Chomutov,23.6,729,0.476,2.1
40.2,58.9,8.9,14.7,Boca Juniors,20.3,455,0.486,2.8
