Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,15.00K,0.00K
RECLUSE,CAMPBELL CO.,WY,08/12/2010,15:55,MST-7,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
RECLUSE,CAMPBELL CO.,WY,08/12/2010,16:00,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
RECLUSE,CAMPBELL CO.,WY,08/12/2010,16:30,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
ROCKYPOINT,CAMPBELL CO.,WY,08/12/2010,16:42,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
ROCKYPOINT,CAMPBELL CO.,WY,08/12/2010,16:55,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
ROCKYPOINT,CAMPBELL CO.,WY,08/12/2010,16:55,MST-7,Thunderstorm Wind,61 kts. EG,0,0,2.00K,0.00K
NEW HAVEN,CROOK CO.,WY,08/12/2010,17:07,MST-7,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
NEW HAVEN,CROOK CO.,WY,08/12/2010,17:15,MST-7,Hail,1.50 in.,0,0,0.00K,0.00K
NEW HAVEN,CROOK CO.,WY,08/12/2010,17:15,MST-7,Thunderstorm Wind,52 kts. EG,0,0,5.00K,0.00K
NEW HAVEN,CROOK CO.,WY,08/12/2010,17:17,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
NEW HAVEN,CROOK CO.,WY,08/12/2010,17:17,MST-7,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
HULETT,CROOK CO.,WY,08/12/2010,17:30,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
HULETT,CROOK CO.,WY,08/12/2010,17:30,MST-7,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
HULETT,CROOK CO.,WY,08/12/2010,17:30,MST-7,Thunderstorm Wind,61 kts. EG,0,0,3.00K,0.00K
HULETT,CROOK CO.,WY,08/12/2010,17:30,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
NEW HAVEN,CROOK CO.,WY,08/12/2010,17:30,MST-7,Hail,0.75 in.,0,0,0.00K,0.00K
NEW HAVEN,CROOK CO.,WY,08/12/2010,17:30,MST-7,Thunderstorm Wind,70 kts. EG,0,0,1.00K,0.00K
ALVA,CROOK CO.,WY,08/12/2010,17:50,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
ALVA,CROOK CO.,WY,08/12/2010,17:50,MST-7,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
COLONY,CROOK CO.,WY,08/12/2010,18:05,MST-7,Thunderstorm Wind,61 kts. EG,0,0,4.00K,0.00K
COLONY,CROOK CO.,WY,08/12/2010,18:05,MST-7,Hail,1.25 in.,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,0,15.00K,0.00K
