G,GmSc,Tm,ORtg,Age,AST%
62,5.3,WAS,157,22-162,0.0
39,1.2,WAS,64,22-113,0.0
61,0.0,WAS, ,22-160,0.0
38,4.5,WAS,117,22-111,16.6
59,1.0,WAS,57,22-157,0.0
20,0.5,WAS,64,22-063,0.0
53,-0.1,WAS, ,22-145,0.0
25,1.6,WAS,205,22-076,0.0
17,0.0,WAS, ,22-054,0.0
4,0.7,WAS,78,22-020,43.6
32,-1.8,WAS,16,22-097,0.0
45,3.6,WAS,204,22-128,9.8
7,-0.7,WAS,0,22-032,0.0
50,0.3,WAS,0,22-139,0.0
36,0.4,WAS,73,22-106,29.1
1,-0.4,WAS, ,22-011,0.0
46,-0.9,WAS,27,22-129,0.0
65,1.0,WAS,232,22-167,28.9
21,0.0,WAS, ,22-067,0.0
48,3.0,WAS,93,22-134,9.6
19,1.5,WAS,70,22-062,0.0
26,0.3,WAS,0,22-078,0.0
58,0.0,WAS, ,22-155,0.0
3,-1.4,WAS,16,22-014,30.0
70,3.3,WAS,80,22-179,16.7
41,1.8,WAS,55,22-116,5.5
30,0.7,WAS,214,22-090,0.0
31,4.1,WAS,78,22-095,0.0
23,-2.2,WAS,23,22-070,16.2
14,0.6,WAS, ,22-048,0.0
69,9.5,WAS,122,22-177,8.3
47,0.8,WAS,90,22-132,21.0
29,1.7,WAS,105,22-087,0.0
9,-1.1,WAS,0,22-035,0.0
