BATTING,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
2007,WSH,15,27,26,5,7,0,0,2,5,0,0,1,8,0.269,0.296,0.5,0.796
2009,WSH,40,102,89,13,22,4,1,4,9,6,1,12,32,0.247,0.343,0.449,0.792
2010,WSH,67,131,104,16,15,6,0,3,12,5,1,25,43,0.144,0.305,0.288,0.593
2012,HOU,124,352,315,46,72,13,3,18,53,9,4,32,114,0.229,0.304,0.46,0.764
2013,HOU,40,151,137,21,33,10,2,2,8,4,1,12,43,0.241,0.311,0.387,0.698
2013,KC,35,111,97,14,26,6,1,5,17,2,1,11,35,0.268,0.351,0.505,0.856
2013,Total,75,262,234,35,59,16,3,7,25,6,2,23,78,0.252,0.328,0.436,0.764
2014,KC,20,45,40,4,6,1,0,0,3,0,1,2,20,0.15,0.222,0.175,0.397
2015,SF,78,227,209,24,45,7,2,7,25,1,1,14,62,0.215,0.27,0.368,0.638
Career, ,419,1146,1017,143,226,47,9,41,132,27,10,109,357,0.222,0.303,0.407,0.71
