Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Tri-City,0.271,76,2538,414,688,109,23,50,361,288,500,119,39,29,27,46,0.355,0.391,0.746
Auburn,0.271,76,2667,432,722,143,19,35,381,284,566,82,22,26,33,64,0.346,0.378,0.724
Batavia,0.26,76,2608,342,678,150,23,43,302,208,603,43,24,17,24,38,0.32,0.385,0.705
Williamsport,0.249,76,2608,337,650,137,25,21,300,241,617,66,24,14,26,50,0.32,0.345,0.665
Jamestown,0.245,75,2468,293,604,116,16,30,261,208,466,54,30,24,18,68,0.309,0.341,0.65
Vermont,0.243,76,2497,281,607,118,16,21,243,234,569,45,31,42,23,52,0.313,0.328,0.642
Mahoning Valley,0.241,75,2530,294,610,124,19,27,266,222,626,54,31,20,13,55,0.31,0.337,0.647
Hudson Valley,0.241,76,2560,347,617,125,13,28,308,260,548,77,30,12,16,46,0.319,0.333,0.652
Staten Island,0.239,75,2538,317,607,119,14,39,274,263,594,51,14,21,18,67,0.321,0.343,0.665
State College,0.237,76,2431,295,577,110,22,19,251,209,545,83,46,40,24,41,0.31,0.324,0.634
Aberdeen,0.234,76,2544,301,595,114,27,30,273,237,553,83,23,12,23,38,0.308,0.335,0.643
Lowell,0.231,76,2538,297,586,99,14,33,251,243,624,106,28,16,21,53,0.305,0.32,0.624
Brooklyn,0.23,76,2552,288,586,116,11,44,251,310,539,23,16,12,20,67,0.321,0.335,0.657
Connecticut,0.227,75,2469,284,561,105,20,30,231,192,594,73,33,34,20,38,0.291,0.322,0.614
