BPG,DRB,FTM,FGA,#,GP,FG%,Team,3PA,RPG
0.1,2.1,0.4,4.2,62,34,0.437,ASU,3.8,2.3
0.4,1.9,1.6,6.6,38,37,0.44,U of A,4.5,2.1
0.1,2.8,4.2,14.4,3,31,0.387,CU,5.4,3.3
1.2,5.4,2.1,10.8,16,31,0.485,OSU,3.0,7.5
0.1,3.6,1.8,10.2,28,34,0.405,ASU,3.8,4.2
0.2,3.4,1.4,4.9,57,28,0.489,SU,0.0,5.6
0.2,3.5,1.7,7.6,34,28,0.416,U of U,4.4,3.9
0.1,1.5,1.6,2.9,76,31,0.4,WSU,0.8,1.7
0.1,3.0,5.4,14.5,2,37,0.403,SU,6.7,3.3
0.2,1.8,0.4,3.4,80,32,0.345,USC,1.6,2.7
1.0,2.1,0.9,5.4,54,31,0.53,WSU,0.0,3.2
0.7,3.4,3.2,8.5,22,38,0.514,U of A,0.9,5.2
0.0,2.4,1.4,7.8,30,35,0.445,U of U,5.3,2.6
0.2,1.1,0.8,5.3,53,31,0.418,WSU,3.1,1.6
0.3,1.2,0.9,6.5,46,35,0.436,UO,3.9,1.7
0.4,4.1,3.5,13.0,6,36,0.456,UCLA,3.3,4.7
2.7,4.2,0.3,4.0,65,35,0.597,UO,0.0,6.1
0.1,2.7,1.1,4.8,55,36,0.52,SU,1.2,3.7
0.5,4.3,1.7,6.0,43,31,0.452,UW,2.9,6.2
0.1,2.3,2.6,9.6,29,31,0.37,OSU,3.1,3.0
0.2,1.7,1.1,3.4,70,32,0.445,CU,0.6,2.5
0.1,1.9,4.5,12.5,5,31,0.406,WSU,6.6,2.6
0.2,4.0,2.5,14.0,7,30,0.442,UW,2.9,4.7
0.2,3.4,2.7,9.8,20,34,0.437,ASU,3.6,4.7
0.2,1.4,0.9,4.6,66,30,0.345,CU,2.2,1.7
0.8,4.8,3.8,7.2,27,38,0.502,U of A,0.8,6.8
0.1,3.2,1.5,8.2,32,38,0.498,U of A,2.1,3.8
0.3,1.9,1.2,5.4,49,31,0.437,U of U,3.6,2.4
0.9,4.0,2.7,8.1,24,34,0.543,UCLA,0.0,6.7
1.8,5.0,4.4,9.2,13,26,0.544,CU,0.2,8.4
0.2,3.8,3.5,9.0,18,36,0.52,UO,0.6,5.2
0.4,3.0,1.1,6.6,48,33,0.376,SU,3.1,4.1
1.0,4.0,4.4,9.3,12,35,0.509,U of U,2.1,4.9
0.6,3.9,1.6,4.7,61,32,0.433,USC,0.0,5.7
0.8,1.7,1.6,6.7,35,27,0.608,UW,0.0,3.5
0.2,1.3,0.9,5.4,51,33,0.427,ASU,3.7,2.3
1.2,3.5,2.3,4.8,44,34,0.626,ASU,0.0,5.9
0.4,1.4,1.2,4.2,60,35,0.479,U of U,1.2,2.3
0.2,5.8,3.1,11.0,10,37,0.431,SU,4.8,6.9
0.0,3.9,3.4,16.4,1,36,0.448,UO,7.1,4.4
1.4,4.3,1.6,4.4,52,34,0.55,CU,0.4,6.9
0.0,1.7,0.5,3.0,78,36,0.385,UO,2.0,1.9
