Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Travis Shaw,PorSal,211,21,47,13,2,4,21,4,1,27,63,0.223,0.317,0.36,0.677
Darnell McDonald,Paw,8,1,2,1,0,0,2,0,0,0,2,0.25,0.3,0.375,0.675
Reynaldo Rodriguez,PawPor,197,21,44,13,0,5,13,4,1,23,54,0.223,0.308,0.365,0.673
Drew Hedman,PorSal,121,15,22,6,0,5,12,4,0,23,40,0.182,0.318,0.355,0.673
Manuel Margot,DSL,108,13,28,3,2,0,14,8,5,12,17,0.259,0.347,0.324,0.671
Bryce Brentz,PawPor,237,20,58,10,1,5,26,2,2,21,71,0.245,0.311,0.359,0.669
Boss Moanaroa,Gre,201,15,47,9,1,2,19,0,1,35,56,0.234,0.35,0.318,0.668
Alex Hassan,Paw,140,7,31,5,0,2,11,1,1,28,36,0.221,0.366,0.3,0.666
Deven Marrero,Low,132,15,33,6,1,1,7,6,4,16,27,0.25,0.331,0.333,0.664
Ricardo Andujar,DSL,60,4,14,1,1,0,4,2,2,13,19,0.233,0.378,0.283,0.662
Kolbrin Vitek,3 Teams,131,9,33,12,0,1,6,0,0,8,32,0.252,0.295,0.366,0.661
Jose Colorado,LowGCL,84,6,21,3,1,1,6,4,2,8,20,0.25,0.316,0.345,0.661
Felix Sanchez,Sal,64,6,16,3,0,1,4,7,2,5,17,0.25,0.31,0.344,0.654
Jose Garcia,Gre,196,23,45,9,1,3,12,15,5,23,57,0.23,0.312,0.332,0.644
Pedro Ciriaco,Paw,135,17,35,7,1,1,7,6,1,4,23,0.259,0.289,0.348,0.637
Ronald Bermudez,PawPor,108,10,27,5,1,1,5,2,1,7,23,0.25,0.293,0.343,0.636
Kendrick Perkins,Low,80,11,14,4,0,3,6,2,1,13,30,0.175,0.298,0.338,0.635
Lars Anderson,Paw,143,10,31,9,1,2,13,0,0,17,40,0.217,0.298,0.336,0.634
Matty Johnson,SalLow,103,9,25,4,1,0,7,4,4,14,20,0.243,0.331,0.301,0.631
Matt Spring,Por,108,7,22,4,0,3,7,0,1,13,34,0.204,0.301,0.324,0.625
David Chester,SalLow,100,10,21,6,0,2,10,0,2,11,22,0.21,0.295,0.33,0.625
Marquez Smith,Por,132,8,31,8,0,2,12,0,0,8,29,0.235,0.282,0.341,0.623
Robert Del Rosario,DSL,107,11,26,3,0,1,14,6,2,13,22,0.243,0.32,0.299,0.619
Tzu-Wei Lin,GCL,37,2,10,1,0,0,4,1,1,3,12,0.27,0.317,0.297,0.614
Oscar Tejeda,Por,134,9,32,7,0,2,12,2,0,6,31,0.239,0.277,0.336,0.612
