Rk,ORtg,GmSc,Tm,DRtg,USG%,G,MP,ORB%
46,71,0.2,SAC,98,14.0,46,6:00,19.0
54,106,9.7,SAC,83,17.4,54,23:00,0.0
21,93,7.0,SAC,102,29.0,21,15:00,13.3
6,111,8.9,SAC,116,18.2,6,25:00,4.4
49,206,5.0,SAC,117,2.3,49,19:00,5.1
10,150,3.3,SAC,107,4.2,10,8:00,0.0
37,40,-0.5,SAC,113,5.1,37,9:00,0.0
2,73,0.7,SAC,123,7.3,2,26:00,0.0
23,84,6.6,SAC,112,24.4,23,24:00,0.0
40,155,2.6,SAC,127,9.9,40,9:00,0.0
35,66,0.0,SAC,106,10.9,35,12:00,0.0
56,117,9.6,SAC,102,13.4,56,27:00,0.0
20,125,1.0,SAC,117,7.0,20,13:00,0.0
5,75,4.2,SAC,118,17.8,5,21:00,0.0
11,115,1.9,SAC,95,11.2,11,8:00,0.0
52,98,4.4,SAC,120,10.6,52,16:00,0.0
9,132,9.0,SAC,106,11.9,9,26:00,0.0
32,72,1.2,SAC,90,13.6,32,13:00,0.0
12,123,8.2,SAC,125,15.1,12,25:00,17.9
29,50,0.8,SAC,98,15.1,29,20:00,0.0
28,75,0.9,SAC,119,6.4,28,6:00,0.0
18,91,0.9,SAC,129,16.3,18,8:00,0.0
17,0,-1.4,SAC,108,10.0,17,4:00,0.0
15,88,5.3,SAC,126,18.8,15,36:00,3.0
16,26,-0.7,SAC,101,22.3,16,4:00,0.0
51, ,0.0,SAC,134,0.0,51,3:00,0.0
25,25,-3.2,SAC,103,13.8,25,15:00,15.6
36,110,5.5,SAC,108,25.7,36,9:00,10.3
38,122,4.6,SAC,133,12.1,38,18:00,0.0
