h,gdp,3b,Opponent,cs,bb,ab,sb,sh
10,1,0,Nicholls Colonels,0,4,36,1,0
10,0,1,BAYLOR,0,4,34,3,2
5,1,0,SOUTHEASTERN LA.,1,1,31,0,0
14,2,0,UTSA,0,4,37,0,0
8,0,0,Northwestern State,1,3,33,2,1
4,0,0,Central Arkansas,0,3,30,1,0
7,0,0,ARKANSAS STATE,0,3,29,2,2
8,0,0,SAM HOUSTON STATE,2,2,33,1,0
7,0,0,SOUTHEASTERN LA.,0,2,31,2,0
18,3,1,Texas State,0,1,43,1,0
9,0,0,HOUSTON BAPTIST,0,0,31,2,0
17,1,0,A&M-CORPUS CHRISTI,1,2,38,0,1
4,0,0,Central Arkansas,0,0,26,0,0
8,1,0,GONZAGA,0,6,46,1,2
8,0,0,MCNEESE STATE,0,1,30,0,1
12,1,0,MCNEESE STATE,0,7,31,0,3
