Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,5.00K,0.00K
BUFFALO,HUMPHREYS CO.,TN,03/14/2012,14:15,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
LEOMA,LAWRENCE CO.,TN,03/14/2012,15:15,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
LEOMA,LAWRENCE CO.,TN,03/14/2012,15:20,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
BOLD SPGS,HUMPHREYS CO.,TN,03/14/2012,15:28,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
CENTERVILLE ARPT,HICKMAN CO.,TN,03/14/2012,15:50,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
SHIPPS BEND,HICKMAN CO.,TN,03/14/2012,16:00,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
LAMPLEY STORE,WILLIAMSON CO.,TN,03/14/2012,16:25,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
LYLES,HICKMAN CO.,TN,03/14/2012,16:25,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
GREENBRIER,ROBERTSON CO.,TN,03/14/2012,16:45,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
HIGHLAND ACADEMY,SUMNER CO.,TN,03/14/2012,16:50,CST-6,Hail,1.50 in.,0,0,0.00K,0.00K
VANLEER,DICKSON CO.,TN,03/14/2012,17:00,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
MUDSINK,WILLIAMSON CO.,TN,03/14/2012,17:02,CST-6,Hail,1.50 in.,0,0,0.00K,0.00K
MALLORYS,WILLIAMSON CO.,TN,03/14/2012,17:10,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
MALLORYS,WILLIAMSON CO.,TN,03/14/2012,17:10,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
SYCAMORE,CHEATHAM CO.,TN,03/14/2012,17:15,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
WESTMORELAND,SUMNER CO.,TN,03/14/2012,17:15,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
MUDSINK,WILLIAMSON CO.,TN,03/14/2012,17:18,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
BEARWALLOW,CHEATHAM CO.,TN,03/14/2012,17:25,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
GREENBRIER,ROBERTSON CO.,TN,03/14/2012,17:25,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
MILLERSVILLE,SUMNER CO.,TN,03/14/2012,17:25,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
WRENCOE,DAVIDSON CO.,TN,03/14/2012,17:25,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
CHESTNUT GROVE,ROBERTSON CO.,TN,03/14/2012,17:28,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
COOPERTOWN,ROBERTSON CO.,TN,03/14/2012,17:29,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
MILLERSVILLE,SUMNER CO.,TN,03/14/2012,17:36,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
CRUNK,ROBERTSON CO.,TN,03/14/2012,17:40,CST-6,Hail,2.00 in.,0,0,0.00K,0.00K
GREENBRIER,ROBERTSON CO.,TN,03/14/2012,17:40,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
GREENBRIER,ROBERTSON CO.,TN,03/14/2012,17:41,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
HIGHLAND ACADEMY,SUMNER CO.,TN,03/14/2012,17:54,CST-6,Hail,1.75 in.,0,0,5.00K,0.00K
GALLATIN,SUMNER CO.,TN,03/14/2012,18:20,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
LAFAYETTE,MACON CO.,TN,03/14/2012,18:40,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
LAFAYETTE,MACON CO.,TN,03/14/2012,18:43,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,0,5.00K,0.00K
