BATTING,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
1997,MIA,14,57,52,5,10,1,1,0,4,3,0,4,7,0.192,0.25,0.25,0.5
1998,MIA,154,623,578,72,161,25,7,11,68,10,5,34,61,0.279,0.318,0.403,0.721
1999,MIA,148,535,495,57,134,23,9,8,50,7,6,29,50,0.271,0.306,0.402,0.708
2000,MIA,152,578,530,87,158,31,5,12,57,19,9,42,46,0.298,0.347,0.443,0.79
2001,SD,119,460,406,67,118,29,1,10,58,13,5,48,58,0.291,0.366,0.441,0.807
2002,SD,153,646,578,82,169,27,7,17,61,11,9,59,89,0.292,0.359,0.452,0.811
2003,SD,128,541,482,64,128,28,4,7,38,6,3,56,82,0.266,0.343,0.384,0.727
2004,OAK,148,673,606,78,190,37,3,15,63,8,5,55,70,0.314,0.37,0.459,0.829
2005,OAK,139,629,582,75,163,35,1,15,82,5,5,40,51,0.28,0.325,0.421,0.746
2006,OAK,129,558,502,57,138,29,3,7,59,6,3,44,55,0.275,0.332,0.386,0.718
2007,OAK,56,227,206,20,44,14,0,1,20,1,1,19,20,0.214,0.279,0.296,0.575
2008,ATL,88,345,318,39,92,17,3,6,37,2,3,25,34,0.289,0.34,0.418,0.758
2008,BOS,22,91,84,6,19,8,1,0,12,0,1,7,11,0.226,0.286,0.345,0.631
2008,Total,110,436,402,45,111,25,4,6,49,2,4,32,45,0.276,0.329,0.403,0.732
2009,BOS,27,79,74,4,19,2,0,1,5,2,1,4,12,0.257,0.291,0.324,0.615
2009,CHW,40,127,113,12,33,7,0,3,18,1,1,11,9,0.292,0.349,0.434,0.783
2009,Total,67,206,187,16,52,9,0,4,23,3,2,15,21,0.278,0.327,0.39,0.717
2010,CHW,107,359,327,30,78,17,2,8,31,1,3,32,36,0.239,0.306,0.376,0.682
2011,MIL,104,255,233,18,63,13,1,3,31,3,0,21,27,0.27,0.329,0.373,0.702
2012,SD,82,156,143,9,37,8,0,2,14,0,2,11,14,0.259,0.314,0.357,0.671
2013,SD,104,171,155,8,30,2,0,1,12,0,2,13,25,0.194,0.253,0.226,0.479
Career, ,1914,7110,6464,790,1784,353,48,127,720,98,64,554,757,0.276,0.332,0.404,0.736
