Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
10/25/2014,TOR @ NE,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/16/2014,NE @ HOU,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/11/2014,NE @ MTL,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/4/2014,CLB @ NE,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/26/2014,NE @ KC,W 3-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/20/2014,NE @ CLB,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/13/2014,MTL @ NE,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/7/2014,CHI @ NE,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/3/2014,KC @ NE,W 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
8/30/2014,NE @ TOR,W 3-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/23/2014,CHV @ NE,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/16/2014,POR @ NE,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/2/2014,NE @ NY,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/30/2014,COL @ NE,W 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/26/2014,CLB @ NE,L 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/19/2014,NE @ DAL,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/16/2014,NE @ LA,L 1-5,Unused Sub,0,0,0,0,0,0,0,0,0
7/12/2014,CHI @ NE,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
7/4/2014,NE @ RSL,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
6/28/2014,PHI @ NE,L 3-1,Unused Sub,0,0,0,0,0,0,0,0,0
6/8/2014,NY @ NE,L 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/31/2014,NE @ MTL,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/24/2014,DC @ NE,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/17/2014,NE @ PHI,W 5-3,Unused Sub,0,0,0,0,0,0,0,0,0
5/11/2014,SEA @ NE,W 0-5,Unused Sub,0,0,0,0,0,0,0,0,0
5/3/2014,NE @ TOR,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/26/2014,KC @ NE,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/8/2014,KC @ SEA,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/27/2013,LA @ SEA,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/19/2013,SEA @ DAL,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/13/2013,SEA @ POR,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/9/2013,VAN @ SEA,L 4-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/5/2013,SEA @ COL,L 1-5,Unused Sub,0,0,0,0,0,0,0,0,0
9/29/2013,NY @ SEA,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/21/2013,SEA @ LA,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/13/2013,RSL @ SEA,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/7/2013,CHI @ SEA,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/4/2013,CHV @ SEA,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/31/2013,SEA @ CLB,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/25/2013,POR @ SEA,W 0-1,Started,56,0,0,1,0,0,1,0,0
8/17/2013,SEA @ HOU,L 1-3,Started,90,1,0,2,1,2,1,0,0
8/10/2013,SEA @ TOR,W 2-1,Subbed On,18,0,0,0,0,1,0,1,0
8/3/2013,DAL @ SEA,W 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/28/2013,CHV @ SEA,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/20/2013,COL @ SEA,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/13/2013,SEA @ SJ,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/6/2013,SEA @ VAN,L 0-2,Started,90,0,0,1,1,1,0,0,0
7/3/2013,DC @ SEA,W 0-2,Subbed On,14,0,0,0,0,0,0,0,0
6/22/2013,SEA @ RSL,L 0-2,Subbed On,14,0,0,0,0,0,0,0,0
6/8/2013,VAN @ SEA,W 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
6/1/2013,SEA @ CHV,W 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/26/2013,SEA @ LA,L 0-4,Started,87,0,0,0,0,3,3,0,1
5/18/2013,DAL @ SEA,W 2-4,Subbed On,59,0,0,0,0,1,1,0,0
5/11/2013,SJ @ SEA,W 0-4,Unused Sub,0,0,0,0,0,0,0,0,0
5/8/2013,SEA @ KC,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/4/2013,SEA @ PHI,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/20/2013,SEA @ COL,W 1-0,Started,90,0,0,2,1,2,0,0,0
4/13/2013,NE @ SEA,T 0-0,Started,74,0,0,0,0,1,3,0,0
3/30/2013,SEA @ RSL,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/23/2013,SEA @ SJ,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/16/2013,POR @ SEA,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/2/2013,MTL @ SEA,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/28/2012,CHV @ DAL,T 2-2,Started,90,0,0,2,0,0,1,0,0
10/20/2012,COL @ CHV,L 2-0,Started,90,0,0,0,0,1,0,0,0
10/7/2012,DAL @ CHV,T 1-1,Started,90,0,0,0,0,0,1,0,0
10/3/2012,CHV @ VAN,L 0-4,Started,90,0,0,0,0,2,1,0,0
9/29/2012,RSL @ CHV,L 4-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/23/2012,CHV @ DC,L 0-1,Started,90,0,0,1,0,0,1,0,0
