PF,PPG,3P%,FGA,RPG,FGM,Team,FT%,SPG,TOV
2.4,17.2,0.412,13.6,4.6,5.7,LU,0.827,1.9,3.1
2.4,7.9,0.294,6.3,4.7,2.7,XAV,0.77,0.8,1.6
2.6,5.3,0.333,4.0,1.7,1.7,STBN,0.667,0.8,1.7
2.4,8.4,0.111,5.8,7.4,3.2,UMass,0.719,0.4,1.4
2.1,11.5,0.317,9.4,3.1,3.4,DUQ,0.759,0.7,1.8
1.3,6.9,0.284,6.7,1.5,2.8,VCU,0.781,0.8,1.0
2.0,13.5,0.314,12.1,2.8,4.5,DUQ,0.667,0.8,3.6
2.3,14.6,0.167,10.2,8.1,5.8,VCU,0.707,1.4,1.6
2.3,7.5,0.303,6.6,3.7,2.6,GW,0.648,1.2,3.0
2.7,10.3,0.196,8.0,5.5,3.5,CHAR,0.706,2.5,2.8
1.9,7.5,0.154,5.6,5.0,2.8,XAV,0.627,0.1,1.0
1.9,9.8,0.383,8.9,3.1,3.5,FORD,0.729,0.9,2.1
2.6,6.3,0.0,5.7,4.3,2.7,FORD,0.577,0.2,1.6
2.5,6.4,0.195,5.2,4.4,2.2,UMass,0.73,0.8,1.5
2.1,8.9,0.307,8.7,2.7,2.6,URI,0.726,1.0,2.6
3.2,6.0,0.0,5.0,7.0,2.8,FORD,0.351,0.3,1.2
2.4,10.8,0.0,7.4,6.7,4.3,LU,0.633,0.6,1.7
3.4,10.3,0.32,9.1,5.2,3.5,URI,0.667,0.9,1.9
2.7,8.5,0.0,5.9,6.2,3.4,CHAR,0.495,0.5,1.5
3.3,8.5,0.268,7.0,7.2,3.0,SJU,0.761,0.9,3.3
1.2,5.0,0.366,4.3,4.2,1.7,DUQ,0.692,0.4,1.0
2.2,4.5,0.0,3.1,2.9,1.8,SLU,0.476,0.4,0.8
3.5,10.6,0.0,7.6,4.2,4.3,DAY,0.633,0.5,2.2
2.7,7.6,0.214,7.6,3.7,2.6,CHAR,0.71,0.8,2.0
1.6,7.3,0.306,5.8,1.7,2.5,STBN,0.812,0.8,1.8
2.6,7.1,0.28,6.5,4.6,2.7,UMass,0.789,0.8,2.1
1.9,10.4,0.253,7.5,5.6,3.7,SJU,0.793,0.5,1.1
2.7,15.2,0.25,12.2,2.9,5.4,XAV,0.672,1.5,3.6
2.3,6.8,0.13,5.7,4.8,2.7,XAV,0.741,0.6,1.2
2.5,6.2,0.0,4.4,4.9,2.4,STBN,0.667,0.3,0.9
2.6,11.9,0.154,8.8,8.8,4.5,GW,0.688,1.0,2.6
2.3,13.8,0.394,11.3,3.6,4.7,SJU,0.772,1.4,1.5
1.7,8.8,0.462,5.8,5.1,3.1,DAY,0.671,0.4,1.6
1.1,7.6,0.446,5.7,1.2,2.4,XAV,0.958,0.4,0.8
2.0,11.3,0.299,10.4,6.3,3.9,TEM,0.766,1.0,1.4
1.9,6.2,0.0,4.5,4.6,2.4,CHAR,0.457,0.2,1.8
1.1,6.5,0.276,5.9,3.1,2.2,SJU,0.636,0.8,1.8
2.1,14.2,0.277,12.2,3.7,4.2,FORD,0.828,0.9,3.0
2.7,8.9,0.0,7.8,6.1,3.5,TEM,0.62,1.7,1.7
1.2,9.5,0.345,7.2,2.8,2.7,BU,0.867,0.6,1.0
2.4,17.4,0.343,14.7,2.8,5.8,URI,0.714,1.0,2.7
1.2,14.7,0.368,11.7,2.7,4.8,SJU,0.674,0.9,2.0
2.6,6.0,0.0,4.9,5.6,2.5,DUQ,0.375,0.2,1.4
1.9,7.4,0.337,7.0,3.8,2.7,DUQ,0.66,0.7,1.1
