AST%,MP,Date,STL%,DRtg,GS,G,GmSc
0.0,8:00,1989-04-04,0.0,95,0,66,0.2
6.4,17:00,1989-02-26,0.0,98,0,49,6.6
0.0,12:00,1989-04-02,0.0,135,0,65,-0.2
0.0,3:00,1989-04-13,0.0,119,0,70,-1.1
0.0,9:00,1988-12-10,0.0,120,0,18,-1.8
0.0,7:00,1989-04-11,0.0,110,0,69,1.8
0.0,14:00,1988-11-08,0.0,115,0,3,-1.7
0.0,3:00,1989-03-21,0.0,74,0,59,-0.8
0.0,4:00,1989-03-14,0.0,127,0,56,6.7
0.0,16:00,1988-11-12,0.0,116,0,5,1.8
0.0,2:00,1989-03-05,0.0,67,0,53,1.5
10.3,12:00,1988-11-26,0.0,117,0,12,3.6
10.3,16:00,1988-11-04,0.0,114,0,1,6.6
7.3,19:00,1988-11-15,0.0,109,0,6,4.4
8.2,18:00,1989-01-03,0.0,119,0,28,6.8
0.0,13:00,1988-11-19,0.0,99,0,9,2.4
0.0,17:00,1989-01-07,0.0,99,0,31,2.7
16.5,9:00,1988-12-28,0.0,105,0,26,8.6
0.0,7:00,1988-12-14,0.0,120,0,20,0.9
0.0,12:00,1989-02-15,0.0,124,0,44,0.2
16.8,18:00,1989-01-06,2.3,76,0,30,8.0
0.0,3:00,1988-12-27,0.0,125,0,25,-1.0
0.0,14:00,1988-12-17,0.0,105,0,22,4.3
0.0,11:00,1988-11-25,0.0,102,0,11,1.2
5.1,22:00,1988-11-18,0.0,113,0,8,-0.3
0.0,1:00,1989-02-09,0.0,116,0,42,-0.4
0.0,3:00,1989-04-06,0.0,118,0,67,1.2
0.0,4:00,1989-03-31,0.0,122,0,64,-0.7
0.0,27:00,1989-03-22,0.0,82,0,60,5.6
0.0,16:00,1989-02-21,0.0,121,0,46,-4.8
0.0,17:00,1989-03-13,0.0,124,0,55,1.0
0.0,14:00,1989-03-27,0.0,116,0,62,6.6
13.6,10:00,1988-12-07,0.0,124,0,16,3.4
