SB,Player,3B,R,POS
2,K Davis,0,3,SS
0,D Dominguez,0,1,2B
0,J Mayo,0,1,C
0,J Roof,0,5,SS
0,B Sims,0,0,P
30,D Mollenhauer,1,51,3B
0,A Clark,0,11,1B
14,L Ware,6,40,CF
3,C Burnette,2,24,1B
13,T Ferguson,1,44,CF
11,Y Prades,5,36,OF
0,A Baker,0,8,1B
4,D Butler,0,39,C
1,J Casas,2,14,OF
0,T Hurley,0,0,P
13,S Wilkerson,2,54,OF
4,A Valdez,2,13,3B
0,R Query,1,4,C
0,A Russell,0,0,P
6,J Schoop,2,37,3B
1,A Gallas,0,14,OF
2,J Whittleman,3,52,1B
1,L Sierra,1,24,C
4,A Martinez,0,9,2B
14,A McClure,3,22,SS
0,J Rodriguez,0,3,C
0,L Escobar,0,0,C
0,J Smit,1,3,OF
0,J Whitmer,0,0,C
1,J Leonard,1,43,3B
0,M Rayl,0,0,P
25,S Souza,2,58,1B
0,S Starr,0,1,SS
1,R Hague,0,4,SS
5,A Gilbert,0,2,CF
1,A Yount,2,18,3B
0,R Delgado,0,0,C
0,J Padron,3,26,1B
1,B Britton,0,9,3B
0,K Eveland,0,1,SS
0,A Wilson,0,0,P
1,D Paisano,4,21,OF
0,G Soto,0,0,P
7,D Mailman,1,27,LF
2,M Liberto,0,8,2B
0,Z Osborne,0,0,P
6,A James,1,27,2B
25,D Wagner,4,60,2B
0,J Lewis,3,29,1B
0,D DeGeorge,1,2,3B
0,R Kelly,0,0,P
12,C Dykstra,1,26,DH
10,N Van Stratten,1,22,RF
0,R Rivas,0,2,SS
5,A Abraham,0,63,3B
0,J Flores,0,0,P
17,J Toole,1,39,2B
2,C Curran,0,4,OF
1,T Adair,2,38,OF
0,G Folgia,0,4,RF
7,B Stevens,2,48,2B
1,J Aguilar,0,12,1B
4,A Frost,1,4,2B
0,J Garcia,0,0,2B
5,J Higley,0,36,OF
0,K Smith,0,1,2B
0,K Shelton,1,5,3B
6,K Schutz,0,39,LF
2,B Schlehuber,0,18,C
1,J Cuevas,1,7,SS
0,E Cardenas,0,0,P
0,C Allen,0,1,P
53,J Kobernus,4,67,2B
0,R Hefflinger,0,2,RF
8,K Hudson,0,12,OF
2,J Silverio,3,28,3B
1,V DiFazio,1,29,C
9,B Ward,0,43,C
0,K Kiker,0,0,P
12,K Vitek,6,78,3B
0,I Rodriguez,0,1,C
5,D Batista,2,35,3B
7,B Peacock,1,21,C
