Age (Mother),Date of Return,Name & Address of Person making Certificate
29,21 Aug 1885,"Bloomfield, Mo."
22,31 Aug 1886,"Dexter, Mo."
-,10 May 1884,"Bloomfield, Mo."
39,30 Jun 1884,"Bloomfield, Mo."
-,7 Feb 1885,"Asherville, Mo."
40,2 Nov 1883,"Essex, Mo."
29,15 Oct 1883,Dexter City
28,2 Feb 1885,"Bloomfield, Mo."
33,30 Jan 1886,"Leora, Mo."
21,31 Aug 1884,"Puxico, Mo."
19,8 Sep 1884,"Bloomfield, Mo."
35,27 Jul 1885,"Malden, Mo."
24,25 Jan 1884,"Dexter, Mo."
38,19 Dec 1883,"Essex, Mo."
20,15 Mar 1884,"Dexter, Mo."
25,10 Apr 1886,"Asherville, Mo."
26,25 Jun 1885,"Bloomfield, Mo."
20,17 May 1886,"Dexter, Mo."
33,10 May 1884,"Piketon, Mo."
22,9 Apr 1885,"Asherville, Mo."
27,20 Mar 1885,"Dexter, Mo."
19,22 May 1886,"Asherville, Mo."
33,16 Jun 1885,-
29,19 Oct 1885,"Essex, Mo."
44,-,-
-,23 Nov 1883,"Leone, Mo."
23,6 Jul 1885,"Dexter City, Mo."
21,1 Feb 1885,"Asherville, Mo."
26,9 Jun 1884,-
35,19 Oct 1886,"Asherville, Mo."
30,-,"Bloomfield, Mo."
29,24 Jan 1887,"Brownwood, Mo."
