date,opponent,score,w-l,total h-ab,vs left,vs right,with runners,bases empty,with 2-outs,rch as leadoff,gnd out,fly out,era
"Mar 11, 2012",Albright College,8-1,W,8-26,1-5,7-21,2-10,6-16,3-8,3-7,4.0,5.0,1.29
"Mar 11, 2012",Albright College,15-5,W,9-32,3-7,6-25,5-15,4-17,3-11,2-7,4.0,8.0,1.93
"Mar 12, 2012",Macalester College,4-15,L,9-33,2-8,7-25,6-27,3-6,3-10,6-8,5.0,11.0,6.95
"Mar 13, 2012",Wisconsin-La Crosse,0-11,L,12-29,8-18,4-11,8-20,4-9,6-12,3-6,4.0,9.0,8.04
"Mar 15, 2012",Wisconsin-Stout,7-6,W,8-27,3-9,5-18,4-10,4-17,1-7,1-7,6.0,7.0,7.97
"Mar 15, 2012",Wisconsin-Stout,6-13,L,19-33,5-8,14-25,14-24,5-9,6-11,4-6,7.0,2.0,9.66
"Mar 16, 2012",Marian University,3-8,L,14-32,0-4,14-28,8-20,6-12,4-10,4-8,9.0,5.0,9.37
"Mar 19, 2012",William Paterson U.,2-6,L,10-32,3-9,7-23,6-18,4-14,5-11,4-8,8.0,6.0,8.68
"Mar 20, 2012",Augsburg College,3-6,L,11-27,5-11,6-16,7-17,4-10,1-6,3-6,8.0,8.0,8.57
"Mar 20, 2012",Augsburg College,7-1,W,4-24,1-8,3-16,2-11,2-13,1-8,0-7,4.0,7.0,7.84
"Mar 21, 2012",Johns Hopkins U.,2-11,L,9-32,1-5,8-27,6-16,3-16,8-17,2-7,8.0,7.0,7.71
"Mar 21, 2012",Johns Hopkins U.,6-7,L,11-35,4-9,7-26,7-21,4-14,6-15,3-8,4.0,7.0,7.62
"Mar 23, 2012",Midland Lutheran U.,16-5,W,11-30,0-3,11-27,4-19,7-11,3-8,5-7,8.0,5.0,7.43
"Mar 23, 2012",William Paterson U.,15-7,W,12-37,4-10,8-27,6-27,6-10,2-9,5-9,10.0,9.0,7.13
"Mar 24, 2012",Thomas College,19-3,W,6-34,0-4,6-30,2-15,4-19,2-12,2-9,7.0,6.0,6.71
"Mar 31, 2012",Bowdoin College,2-1,W,3-23,2-11,1-12,1-7,2-16,3-10,1-7,9.0,5.0,6.31
"Mar 31, 2012",Bowdoin College,0-1,L,3-26,2-13,1-13,0-9,3-17,1-9,3-8,9.0,2.0,5.9
"Apr 03, 2012",Elms College,6-1,W,6-29,0-0,6-29,4-18,2-11,3-8,3-9,8.0,3.0,5.57
"Apr 06, 2012",Middlebury College,5-4,W,11-38,2-9,9-29,5-22,6-16,3-12,4-9,15.0,7.0,5.48
"Apr 07, 2012",Middlebury College,10-1,W,4-23,2-5,2-18,3-10,1-13,2-9,2-7,11.0,6.0,5.28
"Apr 07, 2012",Middlebury College,10-3,W,2-31,1-6,1-25,1-12,1-19,0-10,4-9,6.0,11.0,5.04
"Apr 10, 2012",Albertus Magnus Coll,19-0,W,6-32,0-7,6-25,4-15,2-17,3-12,4-9,11.0,7.0,4.77
"Apr 14, 2012",Williams College,1-7,L,10-24,1-2,9-22,6-13,4-11,1-6,3-6,9.0,7.0,4.97
"Apr 14, 2012",Williams College,3-5,L,12-35,0-2,12-33,6-21,6-14,5-14,4-8,5.0,10.0,4.99
"Apr 15, 2012",Williams College,4-14,L,16-40,2-4,14-36,8-22,8-18,5-13,5-9,9.0,14.0,5.28
"Apr 17, 2012",MIT,3-4,L,8-29,1-3,7-26,3-13,5-16,3-11,4-8,9.0,8.0,5.2
"Apr 18, 2012",Coast Guard Academy,15-7,W,11-40,6-18,5-22,9-31,2-9,4-12,4-9,9.0,10.0,5.06
"Apr 20, 2012",Hamilton College,7-2,W,6-31,1-4,5-27,2-9,4-22,1-10,1-9,16.0,2.0,4.94
"Apr 21, 2012",Hamilton College,8-5,W,8-27,3-3,5-24,5-19,3-8,1-8,4-7,8.0,5.0,4.9
"Apr 21, 2012",Hamilton College,13-1,W,4-32,1-2,3-30,0-11,4-21,0-10,3-9,9.0,11.0,4.75
"Apr 24, 2012",Southern Vermont Col,22-4,W,7-25,0-4,7-21,3-13,4-12,0-5,5-7,8.0,3.0,4.69
"Apr 25, 2012",Eastern Conn. St. U.,3-13,L,21-43,4-7,17-36,15-34,6-9,2-9,6-8,7.0,9.0,5.01
"Apr 27, 2012",Amherst College,9-11,L,12-35,3-9,9-26,8-25,4-10,0-8,5-8,5.0,8.0,5.17
"Apr 28, 2012",Amherst College,3-10,L,7-30,2-7,5-23,6-17,1-13,3-10,3-7,7.0,7.0,5.2
"Apr 28, 2012",Amherst College,6-10,L,9-39,1-9,8-30,4-22,5-17,7-17,3-9,8.0,10.0,5.06
"May 05, 2012",Trinity College,1-7,L,14-37,8-15,6-22,4-15,10-22,10-18,3-9,13.0,5.0,5.03
"May 05, 2012",Trinity College,2-12,L,16-42,4-11,12-31,11-29,5-13,7-15,3-9,8.0,10.0,5.24
Totals, ,265-228,-,349-1174,86-269,263-905,195-657,154-517,118-391,124-290,295.0,262.0,5.24
 , , , ,.297,.320,.291,.297,.298,.302,.428, , , 
