TOV%,DRtg,Opp,TS%,ORtg,Tm
0.0,110,ATL,.253,83,MIN
0.0,130,TOR,.500,138,MIN
33.3,100,SEA,1.000,127,MIN
25.0,104,ORL,.333,51,BOS
0.0,100,MEM,.636,137,MIN
0.0,122,CLE,.444,110,BOS
25.0,119,TOR,.667,94,MIN
0.0,112,GSW,.926,190,MIN
 ,130,DAL, , ,BOS
31.7,114,GSW,.465,71,MIN
22.2,116,SAS,.143,38,MIN
 ,108,PHI, , ,BOS
25.0,91,SAC,.500,85,MIN
33.3,99,NOK,.000,0,BOS
29.6,112,CHA,.735,106,BOS
0.0,123,SAS,.000,0,BOS
15.1,108,HOU,.355,70,BOS
50.0,118,UTA,1.000,105,MIN
0.0,116,MIA,.644,136,MIN
0.0,126,DET,1.136,240,BOS
25.0,107,NYK,.333,74,BOS
34.0,115,NJN,.258,48,BOS
0.0,117,GSW,.410,88,MIN
34.7,106,MEM,.266,57,BOS
0.0,103,HOU,.388,105,MIN
 ,116,ATL, , ,BOS
0.0,106,ORL,.000,0,MIN
0.0,118,LAL,.436,100,MIN
0.0,125,ATL,.174,41,BOS
0.0,98,HOU,.205,77,MIN
0.0,116,POR,.205,48,MIN
0.0,104,NOK,.434,113,MIN
0.0,134,SEA,.694,169,BOS
