2b,Opponent,hr,r,l,h,bk,sv
3,Illinois State,0,6,22,10,0,9
0,Alcorn State,0,1,1,6,0,1
0,WICHITA STATE,0,3,14,12,0,7
3,Southern Illinois,1,6,9,16,0,5
2,NORTHWESTERN,0,2,3,9,0,3
0,Illinois State,0,3,8,8,0,4
1,Arkansas State,0,2,3,8,0,3
0,Southern Illinois,0,8,10,9,1,5
0,ORAL ROBERTS,1,4,17,8,0,7
0,New Mexico,1,6,6,9,0,4
4,SEMO,0,4,6,10,0,4
0,Southern Miss,0,1,1,6,0,2
3,Tulane,0,6,1,14,0,1
1,WRIGHT STATE,0,1,18,3,0,8
2,Creighton,0,6,21,7,0,9
0,Evansville,0,1,12,5,0,7
1,OKLAHOMA STATE,0,6,11,9,0,5
1,Northwestern State,0,11,2,13,0,2
1,WRIGHT STATE,0,6,19,12,1,8
1,NORTHWESTERN,0,1,3,8,0,2
1,New Mexico,0,2,6,9,0,4
0,Northwestern State,0,0,2,6,1,2
3,WESTERN ILLINOIS,0,6,5,9,0,4
65, ,8,202,23,442,5,9
0,INDIANA STATE,0,1,6,4,0,4
2,Northwestern State,0,3,1,10,0,2
1,Missouri,0,2,11,6,0,7
0,Creighton,0,2,20,4,0,9
3,Arkansas State,0,7,4,8,0,3
0,Illinois State,0,2,7,7,0,4
1,Sam Houston State,0,2,0,10,0,1
0,WRIGHT STATE,0,1,18,9,0,8
