H,Team,G,SLG,OPS,HR,SB
28,ROM,38,0.294,0.592,1,16
30,ROM,39,0.341,0.584,1,4
74,ASH,100,0.311,0.581,3,6
99,KAN,96,0.473,0.855,12,3
98,DEL,105,0.406,0.743,4,9
67,ROM,60,0.393,0.773,1,18
131,HAG,131,0.381,0.726,3,64
77,ASH,76,0.348,0.644,5,18
58,ROM,85,0.315,0.587,3,9
38,HAG,56,0.323,0.567,4,2
9,DEL,13,0.278,0.502,0,2
26,CSC,34,0.406,0.698,2,2
48,SAV,67,0.307,0.575,6,4
12,CSC,16,0.231,0.59,0,3
43,LEX,61,0.268,0.591,0,8
14,LWD,17,0.382,0.71,0,2
34,HIC,45,0.329,0.626,3,1
26,GBO,33,0.287,0.543,1,3
120,HIC,122,0.39,0.759,8,3
60,ROM,65,0.338,0.679,1,7
100,WV,107,0.436,0.808,12,2
90,GBO,74,0.443,0.809,7,15
96,ASH,97,0.41,0.767,5,12
125,WV,113,0.409,0.755,3,23
21,ASH,22,0.372,0.689,1,4
57,SAV,81,0.234,0.477,0,2
146,ASH,117,0.42,0.777,2,29
77,CSC,76,0.352,0.712,2,15
5,KAN,6,0.208,0.478,0,2
13,WV,24,0.238,0.461,0,1
3,ROM,1,0.75,1.5,0,0
93,GBO,103,0.451,0.763,19,9
