Course Number,Section Number,Course Title,Call Number,Instructor,Days,Times,Location,Min-Max Credits,60/90 Rule,Years,Notes
991,1,Directed Reading, , , , , ,1-3,90,L2-L3,Go to Rm. 5110A for form.
990,1,Directed Research, , , , , ,1-12,90,L2-L3,"1-6 cr for J.D students; 1-12 for LLM-LI, SJD. Go to Rm. 5110A for form."
815,3,Appellate Advocacy-Moot Court (other), , , , , ,1-3,60,L2-L3,Req. consent of instructor.
711,2,Contracts,48678.0,"Alexander, L.",MTWRF,120-215,5246,4-4,60,L1,Large section. Exam: Dec. 10
740,1,Constitutional Law II,48709.0,"Althouse, A.",MW,330-450,3250,3-3,60,L2-L3,PF; satisfies Con Law II Req. Exam: Dec. 9
739,1,Religion and the Constitution,48842.0,"Althouse, A.",TR,330-425,3260,2-2,60,L2-L3,PF; satisfies Con Law II Req. Exam: Dec. 18
918,3,"SP International Law: Climate Change, Human Rights & the Environment",55686.0,"Atapattu, S.",R,850-1050,3261,3-3,60,L2-L3,PF; limit: 20 students; Public International Law (Law 827) recommended. Paper
940,17,L&CP: Humanitarian Immigration Law,56783.0,"Barbato, E.",MW,330-500,EJI Conference Room,3-3,60,L2-L3,PF only; req. consent of instructor. Students must concurrently enroll in 1 credit of Immigrant Justice Clinic (854-023).
936,1,Torts II,55687.0,"Barkan, S.",MW,930-1050,3260,3-3,60,L2-L3,PF Exam: Dec. 11
942,1,European Union Law,48905.0,"Barkan, S. Marauhn, T. Merhof, K.",TR,120-240,3261,3-3,60,L2-L3,PF; strongly recommended for students interested in studying abroad at EUI in Florence. Take-home exam
723,8,Legal Research & Writing I,48897.0,"Baumgartner, M.",MW,225-345,3247,3-3,90,L1, 
723,4,Legal Research & Writing I,48893.0,"Baumgartner, M.",MW,1205-125,3247,3-3,90,L1, 
957,1,Intro. to Estate Planning,48859.0,"Bensky, J. Verhoff, L.",T,330-530,3261,2-2,60,L2-L3,No PF; limit: 12 students; pre-req: T&E I and II; LW. Drafting assignments; class partip.
904,1,"SP Con Law: 4th, 5th, 6th Amendments",48727.0,"Berghahn, M.",TR,540-700,3247,3-3,60,L2-L3,No PF; limit: 20 students; satisfies Con Law II Req. LW.
852,3,Trial Advocacy (Mock Trial),48860.0,"Berz, E. Lanford, R.",W,540-740,3260,2-3,*,L2-L3,Additional meeting times TBD; PF only; Trial Advocacy for Mock Trial Team; consent of instructor; pre req: Evidence.
950,1,Lawyering Skills: Family Law I skills,48764.0,"Brito, T.",MW,330-530,5229,1-1,60,L2-L3,PF only; limited to/mandatory for students enrolled in Family Law I (Prof Brito)
822,1,Family Law I,48694.0,"Brito, T.",MW,330-530,5229,3-3,60,L2-L3,PF; note: students must also enroll in Law 950-001 for 1 credit Exam: Dec. 9
939,1,"SP Family Law: Children, Law & Society",48928.0,"Brito, T.", , , ,2-2,60,L2-L3,Course cancelled.
743,2,Negotiations/Mediation,48810.0,"Cagle, R.",W,225-425,5229 (225-320) 3261 (330-425),2-2,60,L2-L3,PF; limit: 16 students.
771,2,Trusts & Estates I,48843.0,"Camic, N.",W,120-320,3250,2-2,60,L2-L3,PF; satisfies T&E Req.; a 2-cr T&E II will be offered in Spring 2014. Exam: Dec. 7
771,1,Trusts & Estates I,48830.0,"Camic, N.",T,330-530,2260,2-2,60,L2-L3,PF; satisfies T&E Req. limit: 100 students; a 2-cr T&E II will be offered in Spring 2014. Exam: Dec. 7
748,1,Antitrust,48712.0,"Carstensen, P.",MTWRF,120-215,3226,4-4,60,L2-L3,PF Exam: Dec. 16
825,1,Insurance Law,55673.0,"Carstensen, P.",TR,930-1050,2211,3-3,60,L2-L3,PF Exam: Dec. 13
940,8,L&CP: Patent Skills,48767.0,"Casimir, D.",M,330-530,3260,2-2,60,L2-L3,PF; limit: 30 students; Patent Law helpful
602,2,Legal Sources,48841.0,"Chang, N.",TR,1200-115,3253,3-3, ,L4-L5,No PF; LLM-LI students only. Exam: Dec. 14
602,1,Legal Sources,48761.0,"Chang, N.",TR,930-1050,5246,3-3, ,L4-L5,No PF; LLM-LI students only. Exam: Dec. 14
940,4,L&CP: Public Health Law,48766.0,"Charo, R.",TR,930-1050,3260,3-3,60,L2-L3,No PF; LW Paper
852,1,Trial Advocacy,48728.0,"Christensen, C.",T,540-740,3260,2-2,*,L2-L3,PF only; Limit: 15 students; pre req: Evidence (concurrent okay).
854,14,Clinical Program: Midwestern Environmental Advocates Externship,48806.0,"Christenson, A.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
740,3,Constitutional Law II,48805.0,"Church, L.",MW,1100-1220,2211,3-3,60,L2-L3,PF; satisfies Con Law II Req. Exam: Dec. 19
601,1,Intro to American Law,48676.0,"Church, L.",MTR,225-320,3250,3-3, ,L4-L5,No PF; LLM-LI/LLM/SJD students only. Exam: Dec. 6
745,1,Labor Relations,48710.0,"Clauss, C.",TR,200-320,3260,3-3,60,L2-L3,PF Exam: Dec. 14
