Item #,Container #,Container Area,Column,Row,Contact,Team,Disposition,Region,Labeled,Core and Section,Interval,Working or Archive
176100,10633,Area B,column 01,row 02,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,208 B1 & 221 G1,0 - 60 & 0 - 66,A
176101,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,220 G1 & 223 G2,0 - 98 & 0 - 47,A
176102,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,208 B1 & 221 G1,0 - 60 & 0 - 66,W
176103,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,220 G1 & 223 G2,0 - 98 & 0 - 47,W
176104,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,SEC 3,284 - 429, 
176105,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,213 B1 & 209 B1 & 206 B1,0 - 43 & 0 - 50 & 0 - 41,A
176106,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,213 B1 & 209 B1 & 206 B1,0 - 43 & 0 - 50 & 0 - 41,W
176107,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,104 B1 & 105 B1 & 206 B1, ,A
176108,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,102 B1 & 103 B1, , 
176109,10633,Area B,column 01,row 02,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,207 B1 & 210 B1 & 204 B1,0 - 47 & 0 - 49 & 0 - 50,A
176110,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,207 B1 & 210 B1 & 204 B1,0 - 47 & 0 - 49 & 0 - 50,W
176111,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,216 B1 & 203 B1 & 214 B1 & 202 B1,0 - 47 & 0 - 41 & 0 - 32 & 0 - 29,W
176112,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,216 B1 & 203 B1 & 214 B1 & 202 B1,0 - 47 & 0 - 41 & 0 - 32 & 0 - 29,A
176113,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,211 B1 & 212 B1 & 205 B1,0 - 58 & 0 - 52 & 0 - 41,W
176114,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,211 B1 & 212 B1 & 205 B1,0 - 58 & 0 - 52 & 0 - 41,A
176115,10041,Area B,column 01,row 03,"Brian Edwards, Homa Lee",CMG,keep,SC,S1-93-SC,215 B1 & 201 B1,0 - 40 & 0 - 13,A/W
