Year,Lowest Temperature (F),Highest Temperature (F),Warmest Minimum Temperature (F),Coldest Maximum Temperature (F),Average Minimum Temperature (F),Average Maximum Temperature (F),Mean Temperature (F),Total Precipitation (In),Total Snowfall (In),Max 24hr Precipitation (In),Max 24hr Snowfall (In)
2015,2,72,38,20,15.3,38.4,26.8,1.25,5.8,0.93,2.4
2014,-5,71,36,8,15.6,34.7,25.1,1.76,18.6,0.73,11.2
2013,2,66,35,20,21.3,43.2,32.3,1.71,11.7,0.74,5.8
2012,7,65,38,27,25.3,48.2,36.7,2.12,2.5,1.0,2.0
2011,-6,72,41,6,16.3,40.9,28.6,0.89,13.4,0.64,5.4
2010,5,58,30,28,17.4,37.5,27.4,0.56,3.2,0.13,1.5
2009,8,73,34,28,21.8,53.1,37.4,0.65,1.8,0.37,1.8
2008,2,57,30,18,16.6,40.3,28.4,1.41,10.6,1.07,7.5
2007,0,71,41,14,19.8,43.2,31.5,1.24,5.8,0.65,2.2
2006,0,84,45,19,22.2,49.1,35.6,0.01,0.0,0.01,0.0
2005,1,69,45,26,27.3,50.8,39.1,2.96,3.9,1.27,3.9
2004,-5,66,45,18,18.8,42.7,30.8,1.45,18.8,0.45,9.5
2003,-3,68,42,16,18.8,45.3,32.1,1.1,4.1,0.82,3.1
2002,1,70,42,23,22.2,50.4,36.3,0.43,0.5,0.29,0.5
2001,-9,64,30,25,16.2,41.2,28.7,2.74,12.1,1.08,4.1
2000,11,77,54,31,28.0,55.5,41.7,2.03,1.6,0.92,1.6
1999,18,79,50,37,31.7,57.0,44.3,0.51,0.0,0.35,0.0
1998,17,72,48,27,30.1,49.1,39.6,1.46,0.0,0.79,0.0
1997,13,71,51,29,25.4,44.4,34.9,2.48,7.0,1.31,4.0
1996,-15,76,49,12,22.4,51.6,37.0,0.13,0.3,0.12,0.3
1995,5,79,52,27,24.3,51.7,37.9,0.5,1.0,0.4,1.0
1994,-5,70,51,11,17.6,45.8,31.7,0.48,5.8,0.29,4.8
1993,-5,63,34,14,18.5,40.0,29.2,1.02,9.1,0.53,6.0
1992,15,72,43,34,29.8,54.3,42.1,0.71,0.5,0.28,0.5
1991,11,75,39,31,27.3,57.8,42.6,0.04,0.0,0.04,0.0
1990,7,73,42,26,25.3,50.8,38.1,0.86,3.7,0.45,3.0
1989,-8,69,31,-1,13.8,33.8,23.8,0.77,6.7,0.25,3.0
1988,-9,74,36,12,16.9,44.8,30.9,0.51,5.0,0.17,2.0
1987,11,69,42,36,29.9,52.9,41.4,1.21,0.0,0.39,0.0
1986,3,75,40,24,22.8,43.8,33.3,1.71,3.2,1.03,1.7
1985,-12,60,48,17,17.6,38.3,28.0,1.63,3.6,0.81,1.7
1984,8,71,45,36,29.2,53.7,41.4,1.21,0.0,0.75,0.0
1983,-3,67,45,24,27.0,45.4,36.2,0.97,8.3,0.29,5.3
1982,-10,78,38,7,18.4,40.2,29.3,1.17,11.6,0.35,4.2
1981,-10,78,52,18,25.1,49.7,37.4,0.63,3.8,0.53,2.0
1980,-3,65,35,20,18.8,36.7,27.8,1.02,9.6,0.75,8.5
1979,-15,55,33,8,10.1,32.1,21.1,0.27,3.5,0.14,3.0
1978,-11,49,32,15,13.2,29.9,21.6,1.22,18.5,0.55,8.0
1977,8,77,48,30,25.1,52.6,38.9,0.07,0.5,0.04,0.5
1976,9,80,44,20,30.7,59.6,45.1,0.52,0.5,0.34,0.2
1975,0,58,33,21,21.0,36.6,28.8,1.7,9.5,0.77,4.7
1974,12,67,42,30,26.0,49.8,37.9,0.64,2.2,0.5,2.0
1973,6,63,38,25,25.8,44.8,35.3,2.01,1.0,1.22,1.0
1972,-4,84,47,21,20.9,46.5,33.7,0.3,4.2,0.22,2.7
1971,-15,65,47,15,19.4,37.9,28.6,2.18,17.0,1.38,10.0
1970,3,75,41,25,24.0,52.4,38.2,0.02,0.0,0.02,0.0
1969,8,54,38,30,24.3,39.5,31.9,1.17,8.0,0.77,8.0
1968,3,63,35,28,21.1,44.3,32.7,0.36,5.5,0.17,3.0
1967,7,76,52,22,20.8,46.9,33.9,0.21,2.0,0.15,1.0
1966,1,64,49,22,20.4,45.4,32.9,0.67,0.0,0.42,0.0
1965,-5,67,48,16,18.5,43.4,31.0,2.09,17.5,0.61,4.5
1964,9,60,39,32,22.7,46.7,34.7,0.44,1.4,0.22,1.3
1963,6,72,37,20,21.4,46.9,34.1,0.06,0.4,0.05,0.4
1962,-4,72,40,12,24.5,43.6,34.1,1.35,4.3,0.36,2.8
1961,2,71,40,26,25.8,47.3,36.5,0.83,6.9,0.46,2.5
1960,-6,60,39,20,15.9,35.5,25.7,1.95,18.5,0.74,8.0
1959,-1,64,38,19,21.8,42.0,31.9,0.93,2.9,0.7,2.3
1958,-2,72,50,16,18.0,37.3,27.6,1.4,4.3,0.85,1.4
1957,13,68,36,20,26.0,47.6,36.8,0.55,2.7,0.28,2.7
1956,-6,68,36,25,22.1,44.3,33.2,0.28,4.0,0.08,2.0
1955,-4,54,39,19,17.5,38.5,28.0,2.23,15.0,0.83,11.0
1954,10,80,52,40,29.4,58.4,43.9,1.6,0.0,1.6,0.0
1953,7,68,42,29,24.0,51.1,37.5,0.74,0.3,0.2,0.3
1952,13,68,40,35,26.1,50.3,38.2,0.35,0.0,0.18,0.0
1951,-16,77,49,10,22.3,45.8,34.0,1.44,5.4,0.65,4.5
1950,4,71,36,25,22.5,49.3,35.9,0.62,0.2,0.35,0.2
1949,4,62,33,17,20.4,40.2,30.3,0.95,2.0,0.68,1.4
1948,-2,70,40,18,20.2,38.9,29.6,2.33,3.3,1.67,1.1
1947,-2,71,34,19,17.0,42.3,29.7,0.18,2.6,0.14,2.0
1946,11,75,48,32,26.8,57.0,41.9,0.37,0.0,0.26,0.0
