Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Mauro Gomez,Paw,23,91,19,31,7,1,8,22,0,0,6,20,0.341,0.384,0.703,1.087
Jackie Bradley,Sal,21,78,19,28,7,1,0,16,8,1,17,13,0.359,0.465,0.474,0.94
Travis Shaw,Sal,20,80,10,29,7,2,0,11,1,1,7,17,0.363,0.409,0.5,0.909
Xander Bogaerts,Sal,21,79,8,22,7,1,2,10,2,1,9,13,0.278,0.36,0.468,0.828
Reynaldo Rodriguez,Por,22,81,11,21,7,1,1,7,4,0,10,20,0.259,0.344,0.407,0.751
Brandon Jacobs,Sal,20,84,10,22,7,0,1,13,5,1,5,28,0.262,0.311,0.381,0.692
Henry Ramos,Gre,20,80,8,19,7,0,0,14,3,3,4,17,0.238,0.291,0.325,0.616
David Renfroe,Gre,18,69,8,16,6,0,4,11,0,0,5,15,0.232,0.303,0.493,0.795
Josh Kroeger,Paw,20,76,11,22,6,0,1,3,1,1,8,11,0.289,0.357,0.408,0.765
Sean Coyle,Sal,21,89,13,22,6,0,2,14,4,0,7,28,0.247,0.316,0.382,0.698
Garin Cecchini,Gre,21,82,13,22,6,0,0,4,10,2,7,21,0.268,0.341,0.341,0.682
Lars Anderson,Paw,15,55,7,14,5,0,1,8,0,0,10,18,0.255,0.358,0.4,0.758
Michael Almanzar,Sal,18,62,9,17,5,0,1,5,1,0,2,14,0.274,0.308,0.403,0.711
Oscar Tejeda,Por,24,92,8,25,5,0,2,13,1,0,6,28,0.272,0.313,0.391,0.704
Kolbrin Vitek,Por,24,97,8,26,5,0,1,6,0,0,6,22,0.268,0.317,0.351,0.668
Che-Hsuan Lin,Paw,19,70,4,15,5,0,1,9,2,1,7,11,0.214,0.286,0.329,0.614
Carson Blair,Sal,6,21,6,6,4,1,0,2,0,0,1,7,0.286,0.318,0.571,0.89
Shannon Wilkerson,Sal,20,72,13,25,4,2,1,7,8,0,4,13,0.347,0.377,0.5,0.877
Alex Hassan,Paw,20,64,10,16,4,0,1,11,1,0,13,15,0.25,0.4,0.359,0.759
Bryce Brentz,Por,23,88,8,19,4,1,1,7,1,0,6,29,0.216,0.266,0.318,0.584
Will Middlebrooks,Paw,23,89,18,31,3,1,9,27,3,1,7,18,0.348,0.396,0.708,1.104
J.C. Linares,Por,20,69,11,25,3,0,4,12,0,0,11,9,0.362,0.463,0.58,1.043
Keury De La Cruz,Gre,21,81,12,26,3,3,3,16,4,2,7,20,0.321,0.389,0.543,0.932
Ronald Bermudez,Por,13,45,7,15,3,1,1,5,2,0,1,4,0.333,0.348,0.511,0.859
Daniel Nava,Paw,19,64,15,16,3,0,2,8,1,1,13,10,0.25,0.402,0.391,0.793
