ORtg,MP,TRB%,DRtg,Tm,eFG%,DRB%
54,11:00,14.5,113,DEN,.250,29.8
15,4:00,14.6,92,DEN,.000,27.9
43,7:00,8.1,122,DEN,.250,0.0
63,9:00,5.8,109,DEN,.000,11.3
57,8:00,23.1,111,DEN,.333,46.2
16,7:00,8.6,116,DEN,.000,0.0
200,2:00,0.0,112,DEN,1.000,0.0
46,9:00,4.6,105,DEN,.000,12.7
77,3:00,0.0,113,DEN,.333,0.0
72,7:00,0.0,104,DEN,.400,0.0
122,14:00,9.1,134,DEN,.750,11.4
111,9:00,0.0,120,DEN,.500,0.0
0,7:00,0.0,132,DEN,.000,0.0
120,4:00,0.0,109,DEN,.500,0.0
0,2:00,0.0,117,DEN,.000,0.0
120,2:00,23.1,117,DEN,.500,0.0
28,5:00,11.9,103,DEN,.000,0.0
89,19:00,14.2,98,DEN,.429,18.4
46,5:00,16.7,110,DEN,.500,34.9
145,16:00,6.9,109,DEN,1.167,12.2
0,3:00,0.0,108,DEN,.000,0.0
63,13:00,13.0,84,DEN,.400,25.9
