SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1989 - 1990,Västra Frölunda HC,SHL,40,13,2,25,-,-,154,202,28,10,Did not make playoffs
1990 - 1991,Västra Frölunda HC,SHL,22,3,6,13,-,-,59,97,12,12,Saved in relegation
 ,Västra Frölunda HC,Allsvenskan,18,13,2,3,-,-,82,51,28,1,-
1991 - 1992,Västra Frölunda HC,SHL,40,17,11,12,-,-,149,139,45,5,Quarterfinal loss
1992 - 1993,Västra Frölunda HC,SHL,22,8,2,12,-,-,67,74,18,11,Saved in relegation
 ,Västra Frölunda HC,Allsvenskan,18,14,2,2,-,-,91,40,30,1,-
1993 - 1994,Västra Frölunda HC,SHL,40,18,8,14,-,-,122,117,44,4,Quarterfinal loss
1994 - 1995,Västra Frölunda HC,SHL,22,6,5,11,-,-,63,70,17,11,Saved in relegation
 ,Västra Frölunda HC,Allsvenskan,18,12,2,4,-,-,106,50,26,2,-
1995 - 1996,Västra Frölunda HC,SHL,40,20,10,10,-,-,130,95,50,2,Final loss
1996 - 1997,Västra Frölunda HC,SHL,50,17,17,16,-,-,134,133,51,7,Quarterfinal loss
1997 - 1998,Västra Frölunda HC,SHL,46,17,15,14,-,-,136,107,49,4,Semifinal loss
1998 - 1999,Västra Frölunda HC,SHL,50,19,3,23,5,0,148,136,70,7,Quarterfinal loss
1999 - 2000,Västra Frölunda HC,SHL,50,25,0,15,4,6,155,131,89,3,Quarterfinal loss
2000 - 2001,Västra Frölunda HC,SHL,50,21,0,22,2,5,155,139,72,8,Quarterfinal loss
2001 - 2002,Västra Frölunda HC,SHL,50,23,0,19,4,4,181,150,81,5,Semifinal loss
2002 - 2003,Västra Frölunda HC,SHL,50,29,0,11,6,4,162,97,103,1,Champion
2003 - 2004,Västra Frölunda HC,SHL,50,24,0,16,7,3,160,116,89,3,Semifinal loss
2004 - 2005,Frölunda HC,SHL,50,33,3,8,4,2,180,96,112,1,Champion
2005 - 2006,Frölunda HC,SHL,50,28,2,14,4,2,169,130,96,2,Final loss
2006 - 2007,Frölunda HC,SHL,55,22,6,24,1,2,167,162,76,9,Did not make playoffs
2007 - 2008,Frölunda HC,SHL,55,23,3,22,3,4,159,157,82,6,Quarterfinal loss
2008 - 2009,Frölunda HC,SHL,55,25,2,20,6,2,144,130,91,3,Semifinal loss
2009 - 2010,Frölunda HC,SHL,55,22,9,22,1,1,155,156,78,7,Quarterfinal loss
2010 - 2011,Frölunda HC,SHL,55,19,-,24,5,7,128,158,74,9,Did not make playoffs
2011 - 2012,Frölunda HC,SHL,55,22,-,17,8,8,140,113,90,5,Quarterfinal loss
2012 - 2013,Frölunda HC,SHL,55,21,-,21,8,5,123,126,84,6,Quarterfinal loss
2013 - 2014,Frölunda HC,SHL,55,29,-,15,4,7,153,123,102,2,Quarterfinal loss
2014 - 2015,Frölunda HC,SHL,55,23,-,15,11,6,145,120,97,2,Semifinal loss
2015 - 2016,Frölunda HC,SHL,-,-,-,-,-,-,-,-,-,-,-
