STL%,TS%,DRB%,BLK%,DRtg,MP
4.2,.563,32.7,0.0,94,12:00
0.0, ,13.0,8.7,90,8:00
0.0,.667,19.4,0.0,108,13:00
0.0,1.000,0.0,5.5,123,15:00
0.0,.621,21.0,2.1,88,34:00
0.0,.000,34.0,0.0,89,9:00
0.0,.129,14.1,0.0,95,11:00
0.0,.600,15.8,2.7,91,21:00
0.0,.286,8.8,3.4,101,21:00
0.0,.000,38.1,0.0,107,3:00
0.0, ,0.0,13.7,126,5:00
0.0,.000,14.8,0.0,94,9:00
0.0,.333,0.0,5.8,101,12:00
0.0,.644,14.3,5.9,113,14:00
0.0,.250,0.0,12.3,99,11:00
0.0,.615,24.6,5.2,111,13:00
5.9,.532,36.8,0.0,108,9:00
0.0,.333,37.4,14.3,100,11:00
6.3,.500,0.0,9.0,83,8:00
0.0,.000,22.3,15.0,101,10:00
0.0,.785,22.7,7.8,89,18:00
4.2,.615,0.0,0.0,105,11:00
2.5,.434,9.9,0.0,110,21:00
0.0,.500,31.9,0.0,109,22:00
