SB,OBP,SLG,AVG,OPS,GIDP,G,2B,CS
2,.283,.292,.208,0.575,2,17,4,0
10,.375,.270,.213,0.645,1,37,2,9
0,.214,.083,.083,0.298,1,10,0,0
19,.330,.287,.220,0.616,2,61,5,4
3,.406,.244,.205,0.649,1,38,3,2
13,.386,.459,.294,0.845,2,64,16,4
1,.327,.292,.229,0.619,0,15,3,1
15,.292,.237,.199,0.529,4,62,4,5
0,.303,.148,.148,0.451,2,15,0,0
0,.366,.542,.254,0.909,0,18,8,2
7,.292,.328,.231,0.62,7,63,16,2
1,.391,.368,.263,0.76,1,6,2,0
0,.330,.312,.258,0.642,3,29,3,1
4,.245,.193,.125,0.438,1,34,2,3
3,.343,.336,.259,0.679,2,43,4,0
11,.285,.297,.207,0.582,3,68,5,8
1,.306,.268,.235,0.574,2,51,2,1
7,.301,.329,.204,0.63,5,54,5,2
7,.384,.391,.297,0.775,5,58,11,5
1,.321,.408,.254,0.729,2,27,3,0
4,.329,.340,.260,0.669,1,54,7,4
4,.243,.331,.200,0.574,1,52,6,1
3,.443,.398,.273,0.841,2,64,11,2
1,.323,.185,.161,0.508,3,45,3,0
0,.268,.236,.197,0.503,4,55,5,3
1,.329,.456,.294,0.785,2,23,5,2
9,.337,.293,.218,0.63,5,51,8,7
14,.459,.399,.344,0.858,6,55,8,6
2,.326,.288,.200,0.614,0,32,2,3
12,.294,.245,.172,0.539,1,51,7,3
0,.396,.376,.271,0.773,0,30,3,3
10,.365,.458,.292,0.823,4,37,8,3
1,.349,.268,.254,0.617,1,25,1,1
9,.378,.406,.315,0.784,4,49,11,4
6,.341,.348,.188,0.689,1,39,6,4
2,.162,.155,.141,0.317,1,21,1,0
1,.303,.298,.223,0.6,1,47,9,1
8,.273,.269,.208,0.542,6,62,8,6
0,.367,.384,.279,0.751,2,55,10,4
5,.343,.451,.292,0.794,6,59,16,1
2,.351,.302,.275,0.653,4,54,4,1
11,.342,.242,.201,0.584,1,59,6,3
0,--,--,--,0.0,0,1,0,0
27,.326,.352,.239,0.678,2,52,12,2
11,.417,.277,.250,0.694,4,69,5,16
13,.384,.331,.274,0.714,0,47,3,5
0,.310,.222,.194,0.532,0,14,1,0
7,.371,.472,.259,0.843,2,67,11,4
1,.288,.254,.203,0.542,1,30,3,2
1,.227,.105,.105,0.333,1,9,0,0
0,.354,.324,.265,0.678,0,28,4,0
4,.330,.322,.251,0.652,5,60,11,5
0,--,--,--,0.0,0,1,0,0
2,.286,.253,.200,0.539,1,31,2,0
3,.318,.255,.223,0.573,4,25,3,1
3,.212,.110,.082,0.321,1,34,0,1
6,.355,.265,.222,0.62,3,34,3,7
9,.308,.328,.212,0.637,1,60,4,10
7,.328,.370,.272,0.698,1,55,12,7
0,.387,.404,.288,0.791,8,47,8,0
1,.250,.167,.167,0.417,0,7,0,1
7,.369,.454,.299,0.823,4,47,10,2
0,.247,.227,.182,0.474,2,34,3,2
0,.267,.238,.127,0.505,1,29,2,0
0,--,--,--,0.0,0,9,0,0
2,.426,.350,.220,0.776,0,35,7,4
2,.301,.213,.169,0.514,3,44,6,0
2,.316,.235,.179,0.551,5,55,5,3
0,.205,.178,.151,0.383,3,25,2,2
16,.391,.461,.276,0.852,0,67,12,6
17,.327,.274,.226,0.601,2,45,4,7
1,.291,.208,.188,0.499,0,19,1,1
4,.288,.298,.236,0.586,7,57,9,3
23,.456,.424,.297,0.88,2,55,5,13
5,.276,.324,.216,0.6,0,46,8,4
1,.243,.141,.125,0.384,1,22,1,0
1,.362,.307,.239,0.669,3,29,3,4
0,.500,.667,.333,1.167,0,1,1,0
1,.227,.200,.173,0.427,3,45,1,2
0,.400,.291,.182,0.691,0,19,3,0
0,--,--,--,0.0,0,2,0,0
4,.296,.257,.203,0.553,1,52,5,1
2,.389,.313,.231,0.702,2,56,8,5
2,.333,.396,.281,0.729,2,26,4,0
1,.310,.176,.147,0.486,1,15,1,2
3,.333,.286,.254,0.619,0,18,2,2
1,.290,.305,.186,0.595,1,24,1,0
0,.233,.115,.115,0.349,0,10,0,0
0,.250,.130,.130,0.38,0,9,0,0
26,.417,.414,.297,0.831,2,39,4,8
2,.307,.255,.182,0.562,6,47,8,2
2,.491,.410,.282,0.901,0,32,2,3
1,.361,.326,.279,0.686,2,34,4,1
0,.286,.206,.206,0.492,3,19,0,0
