Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
West Brom,H - Newcastle,"May 11, 2003",Prem,D 2-2,Unused Substitute, , , , , , , , 
West Brom,A - Blackburn,"May 3, 2003",Prem,D 1-1,Unused Substitute, , , , , , , , 
West Brom,H - Liverpool,"Apr 26, 2003",Prem,L 0-6,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Tottenham,"Apr 21, 2003",Prem,L 2-3,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Sunderland,"Apr 19, 2003",Prem,W 1-2,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Everton,"Apr 12, 2003",Prem,L 1-2,Started,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Middlesboro,"Apr 5, 2003",Prem,L 3-0,Sub-Off 84 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Birmingham,"Mar 22, 2003",Prem,L 1-0,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Chelsea,"Mar 16, 2003",Prem,L 0-2,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Leeds,"Jan 18, 2003",Prem,D 0-0,Sub-Off 34 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Man Utd,"Jan 11, 2003",Prem,L 1-3,Sub-On 85 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Bradford,"Jan 4, 2003",FAC,W 3-1,Sub-On 85 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Arsenal,"Dec 26, 2002",Prem,L 1-2,Unused Substitute, , , , , , , , 
West Brom,H - Sunderland,"Dec 21, 2002",Prem,D 2-2,Sub-Off 64 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Aston Villa,"Dec 14, 2002",Prem,L 2-1,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Tottenham,"Dec 8, 2002",Prem,L 3-1,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Middlesboro,"Nov 30, 2002",Prem,W 1-0,Started,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Everton,"Nov 23, 2002",Prem,L 1-0,Sub-Off 71 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Aston Villa,"Nov 16, 2002",Prem,D 0-0,Started,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
West Brom,A - Bolton,"Nov 9, 2002",Prem,D 1-1,Started,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Man City,"Nov 2, 2002",Prem,L 1-2,Started,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
West Brom,A - Chelsea,"Oct 26, 2002",Prem,L 2-0,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Birmingham,"Oct 19, 2002",Prem,D 1-1,Started,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Newcastle,"Oct 5, 2002",Prem,L 2-1,Started,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
West Brom,H - Blackburn,"Sep 30, 2002",Prem,L 0-2,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Liverpool,"Sep 21, 2002",Prem,L 2-0,Sub-Off 81 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Southampton,"Sep 14, 2002",Prem,W 1-0,Started,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
West Brom,A - West Ham,"Sep 11, 2002",Prem,W 0-1,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Fulham,"Aug 31, 2002",Prem,W 1-0,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Arsenal,"Aug 27, 2002",Prem,L 5-2,Started,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
West Brom,H - Leeds,"Aug 24, 2002",Prem,L 1-3,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,A - Man Utd,"Aug 17, 2002",Prem,L 1-0,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
