Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
Dundee Utd,A - Aberdeen,"Apr 18, 2015",SPFL,L 1-0,Sub-Off 47 min,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Dundee Utd,H - Hamilton,"Apr 11, 2015",SPFL,W 1-0,Sub-On 62 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dundee Utd,A - Dundee,"Apr 8, 2015",SPFL,L 3-1,Sub-On 66 min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Dundee Utd,H - Celtic,"Mar 15, 2015",LC,L 0-2,Sub-Off 58 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dundee Utd,H - Celtic,"Mar 8, 2015",SFAC,D 1-1,Unused Substitute, , , , , , , , 
Dundee Utd,H - Partick,"Feb 28, 2015",SPFL,L 0-2,Sub-On 75 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dundee Utd,H - St Mirren,"Nov 1, 2014",SPFL,W 3-0,Sub-Off 31 min,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Dundee Utd,A - Hibernian,"Oct 29, 2014",LC,D 3-3,Unused Substitute, , , , , , , , 
Dundee Utd,A - Inverness CT,"Oct 25, 2014",SPFL,L 1-0,Sub-On 66 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dundee Utd,H - St Johnstone,"Sep 27, 2014",SPFL,W 2-0,Sub-Off 61 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dundee Utd,H - Dundee,"Sep 24, 2014",LC,W 1-0,Sub-On 56 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dundee Utd,A - Dundee,"Sep 21, 2014",SPFL,W 1-4,Sub-Off 66 min,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Dundee Utd,H - Hamilton,"Sep 13, 2014",SPFL,D 2-2,Sub-Off 65 min,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
Dundee Utd,A - St Mirren,"Aug 30, 2014",SPFL,W 0-3,Sub-On 69 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dundee Utd,H - Ross County,"Aug 23, 2014",SPFL,W 2-1,Sub-Off 85 min,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
Dundee Utd,A - Celtic,"Aug 16, 2014",SPFL,L 6-1,Sub-On 39 min,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0
Dundee Utd,H - Motherwell,"Aug 13, 2014",SPFL,W 1-0,Sub-On 64 min,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Dundee Utd,A - Aberdeen,"Aug 10, 2014",SPFL,W 0-3,Sub-On 72 min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
