Rk,2B,CS,Yrs,HR,BA,PA,OPS,SLG
13.0,6,4.0,5,1,0.242,366,0.593,0.294
42.0,0,1.0,1,0,0.3,13,0.717,0.3
28.0,0,0.0,1,0,0.0,4,0.25,0.0
10.0,1,0.0,2,1,0.143,23,0.551,0.333
46.0,0,0.0,3,0, ,0, , 
27.0,0,0.0,1,0,0.0,27,0.111,0.0
18.0,0,0.0,1,0,0.0,1,0.0,0.0
14.0,13,3.0,4,1,0.253,435,0.66,0.34
41.0,0,0.0,1,0, ,0, , 
11.0,18,1.0,11,9,0.201,606,0.524,0.29
21.0,0,0.0,1,0,0.071,43,0.164,0.071
2.0,156,19.0,7,67,0.242,3146,0.674,0.37
12.0,177,11.0,10,190,0.259,4189,0.8,0.467
4.0,0,0.0,1,0,0.222,10,0.522,0.222
31.0,1,0.0,6,0,0.143,23,0.372,0.19
37.0,1,0.0,2,2,0.191,71,0.519,0.294
33.0,4,0.0,7,0,0.238,233,0.555,0.266
25.0,0,0.0,1,0,0.154,14,0.522,0.308
47.0,1,0.0,3,0,0.084,111,0.225,0.095
 ,832,72.0,206,386,0.242,21922,0.648,0.354
39.0,16, ,12,0,0.115,887,0.317,0.145
19.0,0,0.0,4,0,0.0,4,0.0,0.0
7.0,0,0.0,1,0,0.077,13,0.154,0.077
38.0,1,0.0,1,0,0.5,2,1.5,1.0
20.0,30,5.0,6,12,0.254,527,0.719,0.407
