Description,2001,2002,2003,2004,2005,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,Line
"Consolidated federal, state and local governments total financial assets",2032.0,2053.5,2184.7,2225.6,2290.7,2248.9,2246.2,2294.5,2290.7,2305.2,2363.5,1
"Federal government gold, SDRs, and official foreign exchange asset",43.1,51.1,55.1,54.5,35.3,47.5,46.1,40.9,35.3,35.1,36.8,2
"Consolidated federal, state and local governments checkable deposits and currency asset",103.2,89.0,99.1,62.2,87.4,70.3,83.5,72.9,87.4,55.8,93.9,3
"Consolidated federal, state and local governments total time and savings deposits asset",140.3,166.3,149.1,156.0,184.0,171.0,169.9,176.6,184.0,188.1,189.7,4
"State and local governments, excluding employee retirement funds money market fund shares asset",57.4,59.0,62.6,65.8,68.2,66.6,66.4,67.4,68.2,69.7,70.3,5
"State and local governments, excluding employee retirement funds federal funds transactions and loans made under security repurchase agreements asset",132.5,116.1,123.2,129.6,134.3,131.2,130.7,132.7,134.3,137.2,138.5,6
"Consolidated federal, state and local governments credit market instruments, excluding corporate equities asset",925.5,994.7,1036.0,1078.3,1104.4,1087.8,1080.5,1096.8,1104.4,1119.6,1126.7,7
"State and local governments, excluding employee retirement funds commercial paper asset",137.6,152.0,161.4,169.7,175.9,171.7,171.1,173.8,175.9,179.7,181.3,8
"Consolidated federal, state and local governments U.S. government agency securities asset",288.3,330.2,350.6,368.7,382.2,373.1,371.8,377.7,382.2,387.5,391.0,9
"State and local governments, excluding employee retirement funds municipal securities and loans asset",4.0,4.1,4.4,4.6,4.8,4.7,4.6,4.7,4.8,4.9,4.9,10
"State and local governments, excluding employee retirement funds corporate and foreign bonds asset",95.5,104.6,111.1,116.8,121.1,118.2,117.8,119.7,121.1,122.7,123.8,11
"Consolidated federal, state and local governments total mortgages asset",206.1,201.2,206.5,214.9,222.4,216.8,216.5,219.7,222.4,226.0,229.0,12
Federal government consumer credit (student loans) asset,80.1,92.8,94.1,98.4,102.1,100.6,98.6,103.9,102.1,104.5,102.6,13
Federal government other loans and advances excluding loans for state and local governments asset,113.9,109.7,108.0,105.2,95.9,102.6,100.1,97.4,95.9,94.4,94.0,14
"State and local governments, excluding employee retirement funds corporate equities asset",88.4,79.6,84.5,88.9,92.1,90.0,89.6,91.0,92.1,94.1,95.0,15
"State and local governments, excluding employee retirement funds mutual fund share holdings asset",28.3,24.4,25.9,27.2,28.2,27.5,27.4,27.9,28.2,28.8,29.1,16
"Consolidated federal, state and local governments trade recievables",151.9,151.2,177.6,194.6,208.6,196.9,201.1,205.4,208.6,210.0,213.6,17
"Consolidated federal, state and local governments taxes receivable by governments asset",125.9,115.1,171.1,171.9,200.3,193.0,190.6,214.9,200.3,218.5,237.5,18
"Consolidated federal, state and local governments total miscellaneous financial claims asset",235.7,207.2,200.4,196.6,147.9,167.2,160.4,167.8,147.9,148.1,132.4,19
"Consolidated federal, state and local governments total financial liabilities",5621.0,6053.7,6697.9,7248.8,7729.9,7447.9,7438.1,7561.1,7729.9,7908.4,7885.4,20
Monetary authority SDR certificates issued by federal government asset,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,21
Federal government treasury currency liability,24.5,25.5,26.0,26.7,27.5,26.9,27.2,27.4,27.5,27.6,27.8,22
"Consolidated federal, state and local governments credit market instruments liability",4344.7,4719.4,5227.1,5681.5,6091.3,5875.2,5853.1,5946.6,6091.3,6270.8,6227.3,23
Federal government U.S. savings bonds liability,190.3,194.9,203.8,204.4,205.1,204.2,204.2,203.6,205.1,205.9,205.2,24
"Federal government total treasury securities, excluding U.S. savings bonds excluding holdings by state and local governments liability",2833.1,3059.3,3440.5,3779.9,4018.4,3923.9,3859.6,3915.9,4018.4,4170.6,4087.2,25
Federal government budget agency securities liability,26.8,27.3,24.9,24.3,23.8,24.1,23.7,23.6,23.8,23.6,23.6,26
"State and local governments, excluding employee retirement funds municipal securities and loans (total) liability",1294.5,1437.9,1557.9,1673.0,1844.0,1723.0,1765.6,1803.5,1844.0,1870.7,1911.3,27
Federal government multifamily residential mortgages liability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
"Consolidated federal, state and local governments trade payables liability",439.9,469.1,570.8,616.4,662.2,630.5,643.7,656.3,662.2,675.1,690.4,29
Federal government life insurance reserves liability,37.8,39.4,40.5,41.6,42.7,41.6,42.0,42.1,42.7,42.8,43.3,30
Federal government total miscellaneous liabilities (including nonmarketable government securities held by pension funds),772.0,798.2,831.3,880.3,904.0,871.6,869.9,886.5,904.0,889.9,894.3,31
