Player,H,SLG,OBP,BB,POS
F Cervera,0,.000,.143,1,3B
V Bojorquez,151,.528,.387,16,LF
B Lopez,57,.430,.313,15,1B
R Mendez,81,.397,.401,73,LF
G Martinez,97,.379,.373,34,2B
J Cruz,45,.521,.431,29,DH
D Heredia,0,--,--,0,P
I Cervantes,90,.384,.318,15,SS
O Mendoza,103,.381,.325,41,2B
F Lopez,16,.198,.219,5,3B
J Reyes,0,.000,.500,0,OF
J Perez,18,.333,.324,4,1B
D McDonald,136,.506,.413,53,CF
H Paez,83,.407,.308,12,C
J Aguilar,4,.222,.222,0,C
C Herrera,49,.266,.285,17,SS
R Sanchez,85,.328,.305,10,3B
C Gutierrez,0,--,--,0,P
S Contreras,93,.397,.362,18,RF
I Salas,41,.438,.398,3,3B
J Romo,41,.292,.332,20,LF
O De La Torre,97,.392,.318,21,RF
K Flores,20,.238,.248,7,SS
P Valdes,128,.568,.451,65,1B
O Bramasco,13,.431,.281,3,SS
R Perez,123,.476,.358,35,RF
E Vega,32,.394,.286,6,C
P Mere,57,.362,.347,24,2B
J Rivera,92,.379,.345,39,DH
A Abad,21,.243,.283,10,1B
D Arguelles,0,--,--,0,P
R Navarrete,7,.435,.360,2,3B
E Rodriguez,98,.340,.347,22,C
R Sanchez,54,.468,.386,10,RF
O Higuera,15,.289,.253,5,C
P Iturbe,13,.190,.233,7,DH
F Lopez,0,--,--,0,P
F Lentini,11,.366,.318,2,OF
M Flores,93,.388,.390,37,2B
L Martinez,97,.355,.303,7,SS
N Mata,127,.488,.371,24,RF
E Haro,0,.000,.000,0,P
R Candelario,13,.239,.217,1,SS
A Arredondo,28,.394,.321,8,LF
S Low,1,.143,.143,0,2B
Q Foster,114,.396,.399,45,RF
E Moran,1,.286,.143,0,RF
D Gonzalez,3,.120,.313,7,SS
M Torres,13,.389,.368,1,C
J Castillo,111,.423,.393,39,3B
J Brena,56,.299,.316,25,2B
D Hinojosa,12,.178,.282,10,2B
J Duran,9,.200,.255,5,OF
D Sinohui,0,--,--,0,P
O Castaneda,29,.277,.311,10,3B
J Sandoval,79,.375,.340,30,SS
J Vega,69,.355,.290,25,C
R Rios,59,.421,.367,6,2B
R Avila,1,.125,.111,0,RF
A Gonzalez,0,--,--,0,OF
J Arredondo,62,.320,.371,35,2B
D Smith,107,.391,.388,61,CF
M Castro,0,--,--,0,P
N Munoz,105,.432,.409,40,C
C Sosa,11,.245,.321,7,3B
L Bustillos,26,.365,.292,6,SS
M Ojeda,91,.443,.381,45,C
B Rios,16,.482,.322,3,3B
J Valle,83,.408,.327,17,3B
F Arias,52,.318,.300,14,SS
M Rivera,5,.265,.171,1,C
R Ramirez,4,.286,.286,0,OF
M Martinez,103,.402,.377,44,OF
R Saucedo,93,.566,.382,31,DH
A Machado,45,.371,.413,37,3B
E Salcedo,73,.361,.308,16,LF
H Hurtado,27,.290,.257,7,C
O Jimenez,10,.235,.226,2,RF
J Leon,29,.462,.336,7,3B
J Vazquez,76,.612,.398,20,DH
S Adriana,137,.523,.419,58,1B
J Robles,110,.418,.365,40,SS
O Sandoval,70,.403,.335,14,LF
F Esparragoza,21,.322,.280,4,C
R Vizcarra,1,.029,.081,2,DH
M Nieves,2,.158,.227,3,OF
A Castillo,15,.568,.375,2,C
D White,94,.598,.445,39,LF
R Agramon,89,.367,.341,18,OF
M Eylward,12,.340,.309,4,1B
E Quintero,109,.499,.396,49,LF
E Martinez,16,.254,.250,3,LF
H Castaneda,66,.348,.393,33,C
E Arano,118,.372,.348,23,RF
L Garcia,73,.400,.348,45,RF
F Ledezma,4,.222,.364,3,C
F Mendez,110,.452,.411,66,1B
R Gastelum,63,.416,.364,11,RF
S Rodriguez,0,--,--,0,P
J Espinoza,117,.409,.385,52,RF
G Vazquez,101,.347,.341,40,CF
A Shibilo,0,--,--,0,P
L Allen,1,.167,.214,2,OF
H Garcia,79,.293,.305,22,LF
C Gonzalez,3,.214,.267,1,SS
R Irazoqui,13,.291,.354,8,3B
K Harvey,3,.190,.217,1,DH
S Palafox,97,.395,.377,33,DH
F Valenzuela Jr.,76,.455,.382,23,DH
R Martinez,117,.463,.371,35,1B
M Del Campo,9,.200,.241,3,C
U Valdez,24,.366,.319,11,DH
E Guzman,72,.427,.413,40,1B
L Garcia,40,.461,.390,6,LF
F Seguignol,48,.416,.347,19,1B
L Matos,97,.402,.372,40,CF
J Macias,105,.492,.396,24,3B
B Nelson,38,.411,.354,19,3B
L Heras,76,.414,.322,21,CF
D Fornes,44,.389,.389,27,1B
D Fernandez,0,--,1.000,1,CF
R Orantes,120,.450,.388,31,DH
F Romero,84,.366,.391,70,2B
E Dehesa,17,.370,.339,1,C
A Zazueta,0,--,--,0,P
D Castro,91,.317,.292,10,SS
S Gutierrez,0,--,--,0,P
E Espinoza,90,.414,.329,27,CF
M Velez,23,.375,.360,8,3B
A Mercado,0,--,--,0,P
C Marquez,19,.396,.382,2,C
C Virgen,22,.225,.313,17,C
R Soriano,23,.255,.364,18,LF
I Pina,1,.250,.250,0,C
R Yan,2,.100,.152,3,OF
S Mora,0,--,--,0,P
M Carrillo Sr.,60,.454,.410,25,RF
L Arredondo,116,.396,.374,35,DH
A Herrera,0,--,--,0,P
J Acuna,66,.299,.352,34,CF
C Quintero,140,.526,.408,34,RF
O Roman,0,.000,.000,0,P
A Cazana,79,.617,.493,26,LF
R Castaneda,33,.397,.386,21,1B
E Osorio,45,.306,.280,12,CF
G Meza,107,.399,.372,36,RF
H Casillas,49,.306,.265,3,3B
F Acosta,8,.577,.379,3,3B
M Bobadilla,56,.419,.379,38,3B
J Aceves,42,.453,.328,14,C
R Gonzalez,45,.389,.350,17,RF
L Navarro,0,--,--,0,P
F Villaescusa,1,.083,.267,3,2B
J Hernandez,118,.427,.382,50,1B
Y Hernandez,0,--,--,0,P
J Trapaga,12,.283,.311,7,2B
M Valdez,73,.484,.380,42,1B
J Rushford,5,.250,.400,5,OF
G Sotomayor,13,.341,.341,2,CF
J Lopez,4,.083,.185,4,CF
J Galarraga,117,.440,.416,55,C
S Langaigne,11,.236,.262,4,OF
I Franco,116,.505,.343,37,C
N Garcia,85,.389,.303,10,SS
H Arredondo,102,.457,.342,25,3B
Y Angulo,26,.391,.318,11,LF
L Gonzalez,0,.000,.000,0,C
M Alfonso,25,.337,.337,6,SS
J Amador,9,.412,.306,1,1B
A Manzano,0,--,--,0,P
M Santana,111,.368,.339,25,C
J Ramon,0,--,--,0,C
E Wilson,41,.288,.315,13,3B
E Alfonzo,60,.379,.355,23,3B
N Becerra,19,.164,.248,15,SS
J Salazar,78,.354,.341,26,SS
E Valdez,78,.450,.368,48,DH
R Lopez,43,.473,.379,21,1B
J Nieves,12,.357,.302,1,SS
R Gonzalez,62,.319,.304,9,LF
J Guzman,53,.495,.346,20,RF
E Garabito,109,.381,.384,63,RF
J Cota,93,.375,.322,30,LF
R Serrano,90,.355,.301,15,2B
B Valdez,19,.350,.267,4,C
R Petagine,48,.605,.488,29,1B
J Munoz,90,.449,.404,41,CF
L Buelna,111,.373,.369,48,RF
P O'Sullivan,38,.619,.459,11,RF
