Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
J Wilson,GWN,SS,0.188,19,64,7,12,4,0,0,6,4,9,1,2,1,2,2,0.239,0.25,0.489
R Olmedo,CHA,SS,0.273,80,275,24,75,15,1,0,19,27,42,9,3,7,0,9,0.34,0.335,0.674
J Wilson,GWN,SS,0.241,122,407,46,98,26,3,5,43,34,97,7,4,1,4,15,0.306,0.356,0.662
R Cedeno,BUF,SS,0.172,7,29,2,5,0,0,0,1,1,6,0,0,0,0,2,0.2,0.172,0.372
M Fontenot,LHV,SS,0.308,16,52,5,16,6,0,1,7,5,11,0,0,1,0,1,0.368,0.481,0.849
A Blanco,LHV,SS,0.235,120,413,47,97,14,1,10,40,39,77,6,5,3,4,8,0.301,0.346,0.648
O Quintanilla,BUF,SS,0.282,48,156,18,44,11,2,6,27,14,27,1,3,1,0,5,0.345,0.494,0.839
K Frandsen,LHV,SS,0.302,99,391,38,118,34,0,1,33,14,31,2,4,2,3,14,0.337,0.396,0.733
J Rodriguez,BUF,SS,0.265,65,257,30,68,14,1,8,32,22,56,3,5,3,2,10,0.327,0.42,0.748
M Hollimon,ROC,SS,0.223,59,166,21,37,7,2,5,14,21,50,2,0,1,3,1,0.305,0.38,0.685
T Manzella,CHA,SS,0.171,14,41,4,7,3,0,0,6,2,14,0,0,1,1,1,0.205,0.244,0.448
S Rodriguez,DUR,SS,0.5,2,6,2,3,2,0,1,4,1,2,0,0,1,0,0,0.571,1.333,1.905
G Picart,IND,SS,0.25,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5
C McConnell,SYR,SS,0.235,6,17,1,4,2,0,0,0,0,6,0,0,0,0,0,0.235,0.353,0.588
D Bernier,SWB,SS,0.201,58,174,13,35,9,0,0,10,27,49,1,2,6,1,5,0.307,0.253,0.56
S Kazmar,BUF,SS,0.138,11,29,2,4,1,0,0,2,1,10,0,0,3,0,1,0.167,0.172,0.339
R Pena,SWB,SS,0.258,101,360,40,93,13,3,2,29,34,74,1,3,4,3,4,0.325,0.328,0.653
A Ciriaco,TOL,SS,0.224,102,348,43,78,16,0,12,35,17,74,17,7,3,0,7,0.262,0.374,0.636
P Janish,LOU,SS,0.237,49,169,27,40,12,1,4,11,20,26,0,1,1,0,5,0.332,0.391,0.722
R Brignac,DUR,SS,0.231,99,346,45,80,14,2,8,46,45,79,3,3,4,2,9,0.323,0.353,0.676
B Dlugach,TOL,SS,0.169,25,65,8,11,2,0,2,8,7,19,2,0,5,1,4,0.257,0.292,0.549
J Johnson,SYR,SS,0.231,76,234,35,54,8,0,0,18,35,30,6,7,7,0,2,0.333,0.265,0.598
T Plouffe,ROC,SS,0.0,2,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0.111,0.0,0.111
O Navarro,BUF,SS,0.21,42,100,7,21,4,1,2,11,5,19,0,1,2,1,2,0.252,0.33,0.582
P Ciriaco,PAW,SS,0.301,64,276,41,83,13,2,4,21,6,49,14,8,3,2,3,0.318,0.406,0.724
P Florimon,ROC,SS,0.251,83,311,38,78,16,2,3,27,23,89,6,7,7,1,8,0.308,0.344,0.652
A Diaz,TOL,SS,0.253,111,356,33,90,12,0,0,32,27,64,12,7,1,4,13,0.302,0.287,0.589
C d'Arnaud,IND,SS,0.252,98,381,63,96,24,4,6,38,37,93,34,5,3,1,3,0.325,0.383,0.709
M Rojas,LOU,SS,0.186,44,129,9,24,3,0,1,7,7,16,0,0,7,1,3,0.226,0.233,0.459
E Escobar,ROC,SS,0.217,35,138,19,30,3,3,1,9,8,26,3,1,4,1,1,0.259,0.304,0.563
J Diaz,COL,SS,0.306,19,72,12,22,5,0,2,11,4,18,0,0,0,0,3,0.342,0.458,0.8
O Martinez,CHA,SS,0.178,60,214,15,38,11,0,0,13,10,34,4,0,4,0,6,0.221,0.229,0.45
K Negron,LOU,SS,0.218,74,284,34,62,13,2,6,20,22,77,17,3,5,2,3,0.287,0.342,0.628
S O'Malley,DUR,SS,0.245,67,216,32,53,4,2,2,18,17,49,11,1,7,4,1,0.304,0.31,0.614
R Tejada,BUF,SS,0.2,6,20,3,4,1,0,0,2,1,3,0,0,0,0,1,0.238,0.25,0.488
T Beckham,DUR,SS,0.256,72,285,40,73,10,1,6,28,29,71,6,0,3,4,8,0.325,0.361,0.686
T Pastornicky,GWN,SS,0.268,38,153,15,41,15,1,1,20,11,21,3,3,0,2,1,0.317,0.399,0.716
D Gregorius,LOU,SS,0.243,48,185,25,45,10,3,6,23,12,31,0,2,4,1,1,0.288,0.427,0.715
Y Mujica,SWB,SS,0.308,13,39,2,12,3,0,0,1,3,5,1,1,0,0,0,0.357,0.385,0.742
B Dozier,ROC,SS,0.232,48,181,15,42,11,1,2,17,14,34,3,2,1,3,5,0.286,0.337,0.623
T Saladino,CHA,SS,0.224,15,49,9,11,2,0,0,6,4,16,1,0,1,0,1,0.296,0.265,0.562
J Iglesias,PAW,SS,0.266,88,353,46,94,9,1,1,23,27,46,12,3,9,5,9,0.318,0.306,0.624
S Starr,NOR,SS,0.0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0
Z Walters,SYR,SS,0.214,29,98,9,21,4,0,1,6,6,28,0,0,1,0,2,0.26,0.286,0.545
